Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708128177224, 668793, 320, 1120, 7872
1708128177234, 668804, 224, 1088, 7968
1708128177245, 668815, 336, 1088, 8128
1708128177257, 668826, 480, 1200, 8304
1708128177267, 668837, 416, 1184, 8176
1708128177279, 668848, 464, 1088, 8016
1708128177289, 668859, 304, 1008, 7968
1708128177299, 668870, 288, 960, 7920
1708128177311, 668881, 368, 944, 7904
1708128177322, 668892, 368, 1088, 7984
1708128177332, 668903, 432, 1072, 7920
1708128177344, 668914, 512, 1248, 7920
1708128177356, 668925, 528, 1136, 7920
1708128177366, 668936, 496, 1200, 7984
1708128177378, 668947, 512, 1088, 7952
1708128177388, 668958, 432, 1088, 7904
1708128177400, 668969, 416, 1056, 7888
1708128177410, 668980, 256, 1024, 7904
1708128177420, 668991, 480, 1056, 7984
1708128177432, 669002, 464, 1168, 8192
1708128177443, 669013, 464, 1216, 7968
1708128177455, 669024, 496, 1200, 7872
1708128177465, 669035, 576, 1264, 7888
1708128177477, 669046, 544, 1136, 7856
1708128177487, 669057, 496, 1248, 7904
1708128177497, 669068, 640, 1216, 7952
1708128177510, 669079, 688, 1184, 8112
1708128177521, 669090, 736, 1184, 8000
1708128177531, 669101, 528, 1216, 8272
1708128177543, 669112, 560, 1296, 8160
1708128177553, 669123, 528, 1296, 7968
1708128177564, 669134, 544, 1152, 8048
1708128177576, 669145, 624, 1072, 8128
1708128177586, 669156, 592, 976, 8192
1708128177596, 669167, 672, 816, 8288
1708128177608, 669178, 624, 784, 8400
1708128177618, 669189, 640, 608, 8448
1708128177630, 669200, 208, 160, 8624
1708128177640, 669211, 16, -816, 8960
1708128177652, 669222, -48, -1856, 9072
1708128177665, 669233, -704, -2528, 9216
1708128177676, 669244, -224, -1808, 9200
1708128177686, 669255, 1072, -880, 9488
1708128177696, 669266, 2800, 208, 9456
1708128177708, 669277, 3184, 2384, 9488
1708128177718, 669288, 8464, 4912, 9536
1708128177730, 669299, 12000, 7936, 11408
1708128177739, 669310, 12976, 9472, 12880
1708128177753, 669321, 15680, 8960, 12224
1708128177762, 669332, 14672, 7680, 10480
1708128177775, 669343, 13760, 6672, 8752
1708128177784, 669354, 12592, 5776, 8944
