Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1708127897098, 388667, 4832, -2624, -1088
1708127897111, 388678, 4656, -2304, -944
1708127897122, 388689, 4016, -2208, -736
1708127897133, 388700, 4096, -3040, -640
1708127897144, 388711, 4048, -3536, -176
1708127897155, 388722, 3984, -2912, 816
1708127897166, 388733, 4160, -1248, 2576
1708127897175, 388744, 4224, -224, 3536
1708127897188, 388755, 4560, -112, 3200
1708127897199, 388766, 4592, -880, 1504
1708127897210, 388777, 4656, -1696, 64
1708127897221, 388788, 4688, -1744, -768
1708127897232, 388799, 4784, -1040, -912
1708127897243, 388810, 4784, -256, -368
1708127897254, 388821, 4064, -112, 1472
1708127897265, 388832, 3248, -176, 2432
1708127897276, 388843, 2896, -384, 2576
1708127897287, 388854, 2288, -592, 3888
1708127897298, 388865, 1376, -672, 4944
1708127897309, 388876, 832, -800, 5904
1708127897320, 388887, 656, -1376, 6480
1708127897331, 388898, -496, -2176, 6976
1708127897342, 388909, -544, -2848, 7952
1708127897353, 388920, -432, -2400, 9360
1708127897363, 388931, -256, -2112, 10800
1708127897373, 388942, 192, -2112, 11824
1708127897386, 388953, 464, -2880, 12256
1708127897397, 388964, 704, -4160, 12880
1708127897408, 388975, 800, -6192, 14576
1708127897418, 388986, 1312, -7824, 16208
1708127897428, 388997, 1968, -9680, 18720
1708127897439, 389008, 2176, -11424, 20512
1708127897451, 389019, 4560, -12944, 22672
1708127897463, 389030, 7872, -15008, 25328
1708127897473, 389041, 10160, -17552, 27248
1708127897485, 389052, 12848, -21856, 27936
1708127897495, 389063, 13568, -28624, 28896
1708127897507, 389074, 18736, -32304, 28672
1708127897516, 389085, 19856, -32608, 26800
1708127897529, 389096, 19744, -32624, 24800
1708127897539, 389107, 20208, -32624, 25472
1708127897551, 389118, 21360, -32624, 28240
1708127897561, 389129, 24720, -32624, 32224
1708127897572, 389140, 28272, -32624, 32624
1708127897584, 389151, 29744, -32624, 32640
1708127897594, 389162, 28752, -32624, 32640
1708127897606, 389173, 26928, -32624, 31280
1708127897617, 389184, 26496, -32624, 27536
1708127897626, 389195, 22368, -32624, 24992
1708127897638, 389206, 21840, -32624, 23696
1708127897650, 389217, 21728, -32624, 20912
1708127897660, 389228, 21168, -32624, 17232
1708127897672, 389239, 18960, -32624, 12544
1708127897682, 389250, 17024, -30704, 10880
1708127897694, 389261, 16336, -26256, 11680
1708127897704, 389272, 16464, -21040, 16848
1708127897716, 389283, 19040, -17296, 21744
1708127897726, 389294, 18736, -14720, 23776
1708127897737, 389305, 18432, -13984, 21568
1708127897749, 389316, 15008, -14912, 18480
1708127897759, 389327, 12736, -16032, 13872
1708127897770, 389338, 10752, -16496, 9808
1708127897780, 389349, 9232, -16144, 6912
1708127897792, 389360, 7440, -14720, 4288
1708127897802, 389371, 6560, -12592, 1632
1708127897815, 389382, 5728, -9936, -928
1708127897825, 389393, 5488, -7264, -1776
1708127897835, 389404, 5216, -5552, -944
1708127897846, 389415, 4960, -3520, -16
