Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791164485, 543276, 8128, 704, 432
1707791164485, 543277, 8080, 576, 640
1707791164485, 543279, 8256, 512, 816
1707791164485, 543280, 8256, 512, 816
1707791164485, 543282, 8144, 496, 800
1707791164486, 543284, 8144, 512, 704
1707791164486, 543285, 8128, 512, 704
1707791164486, 543287, 8128, 528, 848
1707791164486, 543288, 8128, 528, 688
1707791164490, 543290, 8064, 688, 688
1707791164490, 543292, 7904, 720, 752
1707791164490, 543293, 7904, 720, 1008
1707791164490, 543295, 8032, 640, 768
1707791164514, 543307, 8128, 736, 272
1707791164514, 543308, 8128, 736, 496
1707791164514, 543310, 8080, 752, 496
1707791164514, 543311, 8160, 752, 464
1707791164514, 543313, 8160, 752, 464
1707791164515, 543315, 8096, 784, 384
1707791164515, 543316, 8112, 816, 192
1707791164515, 543318, 8112, 816, 192
1707791164515, 543319, 8160, 816, -48
1707791164538, 543321, 8160, 864, -160
1707791164538, 543323, 8160, 864, -160
1707791164538, 543324, 8048, 848, 16
1707791164538, 543326, 8048, 752, -16
1707791164538, 543327, 8176, 752, -16
1707791164539, 543339, 8160, 784, 0
1707791164539, 543341, 8128, 768, 176
1707791164539, 543342, 8128, 768, 176
1707791164539, 543344, 8064, 816, 64
1707791164539, 543346, 8192, 880, 224
1707791164558, 543347, 8192, 880, 224
1707791164558, 543349, 8096, 912, 304
1707791164558, 543350, 8096, 880, 48
1707791164558, 543352, 8128, 880, 48
1707791164558, 543354, 8048, 928, 256
1707791164559, 543355, 8048, 928, 256
1707791164559, 543357, 8112, 800, 432
1707791164559, 543358, 7952, 832, 352
1707791164559, 543360, 7952, 832, 352
1707791164582, 543372, 8096, 880, 320
1707791164582, 543373, 8416, 880, 224
1707791164582, 543375, 8416, 880, 224
1707791164582, 543377, 8384, 832, 208
1707791164582, 543378, 8208, 832, 288
1707791164583, 543380, 8208, 832, 288
1707791164583, 543381, 8176, 656, 336
1707791164583, 543383, 8144, 688, 528
1707791164583, 543385, 8144, 688, 528
1707791164583, 543386, 8080, 736, 432
1707791164583, 543388, 8080, 656, 432
1707791164583, 543389, 8064, 656, 432
1707791164583, 543391, 8192, 640, 480
1707791164610, 543403, 8192, 672, 192
1707791164610, 543404, 8192, 672, 192
1707791164610, 543406, 8256, 640, 368
1707791164610, 543407, 8256, 640, 112
1707791164610, 543409, 8208, 640, 112
1707791164611, 543411, 8144, 672, 288
1707791164611, 543412, 8144, 672, 368
1707791164611, 543414, 8112, 640, 368
1707791164611, 543415, 8176, 656, 432
1707791164634, 543417, 8176, 656, 432
1707791164634, 543419, 8272, 624, 384
1707791164634, 543420, 8320, 720, 304
1707791164634, 543422, 8320, 720, 304
1707791164634, 543423, 8336, 640, 384
1707791164635, 543435, 8224, 736, 480
1707791164635, 543437, 8224, 736, 480
1707791164635, 543438, 8336, 768, 448
1707791164635, 543440, 8288, 752, 448
1707791164650, 543442, 8288, 752, 448
1707791164650, 543443, 8160, 896, 560
1707791164650, 543445, 8416, 848, 560
1707791164650, 543446, 8192, 848, 560
1707791164650, 543448, 8240, 880, 448
1707791164651, 543450, 8240, 880, 368
1707791164651, 543451, 8288, 880, 368
1707791164651, 543453, 8384, 880, 160
1707791164651, 543454, 8384, 880, 160
1707791164674, 543466, 8320, 784, 288
1707791164674, 543468, 8096, 816, 544
1707791164674, 543469, 8096, 816, 704
1707791164674, 543471, 8160, 784, 704
1707791164675, 543473, 8272, 704, 784
1707791164675, 543474, 8272, 704, 784
1707791164675, 543476, 8192, 672, 816
1707791164675, 543477, 8384, 672, 592
1707791164675, 543479, 8384, 672, 592
1707791164698, 543480, 8160, 640, 304
1707791164698, 543482, 8272, 704, 112
1707791164698, 543484, 8272, 704, 112
1707791164698, 543485, 8400, 640, 96
1707791164698, 543487, 8400, 688, -144
1707791164699, 543499, 8256, 720, 144
1707791164699, 543500, 8400, 752, -208
1707791164699, 543502, 8288, 736, -240
1707791164699, 543504, 8288, 736, -240
1707791164718, 543505, 8208, 656, 48
1707791164718, 543507, 7952, 624, 32
1707791164718, 543508, 8144, 624, 32
1707791164718, 543510, 8272, 688, 64
