Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707790878209, 257050, 6096, -16, 5088
1707790878209, 257052, 6064, -48, 5136
1707790878209, 257053, 6320, -32, 5248
1707790878209, 257055, 6320, -32, 5248
1707790878209, 257056, 6144, 64, 5072
1707790878209, 257058, 6112, 128, 5168
1707790878210, 257060, 6112, 128, 5168
1707790878210, 257061, 6224, 128, 5088
1707790878210, 257063, 6048, 96, 4992
1707790878229, 257064, 6048, 96, 4992
1707790878229, 257066, 6176, 176, 5120
1707790878229, 257068, 6176, 176, 5424
1707790878229, 257069, 6208, 224, 5424
1707790878229, 257081, 5984, 400, 5568
1707790878229, 257083, 5984, 384, 5696
1707790878230, 257084, 6096, 384, 5696
1707790878230, 257086, 6144, 432, 5472
1707790878230, 257087, 6144, 432, 5568
1707790878253, 257089, 6160, 432, 5568
1707790878253, 257091, 6224, 528, 5296
1707790878253, 257092, 6224, 528, 5296
1707790878253, 257094, 6192, 576, 5328
1707790878253, 257095, 5920, 528, 5360
1707790878253, 257097, 5920, 528, 5360
1707790878254, 257099, 6016, 544, 5440
1707790878254, 257110, 6080, 320, 5280
1707790878254, 257112, 6080, 320, 5280
1707790878273, 257114, 5904, 288, 5136
1707790878273, 257115, 6112, 320, 5152
1707790878273, 257117, 6112, 320, 5152
1707790878273, 257118, 6048, 368, 5072
1707790878273, 257120, 6128, 400, 5024
1707790878273, 257122, 6128, 400, 5024
1707790878274, 257123, 6096, 272, 5072
1707790878274, 257125, 6352, 208, 5184
1707790878274, 257126, 6144, 208, 5184
1707790878297, 257128, 6272, 176, 5264
1707790878297, 257140, 6080, 208, 5232
1707790878297, 257141, 6080, 208, 5232
1707790878297, 257143, 6064, 160, 5248
1707790878297, 257144, 6064, 192, 5024
1707790878297, 257146, 6096, 192, 5024
1707790878298, 257148, 5920, 144, 5088
1707790878298, 257149, 5920, 144, 5088
1707790878298, 257151, 5904, 160, 4928
1707790878305, 257152, 5856, 240, 4944
1707790878305, 257154, 5856, 240, 4944
1707790878305, 257156, 5920, 240, 5072
