Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791043593, 422351, 3456, -6064, 3184
1707791043593, 422353, 3456, -6064, 3184
1707791043593, 422354, 3552, -6080, 3280
1707791043594, 422356, 3472, -6224, 3328
1707791043594, 422358, 3472, -6224, 3328
1707791043594, 422359, 3408, -6240, 3104
1707791043594, 422361, 3392, -6192, 2896
1707791043594, 422362, 3392, -6192, 2896
1707791043594, 422364, 3344, -6208, 3072
1707791043594, 422366, 3504, -6240, 3072
1707791043621, 422377, 3536, -6304, 2928
1707791043621, 422379, 3600, -6224, 2976
1707791043621, 422381, 3520, -6192, 2656
1707791043622, 422382, 3520, -6192, 2656
1707791043622, 422384, 3680, -6160, 2576
1707791043622, 422385, 3776, -6320, 2624
1707791043622, 422387, 3776, -6320, 2624
1707791043622, 422389, 3648, -6288, 2512
1707791043622, 422390, 3712, -6272, 2640
1707791043622, 422392, 3712, -6272, 2640
1707791043649, 422404, 3728, -6496, 2528
1707791043649, 422405, 4000, -6560, 2688
1707791043649, 422407, 4000, -6560, 2688
1707791043650, 422409, 3904, -6592, 2448
1707791043650, 422410, 3936, -6576, 2400
1707791043650, 422412, 3936, -6576, 2400
1707791043650, 422413, 4000, -6720, 2560
1707791043650, 422415, 4080, -6720, 2464
1707791043650, 422417, 4080, -6720, 2464
1707791043650, 422418, 3872, -6752, 2688
1707791043673, 422430, 3872, -6912, 2400
1707791043673, 422432, 3872, -6912, 2400
1707791043674, 422433, 3904, -6992, 2416
1707791043674, 422435, 4032, -7024, 2816
1707791043674, 422437, 4032, -7024, 2816
1707791043674, 422438, 3824, -7024, 2832
1707791043674, 422440, 3824, -6944, 2704
1707791043674, 422441, 3728, -6944, 2704
1707791043674, 422443, 3712, -6928, 2384
1707791043674, 422445, 3712, -6944, 2416
1707791043701, 422456, 3824, -6912, 2624
1707791043701, 422458, 3744, -6960, 2688
1707791043701, 422460, 3712, -7008, 2880
1707791043701, 422461, 3712, -7008, 2880
1707791043701, 422463, 3744, -7024, 2880
1707791043702, 422464, 3744, -7152, 2864
1707791043702, 422466, 3680, -7152, 2864
1707791043702, 422468, 3648, -7024, 2864
1707791043702, 422469, 3648, -7024, 2768
1707791043702, 422471, 3760, -6992, 2768
1707791043725, 422483, 3696, -7008, 3056
1707791043725, 422484, 3696, -7056, 3072
1707791043726, 422486, 3600, -7056, 3072
1707791043726, 422488, 3712, -6960, 3040
1707791043726, 422489, 3712, -6960, 2704
1707791043726, 422491, 3648, -7056, 2704
1707791043726, 422492, 3632, -7024, 3120
