Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791477426, 856205, 4592, -4064, 5216
1707791477426, 856207, 4512, -4128, 5216
1707791477427, 856209, 4624, -4128, 4880
1707791477427, 856210, 4624, -4128, 4880
1707791477427, 856212, 4656, -4080, 4832
1707791477427, 856213, 4752, -4096, 4944
1707791477427, 856215, 4752, -4096, 4944
1707791477427, 856217, 4816, -4096, 5200
1707791477427, 856218, 4800, -4080, 5568
1707791477427, 856220, 4800, -4080, 5568
1707791477454, 856232, 4640, -4000, 5296
1707791477454, 856233, 4400, -3968, 5232
1707791477455, 856235, 4400, -3968, 5232
1707791477455, 856236, 4560, -4000, 5248
1707791477455, 856238, 4448, -4064, 5104
1707791477455, 856240, 4448, -4064, 5104
1707791477455, 856241, 4480, -4016, 5088
1707791477455, 856243, 4448, -4000, 4672
1707791477455, 856245, 4448, -4000, 4672
1707791477456, 856246, 4432, -3968, 4832
1707791477478, 856258, 4544, -4032, 5056
1707791477478, 856260, 4544, -4032, 5056
1707791477479, 856261, 4544, -4080, 4896
1707791477479, 856263, 4496, -4128, 4912
1707791477479, 856264, 4496, -4128, 4912
1707791477479, 856266, 4480, -4064, 4976
1707791477479, 856268, 4448, -4080, 5184
1707791477479, 856269, 4448, -4080, 5184
1707791477479, 856271, 4432, -4128, 4944
1707791477480, 856272, 4432, -4176, 4752
1707791477506, 856284, 4544, -4176, 5248
1707791477506, 856286, 4560, -4176, 5120
1707791477507, 856287, 4624, -4128, 5024
1707791477507, 856289, 4624, -4128, 5024
1707791477507, 856291, 4672, -4128, 4912
1707791477507, 856292, 4672, -4112, 5344
1707791477507, 856294, 4672, -4112, 5344
1707791477507, 856296, 4544, -4096, 5072
1707791477507, 856297, 4544, -4032, 4992
1707791477507, 856299, 4608, -4032, 4992
1707791477530, 856311, 4496, -3824, 5104
1707791477530, 856312, 4544, -3712, 4896
1707791477531, 856314, 4544, -3712, 4896
1707791477531, 856315, 4624, -3728, 5152
1707791477531, 856317, 4368, -3760, 5264
1707791477531, 856319, 4544, -3760, 5264
1707791477531, 856320, 4528, -3728, 5264
1707791477531, 856322, 4528, -3728, 5216
1707791477531, 856323, 4640, -3712, 5216
1707791477531, 856325, 4608, -3776, 5200
1707791477558, 856337, 4576, -3904, 4928
1707791477558, 856339, 4608, -3904, 4928
1707791477559, 856340, 4672, -3856, 5104
1707791477559, 856342, 4672, -3904, 5360
1707791477559, 856343, 4640, -3904, 5360
1707791477559, 856345, 4512, -3856, 5296
1707791477559, 856347, 4512, -3856, 5120
1707791477559, 856348, 4400, -3856, 5120
1707791477559, 856350, 4464, -3824, 5008
1707791477559, 856351, 4464, -3824, 5264
1707791477586, 856363, 4576, -4144, 4912
1707791477586, 856365, 4480, -4192, 5152
1707791477587, 856366, 4480, -4192, 5008
1707791477587, 856368, 4656, -4192, 5008
1707791477587, 856370, 4704, -4272, 4736
1707791477587, 856371, 4704, -4272, 4992
1707791477587, 856373, 4800, -4352, 4928
1707791477587, 856374, 4496, -4272, 4912
1707791477587, 856376, 4496, -4272, 4912
1707791477587, 856378, 4464, -4304, 4960
1707791477610, 856390, 4512, -4016, 5104
1707791477610, 856391, 4512, -4016, 5440
1707791477611, 856393, 4448, -3952, 5440
1707791477611, 856394, 4336, -3872, 4976
1707791477611, 856396, 4336, -3872, 4976
1707791477611, 856398, 4448, -3792, 5088
1707791477611, 856399, 4576, -3760, 5024
1707791477611, 856401, 4576, -3760, 5024
1707791477611, 856402, 4752, -3744, 5216
1707791477611, 856404, 4688, -3840, 5584
1707791477638, 856416, 4528, -3888, 5232
1707791477638, 856417, 4480, -3808, 5248
1707791477639, 856419, 4336, -3840, 5040
1707791477639, 856421, 4336, -3840, 5040
1707791477639, 856422, 4448, -3888, 5216
1707791477639, 856424, 4384, -3936, 5456
1707791477639, 856426, 4384, -3936, 5456
1707791477639, 856427, 4432, -3904, 5504
1707791477639, 856429, 4480, -3840, 5088
1707791477639, 856430, 4480, -3840, 5088
1707791477662, 856442, 4496, -3952, 5504
1707791477662, 856444, 4544, -3936, 5360
1707791477663, 856445, 4544, -3936, 5360
1707791477663, 856447, 4528, -4000, 5664
1707791477663, 856449, 4656, -3904, 5760
1707791477663, 856450, 4656, -3904, 5760
1707791477663, 856452, 4640, -3920, 5488
1707791477663, 856453, 4576, -3904, 5728
1707791477663, 856455, 4576, -3904, 5728
1707791477664, 856457, 4672, -3968, 5696
1707791477690, 856468, 4528, -3984, 5504
1707791477690, 856470, 4528, -3984, 5504
1707791477691, 856472, 4608, -3888, 5360
1707791477691, 856473, 4512, -3808, 5280
1707791477691, 856475, 4512, -3808, 5280
1707791477691, 856477, 4576, -3856, 5152
1707791477691, 856478, 4576, -3936, 5184
1707791477691, 856480, 4448, -3936, 5184
1707791477691, 856481, 4560, -3936, 5200
1707791477691, 856483, 4560, -3936, 5040
1707791477714, 856495, 4672, -3968, 5184
1707791477714, 856496, 4512, -3872, 5168
1707791477715, 856498, 4544, -3840, 4832
1707791477715, 856500, 4544, -3840, 4832
1707791477715, 856501, 4512, -3824, 5040
1707791477715, 856503, 4512, -3776, 5184
1707791477715, 856504, 4480, -3776, 5184
1707791477715, 856506, 4480, -3824, 5040
1707791477715, 856508, 4480, -3824, 4880
1707791477715, 856509, 4528, -3792, 4880
1707791477742, 856521, 4528, -3792, 4976
1707791477742, 856523, 4528, -3776, 4736
1707791477743, 856524, 4496, -3776, 4736
1707791477743, 856526, 4480, -3760, 4864
1707791477743, 856528, 4480, -3760, 4816
1707791477743, 856529, 4592, -3840, 4816
1707791477743, 856531, 4704, -3888, 5120
1707791477743, 856532, 4704, -3888, 5120
1707791477743, 856534, 4592, -3904, 5376
1707791477743, 856536, 4592, -3792, 5024
1707791477770, 856547, 4512, -4032, 5344
1707791477770, 856549, 4448, -4032, 5344
1707791477771, 856551, 4560, -4064, 5408
1707791477771, 856552, 4560, -4064, 5248
1707791477771, 856554, 4544, -4096, 5248
1707791477771, 856555, 4720, -4208, 5328
1707791477771, 856557, 4720, -4208, 5584
1707791477771, 856559, 4720, -4272, 5536
1707791477771, 856560, 4512, -4336, 5712
1707791477771, 856562, 4512, -4336, 5712
1707791477794, 856574, 4592, -4528, 5280
1707791477794, 856575, 4512, -4464, 5472
1707791477795, 856577, 4512, -4464, 5216
1707791477795, 856579, 4608, -4432, 5200
1707791477795, 856580, 4528, -4320, 5360
1707791477795, 856582, 4528, -4320, 5360
1707791477795, 856583, 4576, -4256, 5632
1707791477795, 856585, 4736, -4224, 5424
1707791477795, 856587, 4736, -4224, 5424
1707791477796, 856588, 4672, -4224, 5424
1707791477822, 856600, 4528, -3888, 5312
1707791477822, 856602, 4528, -3888, 5312
1707791477823, 856603, 4544, -3872, 5264
1707791477823, 856605, 4592, -3776, 4960
1707791477823, 856607, 4592, -3776, 4960
1707791477823, 856608, 4496, -3776, 5168
1707791477823, 856610, 4656, -3808, 5120
1707791477823, 856611, 4656, -3808, 5120
1707791477823, 856613, 4720, -3840, 4928
1707791477823, 856615, 4592, -3904, 5152
1707791477846, 856626, 4688, -4080, 4896
1707791477846, 856628, 4528, -4064, 4912
1707791477847, 856630, 4768, -4144, 4880
1707791477847, 856631, 4768, -4144, 4880
1707791477847, 856633, 4864, -4176, 5008
1707791477847, 856635, 4784, -4176, 5184
1707791477847, 856636, 4784, -4176, 5184
1707791477847, 856638, 4704, -4160, 5024
1707791477847, 856639, 4592, -4128, 5152
1707791477848, 856641, 4592, -4128, 5152
1707791477874, 856653, 4720, -4224, 5152
1707791477874, 856654, 4752, -4192, 4912
1707791477875, 856656, 4752, -4192, 4912
1707791477875, 856658, 4656, -4160, 4912
1707791477875, 856659, 4688, -4304, 5120
1707791477875, 856661, 4688, -4304, 5120
1707791477875, 856662, 4848, -4192, 4768
1707791477875, 856664, 4880, -4192, 4944
1707791477875, 856666, 4880, -4192, 4944
1707791477875, 856667, 4816, -4272, 5056
1707791477902, 856679, 4784, -4304, 5056
1707791477902, 856681, 4784, -4304, 5056
1707791477903, 856682, 4864, -4288, 5232
1707791477903, 856684, 4752, -4320, 5120
1707791477903, 856686, 4752, -4320, 5120
1707791477903, 856687, 4720, -4320, 5200
1707791477903, 856689, 4976, -4336, 4784
1707791477903, 856690, 4896, -4336, 4784
1707791477903, 856692, 5040, -4384, 4848
1707791477903, 856694, 5040, -4384, 4816
1707791477926, 856705, 5168, -4144, 4608
1707791477926, 856707, 5040, -4416, 4736
1707791477927, 856709, 5040, -4416, 4784
1707791477927, 856710, 4928, -4416, 4784
1707791477927, 856712, 5232, -4560, 4592
1707791477927, 856713, 5232, -4560, 4512
