Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707790908912, 287724, 4640, 384, 6624
1707790908912, 287726, 4784, 464, 6864
1707790908912, 287727, 4784, 576, 6752
1707790908912, 287729, 4800, 576, 6752
1707790908912, 287730, 4880, 640, 6640
1707790908912, 287732, 4880, 640, 6640
1707790908912, 287734, 4928, 560, 6832
1707790908912, 287735, 4928, 624, 6688
1707790908912, 287737, 4928, 624, 6688
1707790908932, 287738, 5024, 592, 6832
1707790908932, 287750, 4832, 288, 6576
1707790908932, 287752, 4832, 288, 6832
1707790908932, 287753, 4832, 208, 6672
1707790908932, 287755, 4736, 192, 6560
1707790908932, 287757, 4736, 192, 6560
1707790908933, 287758, 4832, 96, 6528
1707790908933, 287760, 4832, 112, 6512
1707790908933, 287761, 4832, 112, 6512
1707790908956, 287763, 4960, 64, 6416
1707790908956, 287765, 5024, 48, 6144
1707790908956, 287766, 5024, 48, 6144
1707790908956, 287768, 5008, -32, 5712
1707790908956, 287769, 5008, 16, 5872
1707790908956, 287781, 5056, -240, 5792
1707790908957, 287783, 5040, 32, 5472
1707790908957, 287784, 5040, -48, 5616
1707790908957, 287786, 5008, -48, 5616
1707790908957, 287788, 4992, -64, 5680
1707790908976, 287789, 4992, -64, 5392
1707790908976, 287791, 4976, -48, 5392
1707790908976, 287792, 5072, -128, 5808
1707790908976, 287794, 5072, -128, 5920
1707790908976, 287796, 4928, -144, 5920
1707790908977, 287797, 4816, -160, 5584
1707790908977, 287799, 4816, -160, 5584
1707790908977, 287811, 4832, 0, 6176
1707790908977, 287812, 5152, 96, 6064
1707790909000, 287814, 5152, 96, 6144
1707790909000, 287815, 4976, 176, 6144
1707790909000, 287817, 4992, 368, 6128
1707790909000, 287819, 4992, 368, 6128
1707790909000, 287820, 4880, 560, 6592
1707790909000, 287822, 4720, 704, 6640
1707790909001, 287823, 4720, 704, 6640
1707790909001, 287825, 4720, 816, 6640
1707790909001, 287827, 4528, 800, 6976
1707790909020, 287828, 4528, 800, 6976
1707790909020, 287840, 4656, 880, 7040
1707790909020, 287842, 4656, 800, 6656
1707790909020, 287843, 4656, 800, 6656
1707790909020, 287845, 4624, 704, 6704
1707790909020, 287846, 4736, 592, 6832
1707790909021, 287848, 4736, 592, 6832
1707790909021, 287850, 4688, 608, 6512
1707790909021, 287851, 4688, 576, 6544
1707790909028, 287853, 4720, 576, 6544
1707790909028, 287854, 4864, 496, 6432
1707790909028, 287856, 4864, 496, 6432
1707790909028, 287858, 5040, 416, 6480
1707790909052, 287869, 5008, 144, 5920
1707790909052, 287871, 5008, 144, 5712
1707790909052, 287873, 4992, 64, 5712
1707790909052, 287874, 4976, 32, 5552
1707790909052, 287876, 4976, 32, 5808
1707790909053, 287877, 5088, -64, 5632
1707790909053, 287879, 5024, -112, 5456
1707790909053, 287881, 5024, -112, 5456
1707790909053, 287882, 5136, -128, 5648
1707790909060, 287884, 5072, -192, 5728
1707790909060, 287885, 5072, -192, 5728
1707790909060, 287887, 4960, -64, 5760
1707790909084, 287899, 4976, 112, 6000
1707790909084, 287900, 4976, 112, 6000
1707790909084, 287902, 4912, 224, 5936
1707790909084, 287904, 4992, 272, 6080
1707790909084, 287905, 4992, 272, 6080
1707790909085, 287907, 4848, 336, 6144
1707790909085, 287908, 4880, 336, 6192
1707790909085, 287910, 4880, 336, 6192
1707790909085, 287912, 4832, 480, 6432
1707790909085, 287913, 4832, 560, 6288
1707790909085, 287915, 4752, 560, 6288
1707790909085, 287916, 4912, 624, 6752
1707790909112, 287928, 4816, 880, 6928
1707790909112, 287930, 4816, 880, 6928
1707790909112, 287931, 4720, 912, 7072
1707790909112, 287933, 4720, 912, 7024
1707790909112, 287935, 4752, 928, 7024
1707790909113, 287936, 4864, 784, 6944
1707790909113, 287938, 4864, 784, 6688
1707790909113, 287939, 4768, 624, 6720
1707790909113, 287941, 4752, 704, 6528
1707790909113, 287942, 4752, 704, 6528
1707790909113, 287944, 4784, 656, 6272
1707790909113, 287946, 4864, 672, 6048
1707790909140, 287957, 4928, 352, 6064
1707790909140, 287959, 4976, 352, 6096
1707790909140, 287961, 4832, 336, 5760
1707790909140, 287962, 4832, 336, 5760
1707790909141, 287964, 4880, 352, 5712
1707790909141, 287965, 4880, 352, 5824
1707790909141, 287967, 4880, 352, 5824
1707790909141, 287969, 4816, 336, 5792
1707790909141, 287970, 5072, 304, 5856
1707790909148, 287972, 4976, 304, 5856
1707790909148, 287973, 4912, 272, 5600
1707790909148, 287975, 4912, 272, 5680
1707790909168, 287987, 5008, 288, 5920
1707790909168, 287988, 4944, 272, 6144
1707790909168, 287990, 4944, 272, 6224
1707790909168, 287992, 4928, 336, 6224
1707790909168, 287993, 5008, 256, 6128
1707790909169, 287995, 5008, 256, 6128
1707790909169, 287996, 4976, 240, 6064
1707790909169, 287998, 5104, 240, 5968
1707790909169, 288000, 5104, 240, 5968
1707790909176, 288001, 5184, 320, 6160
1707790909176, 288003, 5088, 304, 6048
1707790909176, 288004, 5088, 304, 6048
1707790909200, 288016, 4896, 512, 6272
1707790909200, 288018, 4704, 592, 6000
1707790909200, 288019, 4704, 592, 6000
1707790909200, 288021, 4768, 704, 6080
