Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791303173, 682057, 8144, 320, 368
1707791303173, 682059, 8144, 272, 528
1707791303173, 682060, 8144, 272, 528
1707791303173, 682062, 8208, 288, 576
1707791303173, 682063, 8208, 368, 560
1707791303193, 682075, 8160, 336, 672
1707791303193, 682077, 8096, 384, 640
1707791303193, 682078, 7984, 336, 640
1707791303193, 682080, 7984, 336, 640
1707791303193, 682082, 8064, 368, 816
1707791303193, 682083, 8064, 304, 704
1707791303193, 682085, 8160, 304, 704
1707791303193, 682086, 8048, 240, 576
1707791303193, 682088, 8048, 496, 512
1707791303217, 682090, 8080, 320, 512
1707791303217, 682091, 8112, 208, 896
1707791303217, 682093, 8112, 208, 640
1707791303217, 682094, 8080, 176, 720
1707791303217, 682096, 8160, 64, 240
1707791303217, 682108, 8096, 80, 384
1707791303217, 682109, 8000, 96, 384
1707791303217, 682111, 7920, 160, 544
1707791303217, 682113, 7920, 160, 544
1707791303217, 682114, 8000, 176, 64
1707791303237, 682116, 7968, 208, 224
1707791303237, 682117, 7968, 208, 224
1707791303237, 682119, 7904, 256, 304
1707791303237, 682120, 8048, 256, 320
1707791303237, 682122, 8048, 256, 320
1707791303237, 682124, 8064, 304, -160
1707791303237, 682125, 8064, 336, 144
1707791303237, 682127, 8160, 336, 144
1707791303237, 682128, 8224, 336, 192
1707791303261, 682140, 8112, 352, 160
1707791303261, 682142, 8112, 352, 160
1707791303261, 682144, 8160, 368, -16
1707791303261, 682145, 8160, 432, -96
1707791303261, 682147, 7984, 432, -96
1707791303261, 682148, 8000, 512, -112
1707791303261, 682150, 8000, 256, -128
1707791303261, 682152, 8176, 464, -128
1707791303261, 682153, 8224, 448, -128
1707791303281, 682155, 8224, 448, -128
1707791303281, 682156, 8112, 400, 224
1707791303281, 682158, 8016, 448, 496
1707791303281, 682160, 8016, 448, 496
1707791303281, 682171, 8032, 528, 560
1707791303281, 682173, 8112, 480, 496
1707791303281, 682175, 8112, 480, 752
1707791303281, 682176, 8048, 528, 608
1707791303281, 682178, 7936, 544, 464
1707791303281, 682179, 7936, 544, 464
1707791303297, 682181, 7968, 608, 416
1707791303297, 682183, 7984, 592, 208
1707791303297, 682184, 7984, 592, 208
1707791303297, 682186, 7984, 576, 560
1707791303297, 682187, 7984, 608, 624
1707791303297, 682189, 8000, 608, 624
1707791303297, 682190, 7872, 528, 672
1707791303321, 682202, 7952, 240, 320
1707791303321, 682204, 7952, 240, 320
1707791303321, 682205, 8048, 144, 144
1707791303321, 682207, 8048, 160, 288
1707791303321, 682209, 8128, 160, 288
1707791303321, 682210, 8128, 64, 720
1707791303322, 682212, 8128, 64, 448
1707791303322, 682213, 8032, 128, 448
1707791303322, 682215, 8048, 96, 592
1707791303345, 682217, 8048, 96, 592
1707791303345, 682218, 8080, 112, 624
1707791303345, 682220, 7968, 128, 528
1707791303345, 682221, 7968, 128, 528
1707791303345, 682223, 8048, 160, 304
1707791303345, 682235, 8128, 240, 336
1707791303346, 682236, 8128, 240, 336
1707791303346, 682238, 7984, 288, 224
1707791303346, 682240, 8096, 352, 304
1707791303346, 682241, 8096, 352, 304
1707791303365, 682243, 8096, 352, 304
1707791303365, 682244, 8112, 320, 496
1707791303365, 682246, 8112, 320, 496
1707791303365, 682248, 8224, 352, 528
1707791303366, 682249, 8224, 288, 592
1707791303366, 682251, 8272, 288, 592
1707791303366, 682252, 8304, 208, 720
1707791303366, 682254, 8304, 208, 976
