Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791109757, 488546, 8192, 240, 208
1707791109757, 488547, 8048, 160, 224
1707791109757, 488549, 8048, 160, 224
1707791109757, 488551, 8128, 160, 96
1707791109757, 488552, 8096, 96, 336
1707791109757, 488554, 8096, 96, 336
1707791109757, 488555, 8080, 16, 320
1707791109757, 488557, 8080, 16, 112
1707791109757, 488558, 7984, 16, 112
1707791109758, 488560, 8000, 64, 32
1707791109777, 488572, 8144, 176, 112
1707791109777, 488574, 8144, 176, 112
1707791109777, 488575, 8192, 208, 112
1707791109777, 488577, 7936, 272, 64
1707791109777, 488578, 8096, 272, 64
1707791109777, 488580, 8080, 272, 160
1707791109777, 488581, 8080, 272, 16
1707791109777, 488583, 8080, 352, 16
1707791109778, 488585, 8032, 432, 240
1707791109789, 488586, 8032, 432, 240
1707791109789, 488588, 7952, 432, 208
1707791109789, 488589, 7952, 448, 176
1707791109789, 488591, 7952, 448, 176
1707791109789, 488593, 8128, 368, 48
1707791109813, 488604, 8224, 176, 96
1707791109813, 488606, 8224, 176, 96
1707791109813, 488608, 8112, 128, 160
1707791109813, 488609, 8176, 160, 0
1707791109813, 488611, 8176, 160, 0
1707791109813, 488612, 8224, 112, 144
1707791109813, 488614, 8256, 144, 176
1707791109813, 488616, 8256, 144, 176
1707791109814, 488617, 8224, 80, 368
1707791109833, 488619, 8224, 64, 432
1707791109833, 488620, 8160, 64, 432
1707791109833, 488622, 8320, 160, 336
1707791109833, 488624, 8320, 160, 336
1707791109833, 488625, 8352, 80, 336
1707791109833, 488627, 8384, 112, 64
1707791109833, 488639, 8176, 128, 32
1707791109833, 488640, 8304, 112, 32
1707791109833, 488642, 8320, 160, 112
1707791109834, 488643, 8320, 160, 112
1707791109857, 488645, 8352, 128, 128
1707791109857, 488646, 8384, 224, 48
1707791109857, 488648, 8384, 224, 48
1707791109857, 488650, 8320, 176, 288
1707791109857, 488651, 8240, 208, 240
1707791109857, 488653, 8240, 208, 240
1707791109857, 488654, 8256, 112, 352
1707791109857, 488656, 8000, 80, 432
1707791109858, 488658, 8160, 80, 432
1707791109858, 488659, 8304, 48, 320
1707791109877, 488671, 8256, 64, 144
1707791109877, 488673, 8256, 64, 144
1707791109877, 488674, 8240, 96, 208
1707791109877, 488676, 8240, 64, 240
1707791109877, 488677, 8240, 64, 240
1707791109877, 488679, 8240, 64, 256
1707791109877, 488681, 8240, 64, 16
1707791109877, 488682, 8176, 64, 16
1707791109878, 488684, 8256, -32, 224
1707791109901, 488685, 8256, -32, 224
