Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791217865, 596718, 8000, 400, 288
1707791217865, 596720, 8000, 400, 288
1707791217865, 596721, 8000, 496, 400
1707791217865, 596723, 8096, 496, 144
1707791217865, 596725, 8096, 496, 144
1707791217865, 596726, 8080, 528, 432
1707791217865, 596728, 8080, 544, 400
1707791217866, 596729, 8112, 544, 400
1707791217866, 596731, 7968, 592, 736
1707791217889, 596733, 7968, 592, 448
1707791217889, 596734, 7936, 624, 448
1707791217889, 596736, 8016, 720, 160
1707791217889, 596737, 8016, 720, 160
1707791217889, 596739, 8176, 608, 208
1707791217889, 596751, 8064, 656, 160
1707791217889, 596752, 8064, 656, 160
1707791217889, 596754, 7872, 672, 80
1707791217890, 596756, 7872, 640, 160
1707791217890, 596757, 7872, 640, 160
1707791217909, 596759, 7936, 592, 256
1707791217909, 596760, 7984, 592, 208
1707791217909, 596762, 7984, 592, 208
1707791217909, 596764, 8048, 640, 48
1707791217909, 596765, 8048, 592, 16
1707791217909, 596767, 8176, 592, 16
1707791217909, 596768, 8176, 512, 288
1707791217910, 596770, 8176, 512, 128
1707791217910, 596771, 8208, 608, 128
1707791217933, 596783, 8112, 432, 192
1707791217933, 596785, 8112, 480, 0
1707791217933, 596787, 8144, 480, 0
1707791217933, 596788, 8256, 464, 352
1707791217933, 596790, 8256, 464, 560
1707791217933, 596791, 8016, 528, 560
1707791217933, 596793, 8144, 432, 672
1707791217933, 596794, 8144, 432, 672
1707791217934, 596796, 8064, 448, 592
1707791217934, 596798, 8112, 432, 768
1707791217957, 596799, 8112, 432, 768
1707791217957, 596801, 8048, 432, 464
1707791217957, 596802, 8160, 432, 560
1707791217957, 596804, 8160, 432, 560
1707791217957, 596816, 8176, 384, 240
1707791217957, 596817, 8128, 304, -32
1707791217957, 596819, 8128, 304, -32
1707791217957, 596821, 8112, 368, 0
1707791217958, 596822, 8224, 304, 176
1707791217977, 596824, 8224, 304, 176
1707791217977, 596825, 8208, 352, 64
1707791217977, 596827, 8208, 304, 160
1707791217977, 596829, 8272, 304, 160
1707791217977, 596830, 8224, 288, -32
1707791217977, 596832, 8224, 288, 144
1707791217977, 596833, 8192, 272, 144
1707791217977, 596835, 8208, 288, -240
1707791217978, 596837, 8208, 288, -240
1707791217978, 596848, 8176, 176, 272
1707791218001, 596850, 8400, 240, 64
1707791218001, 596852, 8400, 240, 32
1707791218001, 596853, 8224, 256, 32
1707791218001, 596855, 8272, 208, -32
1707791218001, 596856, 8272, 208, -32
1707791218001, 596858, 8240, 256, 16
1707791218001, 596860, 8240, 272, 432
1707791218001, 596861, 8240, 272, 432
1707791218002, 596863, 8144, 384, 160
1707791218021, 596864, 8224, 368, 192
1707791218021, 596866, 8224, 368, 192
1707791218021, 596868, 8208, 384, 64
1707791218021, 596869, 8208, 368, 208
1707791218021, 596881, 8256, 224, 64
1707791218021, 596883, 8320, 224, 160
1707791218021, 596884, 8272, 208, 256
1707791218021, 596886, 8272, 208, 256
1707791218021, 596887, 8096, 288, 192
1707791218022, 596889, 8096, 288, -208
1707791218045, 596891, 8064, 256, -208
1707791218045, 596892, 8272, 304, -16
1707791218045, 596894, 8272, 304, 176
1707791218045, 596895, 8144, 384, 176
1707791218045, 596897, 8192, 304, 64
1707791218045, 596899, 8192, 304, 64
1707791218045, 596900, 8224, 384, 64
1707791218045, 596902, 8128, 464, 320
1707791218046, 596914, 8160, 560, 208
1707791218065, 596915, 8048, 480, 208
1707791218065, 596917, 8192, 448, -48
1707791218065, 596918, 8192, 448, -48
1707791218065, 596920, 8160, 464, 176
1707791218065, 596922, 8384, 448, 320
1707791218065, 596923, 8384, 448, 320
1707791218065, 596925, 8304, 448, 304
1707791218065, 596926, 8400, 448, 256
1707791218066, 596928, 8400, 448, 256
1707791218066, 596930, 8464, 384, 160
1707791218066, 596931, 8208, 400, -64
1707791218066, 596933, 8368, 400, -64
1707791218093, 596945, 8192, 464, 336
1707791218093, 596946, 8288, 464, 288
1707791218093, 596948, 8288, 464, 288
1707791218093, 596949, 8352, 448, 368
1707791218093, 596951, 8352, 464, 608
1707791218093, 596953, 8304, 464, 608
1707791218093, 596954, 8112, 528, 432
1707791218093, 596956, 8112, 272, 192
1707791218094, 596957, 8128, 480, 192
1707791218113, 596959, 8112, 432, 128
1707791218113, 596961, 8112, 432, 128
1707791218113, 596962, 8176, 416, 128
1707791218113, 596964, 8064, 384, 160
1707791218113, 596965, 8064, 384, 160
1707791218113, 596977, 8160, 320, 304
1707791218113, 596979, 8224, 288, 672
1707791218113, 596980, 8224, 288, 672
1707791218113, 596982, 8128, 336, 464
1707791218133, 596984, 8128, 432, 640
1707791218133, 596985, 8128, 432, 640
1707791218133, 596987, 7984, 400, 560
1707791218133, 596988, 8128, 384, 688
1707791218133, 596990, 8128, 384, 688
1707791218133, 596992, 8032, 336, 576
1707791218133, 596993, 8032, 384, 304
1707791218133, 596995, 8000, 384, 304
1707791218133, 596996, 8048, 320, 592
1707791218157, 597008, 8048, 224, 496
1707791218157, 597010, 8048, 224, 496
1707791218157, 597011, 8128, 288, 544
1707791218157, 597013, 8128, 192, 576
1707791218157, 597014, 8128, 192, 576
1707791218157, 597016, 8128, 256, 368
1707791218157, 597018, 8128, 256, 224
1707791218157, 597019, 8208, 256, 224
1707791218157, 597021, 8208, 336, 64
1707791218177, 597022, 8208, 336, 64
1707791218177, 597024, 8208, 384, 224
1707791218177, 597026, 8320, 320, 144
1707791218177, 597027, 8320, 320, 144
1707791218177, 597029, 8128, 304, 112
1707791218177, 597041, 8176, 416, 144
1707791218177, 597042, 8176, 416, 144
1707791218177, 597044, 8208, 448, -64
1707791218177, 597045, 8048, 624, 160
1707791218178, 597047, 8048, 624, 160
1707791218201, 597049, 8064, 640, 320
1707791218201, 597050, 8064, 656, 64
1707791218201, 597052, 8096, 656, 64
1707791218201, 597053, 7984, 640, 240
1707791218201, 597055, 7984, 640, 224
1707791218201, 597057, 8080, 592, 224
1707791218201, 597058, 8160, 560, -32
1707791218201, 597060, 8160, 560, -32
1707791218201, 597061, 8064, 576, 224
1707791218221, 597073, 8064, 640, 272
1707791218221, 597075, 8064, 640, 272
1707791218221, 597076, 8192, 624, 272
1707791218221, 597078, 8224, 656, 144
1707791218221, 597080, 8224, 656, 144
1707791218221, 597081, 8288, 720, 80
1707791218221, 597083, 8128, 688, 416
1707791218221, 597084, 8128, 688, 416
1707791218221, 597086, 8160, 640, 224
1707791218221, 597088, 8288, 672, 192
1707791218245, 597089, 8288, 672, 192
1707791218245, 597091, 8096, 720, 96
1707791218245, 597092, 8096, 672, 224
1707791218245, 597094, 8048, 672, 224
1707791218245, 597106, 8224, 560, 16
1707791218245, 597107, 8384, 464, 48
1707791218245, 597109, 8384, 464, 48
1707791218245, 597110, 8224, 528, -224
1707791218246, 597112, 8224, 512, 160
1707791218268, 597114, 8176, 512, 160
1707791218269, 597115, 8416, 528, -176
1707791218269, 597117, 8416, 528, -96
1707791218269, 597118, 8352, 544, -96
1707791218269, 597120, 8432, 448, 80
1707791218269, 597122, 8432, 448, 80
1707791218269, 597123, 8416, 496, 80
1707791218269, 597125, 8240, 400, -16
1707791218269, 597126, 8240, 400, -16
1707791218269, 597138, 8208, 352, 304
1707791218288, 597140, 8256, 400, 112
1707791218289, 597141, 8256, 400, 112
1707791218289, 597143, 8320, 400, 352
1707791218289, 597145, 8304, 464, 368
1707791218289, 597146, 8304, 464, 368
1707791218289, 597148, 8304, 400, 272
1707791218289, 597149, 8240, 368, 448
1707791218289, 597151, 8240, 368, 448
1707791218289, 597153, 8256, 416, 416
1707791218289, 597154, 8256, 480, 272
1707791218290, 597156, 8208, 480, 272
1707791218290, 597157, 8208, 592, 624
1707791218317, 597169, 8304, 656, 496
1707791218317, 597171, 8400, 656, 496
1707791218317, 597172, 8320, 640, 576
1707791218317, 597174, 8320, 640, 304
1707791218317, 597176, 8432, 640, 304
1707791218317, 597177, 8352, 624, 768
1707791218317, 597179, 8352, 624, 256
1707791218317, 597180, 8368, 576, 496
1707791218317, 597182, 8528, 560, 736
1707791218340, 597184, 8528, 560, 736
1707791218341, 597185, 8432, 544, 768
1707791218341, 597187, 8528, 608, 896
1707791218341, 597188, 8528, 608, 896
1707791218341, 597190, 8528, 544, 656
1707791218341, 597202, 8480, 752, -112
1707791218341, 597203, 8480, 752, -112
1707791218341, 597205, 8528, 880, -240
1707791218341, 597207, 8704, 800, 176
1707791218356, 597208, 8704, 800, 176
1707791218357, 597210, 8576, 848, -112
1707791218357, 597211, 8352, 800, 96
1707791218357, 597213, 8352, 800, 96
1707791218357, 597215, 8368, 768, 160
1707791218357, 597216, 8368, 704, 32
1707791218357, 597218, 8464, 704, 32
1707791218357, 597219, 8624, 784, -128
1707791218357, 597221, 8624, 784, 112
1707791218380, 597233, 8736, 944, 176
1707791218381, 597234, 8624, 992, 384
1707791218381, 597236, 8624, 976, 176
1707791218381, 597238, 8560, 976, 176
1707791218381, 597239, 8528, 928, 352
1707791218381, 597241, 8528, 928, 240
1707791218381, 597242, 8544, 928, 240
1707791218381, 597244, 8672, 880, 80
1707791218381, 597246, 8672, 880, 80
1707791218400, 597247, 8752, 992, 80
1707791218401, 597249, 8912, 1008, 80
1707791218401, 597250, 8912, 1008, 80
1707791218401, 597252, 8864, 1104, 224
1707791218401, 597254, 8896, 1184, 208
1707791218401, 597265, 9232, 1408, -80
1707791218401, 597267, 9328, 1408, -96
1707791218401, 597269, 9440, 1376, -176
1707791218401, 597270, 9440, 1376, -176
1707791218424, 597272, 9440, 1328, -208
1707791218424, 597273, 9664, 1200, -16
1707791218425, 597275, 9664, 1200, -16
1707791218425, 597277, 9664, 1072, 160
1707791218425, 597278, 10176, 1008, 160
1707791218425, 597280, 9984, 1008, 160
1707791218425, 597281, 10064, 992, -16
1707791218425, 597283, 10064, 992, 336
1707791218425, 597295, 9920, 576, 784
1707791218448, 597296, 9936, 512, 768
1707791218448, 597298, 10192, 448, 832
1707791218449, 597300, 10112, 448, 832
1707791218449, 597301, 10240, 240, 1152
1707791218449, 597303, 10240, 240, 1568
1707791218449, 597304, 10144, 208, 1568
1707791218449, 597306, 10288, 48, 1632
1707791218449, 597308, 10288, 48, 1632
1707791218449, 597309, 10304, -16, 1776
1707791218468, 597311, 10432, -176, 1680
1707791218471, 597312, 10432, -176, 1680
1707791218471, 597324, 10256, -624, 1552
1707791218471, 597326, 10224, -720, 1728
1707791218471, 597327, 10224, -720, 1984
1707791218471, 597329, 10256, -704, 1792
1707791218472, 597331, 10192, -720, 1584
1707791218472, 597332, 10192, -720, 1584
1707791218472, 597334, 10256, -752, 1968
1707791218491, 597336, 10016, -720, 2016
1707791218492, 597337, 10016, -720, 2016
1707791218492, 597339, 10144, -688, 2064
1707791218492, 597351, 9696, -656, 2416
1707791218492, 597352, 9696, -656, 2416
1707791218492, 597354, 9600, -656, 2464
