Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791273955, 652820, 8176, -448, -512
1707791273956, 652832, 8112, -368, -336
1707791273956, 652833, 8096, -432, -112
1707791273956, 652835, 8192, -416, -240
1707791273956, 652837, 8192, -416, -496
1707791273956, 652838, 8192, -400, -272
1707791273956, 652840, 8224, -352, -256
1707791273956, 652842, 8224, -352, -256
1707791273956, 652843, 8176, -416, -160
1707791273957, 652845, 8272, -304, -448
1707791273957, 652846, 8272, -304, -448
1707791273957, 652848, 8176, -240, -336
1707791273984, 652860, 8112, -128, -240
1707791273984, 652862, 8112, -128, -304
1707791273984, 652863, 8096, -96, -304
1707791273984, 652865, 7968, -128, -448
1707791273984, 652866, 7968, -128, -704
1707791273984, 652868, 8016, -176, -656
1707791273984, 652870, 8096, -96, -736
1707791273984, 652871, 8096, -96, -736
1707791274007, 652873, 8128, -112, -544
1707791274008, 652875, 8160, -112, -528
1707791274008, 652876, 8160, -112, -528
1707791274008, 652878, 8208, -240, -224
1707791274008, 652890, 8128, -432, -272
1707791274008, 652891, 8128, -432, -192
1707791274008, 652893, 8048, -480, -192
1707791274008, 652895, 8064, -544, -192
1707791274008, 652896, 8064, -544, -448
1707791274027, 652898, 8064, -592, -272
1707791274028, 652900, 7984, -608, -224
1707791274028, 652901, 7984, -608, -224
1707791274028, 652903, 7984, -528, -352
1707791274028, 652904, 7952, -480, 0
1707791274028, 652906, 7952, -480, 0
1707791274028, 652908, 8080, -464, -32
1707791274028, 652919, 8208, -400, -32
1707791274028, 652921, 8208, -400, -288
1707791274051, 652923, 8096, -464, -288
1707791274052, 652924, 8112, -416, -32
1707791274052, 652926, 8112, -416, -32
1707791274052, 652928, 8240, -496, -224
1707791274052, 652929, 8112, -464, -192
1707791274052, 652931, 8112, -464, -192
1707791274052, 652932, 8112, -544, 16
1707791274052, 652934, 8032, -512, -192
1707791274052, 652936, 8032, -512, -192
1707791274071, 652937, 8128, -544, -208
