Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707791331211, 710038, 8224, 320, -688
1707791331211, 710040, 8208, 192, -624
1707791331211, 710042, 8192, 272, -416
1707791331212, 710043, 8192, 272, -416
1707791331212, 710045, 8304, 304, -560
1707791331212, 710046, 8336, 304, -336
1707791331212, 710048, 8336, 304, -336
1707791331212, 710050, 8256, 352, -480
1707791331212, 710051, 8256, 320, -656
1707791331219, 710053, 8384, 320, -656
1707791331219, 710055, 8224, 304, -448
1707791331220, 710056, 8224, 304, -624
1707791331243, 710068, 8160, 304, -288
1707791331243, 710070, 8240, 336, -240
1707791331244, 710071, 8272, 400, 48
1707791331244, 710073, 8272, 400, 48
1707791331244, 710074, 8048, 496, 144
1707791331244, 710076, 8048, 512, -128
1707791331244, 710078, 8000, 512, -128
1707791331244, 710079, 8048, 672, -400
1707791331244, 710081, 8048, 672, -464
1707791331263, 710082, 8080, 608, -464
1707791331263, 710084, 8288, 592, -208
1707791331264, 710086, 8288, 592, -208
1707791331264, 710087, 8080, 576, -256
1707791331264, 710099, 8144, 496, -112
1707791331264, 710101, 8144, 496, 96
1707791331264, 710102, 8160, 496, 96
1707791331264, 710104, 8336, 448, 0
1707791331264, 710105, 8336, 448, 0
1707791331283, 710107, 8240, 448, -64
1707791331283, 710109, 8320, 432, -96
1707791331284, 710110, 8320, 432, -96
1707791331284, 710112, 8192, 416, 192
1707791331284, 710113, 8144, 432, 48
1707791331284, 710115, 8144, 432, 48
1707791331284, 710117, 8208, 480, -96
1707791331284, 710118, 8160, 400, -144
1707791331284, 710120, 8160, 400, -144
1707791331303, 710132, 8144, 224, -240
1707791331304, 710133, 8144, 192, -368
1707791331304, 710135, 8144, 192, -368
1707791331304, 710136, 8144, 208, -592
1707791331304, 710138, 8192, 176, -400
1707791331304, 710140, 8192, 176, -400
1707791331304, 710141, 8208, 240, -48
1707791331304, 710143, 8208, 272, -304
1707791331304, 710145, 8032, 272, -304
1707791331327, 710146, 8192, 272, -448
1707791331328, 710148, 8192, 272, -208
1707791331328, 710149, 8240, 288, -208
1707791331328, 710151, 8176, 256, -64
1707791331328, 710163, 8192, 304, -288
1707791331328, 710164, 8272, 304, -288
1707791331328, 710166, 8336, 304, -32
1707791331328, 710168, 8336, 320, -384
1707791331329, 710169, 8304, 320, -384
1707791331343, 710171, 8224, 336, -240
1707791331344, 710172, 8224, 336, -352
1707791331344, 710174, 8160, 336, -352
1707791331344, 710176, 8288, 352, -640
1707791331344, 710177, 8288, 352, -640
1707791331344, 710179, 8224, 384, -720
1707791331344, 710181, 8112, 352, -384
1707791331368, 710192, 8144, 560, -512
1707791331368, 710194, 8176, 624, -512
1707791331368, 710196, 8224, 592, -592
1707791331368, 710197, 8224, 592, -592
1707791331368, 710199, 8112, 608, -688
1707791331368, 710200, 8240, 560, -336
1707791331368, 710202, 8240, 560, -336
1707791331369, 710204, 8160, 672, -144
1707791331369, 710205, 8080, 720, 0
1707791331372, 710207, 8080, 720, 0
1707791331373, 710208, 8016, 704, -32
1707791331373, 710210, 8160, 672, -32
1707791331373, 710212, 8160, 672, -32
1707791331397, 710223, 8080, 592, -48
1707791331397, 710225, 8128, 528, -336
1707791331397, 710227, 8128, 528, -336
1707791331397, 710228, 8240, 400, -416
1707791331397, 710230, 8080, 336, -192
1707791331397, 710231, 8080, 336, -192
1707791331397, 710233, 8224, 224, -176
1707791331397, 710235, 8112, 160, -336
1707791331398, 710236, 8112, 160, -336
1707791331405, 710238, 8144, 64, -144
1707791331405, 710240, 8144, 144, 48
1707791331405, 710241, 8000, 144, 48
1707791331405, 710243, 8032, 96, -64
1707791331429, 710255, 8192, 224, -16
1707791331429, 710256, 8192, 224, -16
1707791331429, 710258, 8192, 192, 112
1707791331429, 710259, 8192, 240, 64
1707791331429, 710261, 8064, 240, 64
1707791331429, 710263, 8240, 256, -384
1707791331429, 710264, 8240, 256, -112
1707791331429, 710266, 8240, 240, -112
1707791331430, 710267, 8176, 368, -256
1707791331437, 710269, 8176, 368, -512
1707791331437, 710271, 8256, 384, -384
1707791331437, 710272, 8192, 384, -544
1707791331437, 710274, 8192, 384, -544
1707791331461, 710286, 8096, 560, -352
1707791331461, 710287, 8224, 464, -272
1707791331461, 710289, 8224, 464, -576
1707791331461, 710291, 8128, 544, -576
1707791331461, 710292, 8096, 512, -816
1707791331461, 710294, 8096, 512, -816
1707791331461, 710295, 8080, 480, -880
1707791331462, 710297, 8032, 512, -544
1707791331462, 710299, 8032, 512, -544
1707791331462, 710300, 8096, 528, -496
1707791331462, 710302, 8064, 496, -848
1707791331462, 710303, 8064, 496, -848
1707791331490, 710315, 8112, 480, -336
1707791331490, 710317, 8016, 496, -64
1707791331490, 710318, 8016, 496, -64
1707791331490, 710320, 7984, 480, -240
1707791331490, 710322, 8192, 544, -208
1707791331490, 710323, 8192, 544, -208
1707791331490, 710325, 8144, 528, 80
1707791331491, 710326, 8128, 560, -48
1707791331491, 710328, 8128, 560, -48
1707791331510, 710330, 8096, 560, 0
1707791331510, 710331, 8096, 512, -96
1707791331510, 710333, 7984, 512, -96
1707791331510, 710335, 8048, 448, -208
1707791331510, 710336, 8048, 448, -384
1707791331510, 710348, 8144, 224, -352
1707791331510, 710350, 8128, 208, -384
1707791331510, 710351, 8048, 192, -528
1707791331511, 710353, 8048, 192, -528
1707791331534, 710354, 8176, 96, -352
1707791331534, 710356, 8176, 48, -320
1707791331534, 710358, 8176, 48, -320
1707791331534, 710359, 8288, 80, -48
1707791331534, 710361, 8288, 80, -272
1707791331534, 710362, 8352, 144, -272
1707791331534, 710364, 8416, 64, -720
1707791331534, 710366, 8416, 64, -720
1707791331535, 710367, 8400, 48, -544
1707791331535, 710379, 8256, 80, -624
1707791331554, 710381, 8256, 80, -768
1707791331554, 710382, 8368, 64, -768
1707791331554, 710384, 8224, 80, -368
1707791331554, 710386, 8224, 80, -368
1707791331554, 710387, 8304, 112, -368
1707791331554, 710389, 8432, 144, -592
1707791331554, 710390, 8432, 144, -592
1707791331555, 710392, 8304, 48, -496
1707791331555, 710394, 8256, 96, -384
1707791331562, 710395, 8256, 96, -384
1707791331562, 710397, 8320, -32, -496
1707791331562, 710398, 8320, -32, -592
1707791331586, 710410, 8288, 16, -720
1707791331586, 710412, 8128, -16, -736
1707791331586, 710414, 8160, 112, -976
1707791331586, 710415, 8160, 112, -976
1707791331586, 710417, 8192, 144, -816
1707791331586, 710418, 8128, 256, -576
1707791331586, 710420, 8128, 256, -576
1707791331587, 710422, 8240, 352, -768
1707791331587, 710423, 8208, 416, -832
1707791331587, 710425, 8208, 416, -832
1707791331587, 710426, 8320, 432, -1056
1707791331587, 710428, 8272, 480, -704
1707791331614, 710440, 8208, 304, -1024
1707791331614, 710441, 8240, 304, -864
1707791331614, 710443, 8192, 192, -1056
1707791331614, 710445, 8192, 192, -1056
1707791331614, 710446, 8160, 224, -1296
1707791331614, 710448, 8112, 256, -1248
1707791331615, 710449, 8112, 256, -1248
1707791331615, 710451, 8192, 224, -1040
1707791331615, 710453, 7936, 288, -1392
1707791331615, 710454, 8112, 288, -1392
1707791331615, 710456, 8208, 160, -1328
1707791331642, 710468, 8240, 336, -1808
1707791331642, 710469, 8240, 336, -1808
1707791331642, 710471, 8144, 320, -1776
1707791331642, 710473, 8144, 384, -1664
1707791331642, 710474, 8144, 384, -1664
1707791331643, 710476, 8064, 496, -1776
1707791331643, 710477, 8064, 752, -1776
1707791331643, 710479, 8160, 624, -1776
1707791331643, 710481, 8192, 528, -1712
1707791331643, 710482, 8192, 528, -1616
1707791331643, 710484, 8272, 544, -1616
1707791331670, 710496, 8160, 624, -1792
1707791331670, 710497, 8160, 624, -1664
1707791331670, 710499, 8128, 576, -1664
1707791331670, 710500, 8080, 592, -1872
1707791331670, 710502, 8080, 592, -1536
1707791331671, 710504, 8224, 592, -1536
1707791331671, 710505, 8144, 480, -1328
1707791331671, 710507, 8144, 480, -1328
1707791331671, 710508, 8064, 480, -1360
1707791331671, 710510, 8304, 432, -1392
1707791331671, 710512, 8304, 432, -1392
1707791331699, 710523, 8304, 320, -976
1707791331699, 710525, 8192, 336, -1200
1707791331699, 710527, 8192, 336, -1200
1707791331699, 710528, 8208, 336, -976
1707791331700, 710530, 8208, 192, -720
1707791331700, 710532, 8208, 192, -720
