Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707790956224, 335014, 1584, -2896, 7232
1707790956225, 335015, 1616, -2736, 7312
1707790956225, 335017, 1616, -2736, 7312
1707790956225, 335018, 1824, -2736, 7584
1707790956225, 335020, 1712, -2752, 7856
1707790956225, 335022, 1712, -2752, 7856
1707790956225, 335023, 1424, -2640, 7776
1707790956225, 335025, 1424, -2640, 7792
1707790956225, 335027, 1440, -2640, 7792
1707790956226, 335028, 1600, -2752, 7696
1707790956252, 335040, 1616, -2864, 7392
1707790956253, 335042, 1616, -2864, 7392
1707790956253, 335043, 1648, -2960, 7184
1707790956253, 335045, 1904, -3024, 7072
1707790956253, 335046, 1984, -3024, 7072
1707790956253, 335048, 1840, -3056, 7296
1707790956253, 335050, 1840, -3120, 7184
1707790956253, 335051, 1824, -3120, 7184
1707790956253, 335053, 1904, -3136, 7280
1707790956253, 335054, 1904, -3136, 7264
1707790956276, 335066, 1792, -3392, 6720
1707790956277, 335068, 1984, -3456, 6624
1707790956277, 335070, 1984, -3456, 6672
1707790956277, 335071, 1856, -3456, 6672
1707790956277, 335073, 1952, -3520, 6448
1707790956277, 335074, 1952, -3520, 6608
1707790956277, 335076, 1856, -3472, 6608
1707790956277, 335078, 1936, -3472, 6304
1707790956277, 335079, 1936, -3472, 6560
1707790956278, 335081, 2096, -3536, 6496
1707790956304, 335093, 1952, -3632, 6560
1707790956305, 335094, 1952, -3632, 6672
1707790956305, 335096, 1872, -3712, 6672
1707790956305, 335097, 1728, -3584, 6480
1707790956305, 335099, 1728, -3584, 6592
1707790956305, 335101, 1856, -3568, 6592
1707790956305, 335102, 1968, -3520, 6416
1707790956305, 335104, 1968, -3520, 6416
1707790956305, 335105, 1968, -3344, 6944
1707790956306, 335107, 1840, -3312, 6656
1707790956328, 335119, 1728, -2928, 7264
1707790956329, 335121, 1744, -2864, 7264
1707790956329, 335122, 1664, -2864, 7440
1707790956329, 335124, 1664, -2864, 7440
1707790956329, 335125, 1664, -2688, 7440
1707790956329, 335127, 1680, -2832, 7232
1707790956329, 335129, 1680, -2832, 7232
1707790956329, 335130, 1904, -2816, 7424
1707790956329, 335132, 1776, -2944, 7328
1707790956330, 335133, 1776, -2944, 7328
1707790956356, 335145, 1728, -3088, 7408
1707790956357, 335147, 1648, -3088, 7440
1707790956357, 335148, 1648, -3088, 7440
1707790956357, 335150, 1760, -3072, 7392
1707790956357, 335152, 1872, -3264, 7488
1707790956357, 335153, 1872, -3264, 7488
1707790956357, 335155, 1872, -3408, 7360
1707790956357, 335157, 2000, -3376, 7584
1707790956357, 335158, 2000, -3376, 7584
1707790956358, 335160, 2128, -3504, 7408
1707790956380, 335172, 1968, -3696, 6960
1707790956381, 335173, 1968, -3696, 6960
1707790956381, 335175, 2016, -3728, 6768
1707790956381, 335176, 1888, -3696, 6736
1707790956381, 335178, 1888, -3696, 6736
1707790956381, 335180, 1888, -3744, 6624
1707790956381, 335181, 1904, -3760, 6496
1707790956381, 335183, 1904, -3760, 6496
1707790956381, 335184, 1872, -3664, 6608
1707790956382, 335186, 1616, -3616, 6608
1707790956408, 335198, 1936, -3504, 6480
1707790956409, 335199, 1856, -3424, 6464
1707790956409, 335201, 1632, -3376, 6560
1707790956409, 335203, 1632, -3376, 6560
1707790956409, 335204, 1824, -3232, 6288
1707790956409, 335206, 1824, -3152, 6480
1707790956409, 335208, 1824, -3152, 6480
1707790956409, 335209, 1888, -3104, 6608
1707790956409, 335211, 1888, -3024, 6832
1707790956410, 335212, 1792, -3024, 6832
1707790956437, 335224, 1648, -2864, 6912
1707790956437, 335226, 1728, -2816, 7040
1707790956437, 335227, 1728, -2816, 7040
1707790956437, 335229, 1648, -2944, 6880
1707790956437, 335231, 1648, -2976, 7088
1707790956437, 335232, 1760, -2976, 7088
1707790956437, 335234, 1792, -3008, 7008
1707790956438, 335235, 1792, -3264, 7040
1707790956438, 335237, 1840, -3104, 7040
1707790956438, 335239, 1696, -3120, 7104
1707790956461, 335251, 1856, -3552, 6624
1707790956461, 335252, 1904, -3552, 6624
1707790956461, 335254, 1728, -3616, 6944
1707790956461, 335255, 1728, -3648, 6912
1707790956461, 335257, 1824, -3648, 6912
1707790956461, 335259, 2080, -3664, 6688
1707790956461, 335260, 2080, -3664, 6752
1707790956461, 335262, 1984, -3712, 6752
1707790956462, 335263, 2144, -3840, 6912
1707790956462, 335265, 2144, -3840, 6656
1707790956489, 335277, 2032, -3872, 6640
1707790956489, 335278, 2064, -3808, 6704
1707790956489, 335280, 2064, -4064, 6560
1707790956489, 335282, 2080, -3856, 6560
1707790956489, 335283, 2288, -3808, 6432
1707790956489, 335285, 2288, -3808, 6432
1707790956489, 335287, 2208, -3792, 6480
1707790956489, 335288, 1904, -3664, 6688
1707790956490, 335290, 1904, -3664, 6688
1707790956490, 335291, 1824, -3664, 6912
1707790956513, 335303, 1824, -3440, 7472
1707790956513, 335305, 1824, -3440, 7472
1707790956513, 335306, 1984, -3440, 7696
1707790956513, 335308, 1760, -3504, 7760
1707790956513, 335310, 1760, -3504, 7760
1707790956513, 335311, 1712, -3472, 7504
1707790956513, 335313, 1680, -3440, 7184
1707790956513, 335314, 1680, -3440, 7184
1707790956514, 335316, 1824, -3488, 7040
1707790956514, 335318, 1936, -3616, 7120
1707790956541, 335329, 1872, -3712, 6720
1707790956541, 335331, 1952, -3712, 6544
1707790956541, 335333, 1824, -3712, 6656
1707790956541, 335334, 1824, -3712, 6656
1707790956541, 335336, 1936, -3760, 6656
1707790956541, 335338, 2064, -3776, 6656
1707790956541, 335339, 2064, -3776, 6656
1707790956541, 335341, 2048, -3792, 6496
1707790956542, 335342, 2128, -3792, 6416
1707790956542, 335344, 2128, -3792, 6416
1707790956565, 335356, 2144, -4128, 6064
1707790956565, 335357, 2048, -4144, 5728
1707790956565, 335359, 2048, -4144, 5728
1707790956565, 335361, 2080, -4224, 5808
1707790956565, 335362, 2080, -4272, 5552
1707790956565, 335364, 2080, -4272, 5552
1707790956565, 335365, 2032, -4272, 5616
1707790956565, 335367, 2128, -4288, 5312
1707790956566, 335369, 2128, -4288, 5312
1707790956566, 335370, 2112, -4256, 5520
1707790956593, 335382, 2064, -4368, 5296
1707790956593, 335384, 2064, -4368, 5296
1707790956593, 335385, 2064, -4432, 5344
1707790956593, 335387, 1904, -4432, 5360
1707790956593, 335389, 1904, -4432, 5360
1707790956593, 335390, 1904, -4368, 5456
1707790956593, 335392, 2160, -4336, 4928
1707790956593, 335393, 2080, -4336, 4928
1707790956594, 335395, 2016, -4384, 5120
1707790956594, 335397, 2016, -4384, 5024
1707790956621, 335408, 1968, -4400, 4592
1707790956621, 335410, 1920, -4384, 4624
1707790956621, 335412, 1664, -4288, 4592
1707790956621, 335413, 1664, -4288, 4592
1707790956621, 335415, 1808, -4336, 4784
1707790956621, 335416, 1808, -4272, 4752
1707790956621, 335418, 1776, -4272, 4752
1707790956621, 335420, 1776, -4240, 4416
1707790956622, 335421, 1776, -4240, 4496
1707790956622, 335423, 1680, -4272, 4496
1707790956645, 335435, 1344, -4336, 4384
1707790956645, 335436, 1088, -4240, 4336
1707790956645, 335438, 1168, -4240, 4336
1707790956645, 335440, 1200, -4432, 4352
1707790956645, 335441, 1200, -4432, 4272
1707790956645, 335443, 1280, -4480, 4272
1707790956645, 335444, 1328, -4560, 4320
1707790956645, 335446, 1328, -4560, 4320
1707790956646, 335448, 1120, -4560, 4320
1707790956646, 335449, 848, -4672, 4288
1707790956673, 335461, 656, -4736, 3792
1707790956673, 335463, 592, -4736, 3792
1707790956673, 335464, 528, -4704, 3344
1707790956673, 335466, 528, -4704, 3312
1707790956673, 335467, 496, -4752, 3312
1707790956673, 335469, 496, -4720, 3520
1707790956673, 335471, 496, -4720, 3520
1707790956674, 335472, 432, -4752, 3360
1707790956674, 335474, 432, -4784, 3264
1707790956674, 335476, 432, -4784, 3264
1707790956674, 335477, 96, -4736, 3008
1707790956701, 335489, -320, -4848, 2656
1707790956701, 335491, -320, -4848, 2496
1707790956701, 335492, -480, -4928, 2496
1707790956701, 335494, -656, -4944, 2512
1707790956701, 335496, -656, -4944, 2512
1707790956701, 335497, -480, -4960, 2400
1707790956701, 335499, -848, -4992, 2192
1707790956702, 335500, -848, -4992, 2192
1707790956721, 335502, -784, -5104, 2288
1707790956721, 335504, -656, -5040, 1952
1707790956721, 335505, -656, -5040, 1952
1707790956721, 335517, -1104, -5232, 1248
1707790956721, 335519, -1360, -5280, 848
1707790956721, 335520, -1360, -5280, 864
1707790956721, 335522, -1264, -5344, 864
1707790956721, 335524, -1152, -5360, 928
1707790956722, 335525, -1152, -5360, 672
1707790956745, 335527, -1536, -5392, 752
1707790956745, 335529, -1648, -5440, 1040
1707790956745, 335530, -1648, -5440, 1040
1707790956745, 335532, -1856, -5536, 848
1707790956745, 335544, -1888, -6576, 1520
1707790956745, 335545, -1888, -6832, 1488
1707790956745, 335547, -2016, -6752, 1488
1707790956746, 335549, -1920, -6880, 1376
1707790956757, 335550, -1920, -6880, 1376
1707790956757, 335552, -2000, -6944, 1920
1707790956757, 335553, -2016, -6912, 1904
1707790956757, 335555, -2016, -6912, 2160
1707790956757, 335557, -2288, -6880, 2112
1707790956781, 335568, -2960, -6304, 2352
1707790956781, 335570, -2960, -6304, 2336
1707790956781, 335572, -3024, -6208, 2336
1707790956781, 335573, -3424, -5920, 2416
1707790956781, 335575, -3424, -5920, 2736
1707790956781, 335577, -3440, -5856, 2736
1707790956781, 335578, -3536, -5840, 3056
1707790956782, 335580, -3536, -5840, 3056
1707790956801, 335581, -3632, -5728, 2928
1707790956801, 335583, -3728, -5600, 3136
1707790956801, 335595, -3920, -5392, 3984
1707790956801, 335597, -4144, -5392, 3984
1707790956801, 335598, -4288, -5168, 3840
1707790956801, 335600, -4288, -4912, 4224
1707790956801, 335601, -4240, -5056, 4224
1707790956802, 335603, -4240, -4960, 4176
1707790956806, 335605, -4240, -4960, 4304
1707790956806, 335606, -4432, -4816, 4304
1707790956806, 335608, -4320, -4560, 4336
1707790956830, 335620, -4752, -3520, 4320
1707790956830, 335621, -4720, -3520, 4320
1707790956830, 335623, -4784, -3520, 4096
1707790956830, 335625, -4784, -3744, 4464
1707790956830, 335626, -4880, -3744, 4464
1707790956830, 335628, -4944, -3936, 4576
1707790956830, 335630, -4944, -3936, 4480
1707790956831, 335631, -5104, -4000, 4480
1707790956854, 335633, -5312, -3904, 4976
1707790956854, 335634, -5312, -3904, 4896
1707790956854, 335646, -5552, -4880, 6400
1707790956854, 335648, -5264, -4912, 6384
1707790956854, 335650, -5264, -5040, 6464
1707790956854, 335651, -5136, -5040, 6464
1707790956855, 335653, -5136, -5200, 6144
1707790956855, 335654, -5136, -5456, 6000
1707790956855, 335656, -4960, -5456, 6000
1707790956855, 335658, -4880, -5568, 5840
1707790956855, 335659, -4880, -5824, 5840
1707790956882, 335671, -4944, -6512, 6400
1707790956882, 335673, -4928, -6800, 6656
1707790956882, 335674, -4672, -7104, 6432
1707790956882, 335676, -4800, -7104, 6432
1707790956882, 335678, -4944, -7488, 6560
1707790956882, 335679, -4944, -7760, 6656
1707790956883, 335681, -5008, -7760, 6656
1707790956883, 335683, -5216, -7920, 6512
1707790956906, 335684, -5216, -8016, 6544
1707790956906, 335686, -5168, -8016, 6544
1707790956906, 335698, -5696, -7936, 6112
1707790956906, 335699, -5808, -7744, 6208
1707790956906, 335701, -5808, -7744, 6208
1707790956906, 335702, -6096, -7472, 6272
1707790956906, 335704, -6352, -7040, 6576
1707790956907, 335706, -6336, -7040, 6576
1707790956907, 335707, -6512, -6528, 6400
1707790956907, 335709, -6512, -5984, 6736
1707790956907, 335711, -6768, -5984, 6736
1707790956934, 335722, -6864, -2720, 7872
1707790956934, 335724, -6912, -2224, 8352
1707790956934, 335726, -6912, -2224, 8352
1707790956934, 335727, -7088, -1760, 8544
1707790956934, 335729, -7280, -1456, 8704
1707790956934, 335731, -7280, -1456, 8704
1707790956935, 335732, -7216, -1056, 9040
1707790956935, 335734, -7216, -752, 9088
1707790956954, 335735, -7328, -752, 9088
1707790956954, 335737, -7184, -576, 9120
1707790956954, 335749, -6496, -960, 9824
1707790956954, 335751, -6496, -960, 9824
1707790956954, 335752, -6320, -1136, 10080
1707790956954, 335754, -6096, -1376, 10224
1707790956955, 335755, -6096, -1376, 10224
1707790956955, 335757, -5952, -1632, 10304
1707790956978, 335759, -5760, -1936, 10336
1707790956978, 335760, -5760, -1936, 10336
1707790956978, 335762, -5440, -2320, 10160
1707790956978, 335774, -4816, -4384, 9616
1707790956978, 335775, -4816, -4384, 9616
1707790956978, 335777, -4784, -4704, 9200
1707790956979, 335779, -4624, -4832, 8800
1707790956979, 335780, -4624, -4832, 8800
1707790957002, 335782, -4640, -4816, 8224
1707790957002, 335784, -4640, -4800, 7600
1707790957002, 335785, -4640, -4800, 7600
1707790957002, 335787, -4576, -4816, 7152
1707790957002, 335788, -4464, -4880, 6976
1707790957002, 335800, -4400, -4896, 5360
1707790957003, 335802, -4464, -4752, 5232
1707790957003, 335804, -4432, -4592, 4944
1707790957014, 335805, -4432, -4592, 4944
1707790957014, 335807, -4560, -4400, 4384
1707790957014, 335808, -4496, -4128, 4240
1707790957014, 335810, -4496, -4128, 4240
1707790957014, 335812, -4416, -3888, 3600
1707790957014, 335813, -4448, -3600, 3104
1707790957038, 335825, -4400, -3424, 2112
1707790957038, 335827, -4592, -3488, 1968
1707790957038, 335828, -4672, -3664, 2080
1707790957038, 335830, -4672, -3664, 2080
1707790957038, 335832, -4688, -3632, 2032
1707790957039, 335833, -4864, -3728, 1968
1707790957039, 335835, -4864, -3728, 1968
1707790957039, 335837, -5008, -3776, 2096
1707790957058, 335838, -5136, -3792, 2240
1707790957058, 335840, -5136, -3792, 2240
1707790957058, 335852, -5344, -3680, 2992
1707790957058, 335853, -5488, -3536, 2960
1707790957058, 335855, -5488, -3536, 2960
1707790957058, 335856, -5664, -3424, 2800
1707790957059, 335858, -5776, -3264, 3072
1707790957059, 335860, -5776, -3264, 3072
1707790957063, 335861, -5776, -3120, 2912
1707790957063, 335863, -5888, -2912, 3104
1707790957063, 335865, -5888, -2912, 3104
1707790957087, 335876, -6048, -2064, 2976
1707790957087, 335878, -6320, -1968, 3280
1707790957087, 335880, -6320, -1968, 3280
1707790957087, 335881, -6272, -1808, 3408
1707790957087, 335883, -6336, -1792, 3392
1707790957088, 335885, -6336, -1792, 3392
1707790957088, 335886, -6320, -1696, 3472
1707790957088, 335888, -6448, -1648, 3776
1707790957111, 335889, -6448, -1648, 3776
1707790957111, 335891, -6384, -1776, 4000
1707790957111, 335903, -6416, -1728, 4800
1707790957111, 335905, -6416, -1728, 5056
1707790957111, 335906, -6240, -1696, 4896
1707790957112, 335908, -6432, -1696, 4816
1707790957112, 335909, -6432, -1696, 4816
1707790957112, 335911, -6272, -1840, 4880
1707790957112, 335913, -6304, -2048, 4512
1707790957112, 335914, -6304, -2048, 4512
1707790957112, 335916, -6048, -2416, 4416
1707790957139, 335928, -5824, -4400, 3792
1707790957139, 335929, -5824, -4400, 3840
1707790957139, 335931, -5664, -4768, 3840
1707790957139, 335933, -5824, -5040, 3488
1707790957139, 335934, -5824, -5040, 3488
1707790957140, 335936, -5728, -5392, 3520
1707790957140, 335938, -5824, -5648, 3280
1707790957140, 335939, -5824, -5648, 3280
1707790957159, 335941, -5728, -5856, 3504
1707790957159, 335942, -5664, -6000, 3424
1707790957159, 335954, -6800, -6176, 2944
1707790957159, 335956, -7008, -6080, 2944
1707790957159, 335957, -7264, -6000, 2896
1707790957160, 335959, -7264, -6000, 3152
