Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932301620, 1360380, -944, 144, 8240
1707932301630, 1360391, -928, 144, 8048
1707932301642, 1360402, -960, 112, 8192
1707932301652, 1360413, -880, 96, 8160
1707932301664, 1360424, -880, 128, 8320
1707932301674, 1360435, -768, 64, 8064
1707932301686, 1360446, -864, 48, 8048
1707932301696, 1360457, -880, 96, 7888
1707932301708, 1360468, -928, 48, 8080
1707932301718, 1360479, -928, 64, 8128
1707932301730, 1360490, -928, 64, 8192
1707932301740, 1360501, -912, 80, 8096
1707932301752, 1360512, -912, 128, 8080
1707932301762, 1360523, -960, 208, 8048
1707932301774, 1360534, -896, 192, 8160
1707932301784, 1360545, -944, 144, 8208
1707932301796, 1360556, -880, 48, 8336
1707932301806, 1360567, -912, 16, 8256
1707932301818, 1360578, -912, -16, 8320
1707932301828, 1360589, -944, 64, 8320
1707932301840, 1360600, -912, 96, 8288
1707932301850, 1360611, -976, 144, 8208
1707932301862, 1360622, -1088, 112, 8208
1707932301872, 1360633, -832, 64, 8096
1707932301884, 1360644, -848, 32, 8016
1707932301894, 1360655, -832, 80, 8016
1707932301906, 1360666, -848, 80, 8000
1707932301916, 1360677, -864, 48, 7984
1707932301928, 1360688, -944, 128, 8016
1707932301938, 1360699, -864, 192, 8096
1707932301950, 1360710, -880, 208, 8256
1707932301960, 1360721, -864, 144, 8240
1707932301972, 1360732, -896, 48, 8320
1707932301982, 1360743, -896, 64, 8288
1707932301995, 1360754, -944, 0, 8272
1707932302005, 1360765, -1008, 16, 8224
1707932302015, 1360776, -912, -16, 8160
1707932302027, 1360787, -976, 96, 8160
1707932302037, 1360798, -992, 48, 8144
1707932302049, 1360809, -880, 176, 8176
1707932302059, 1360820, -928, 160, 8128
1707932302071, 1360831, -912, 144, 8208
1707932302081, 1360842, -928, 112, 8224
1707932302093, 1360853, -864, 80, 8128
1707932302103, 1360864, -848, 32, 8176
1707932302115, 1360875, -864, 32, 8160
1707932302125, 1360886, -832, 32, 8176
1707932302137, 1360897, -832, 80, 8192
1707932302147, 1360908, -768, 96, 8224
1707932302159, 1360919, -896, 112, 8208
1707932302169, 1360930, -832, 48, 8160
1707932302181, 1360941, -800, 16, 8160
1707932302191, 1360952, -816, 16, 8160
1707932302203, 1360963, -896, 80, 8064
1707932302213, 1360974, -944, 80, 8096
1707932302225, 1360985, -864, 176, 8144
1707932302235, 1360996, -928, 272, 8176
1707932302247, 1361007, -992, 224, 8144
1707932302257, 1361018, -880, 160, 8144
1707932302269, 1361029, -864, 96, 8128
1707932302279, 1361040, -816, -16, 8160
1707932302291, 1361051, -880, -16, 8224
1707932302301, 1361062, -848, 16, 8176
1707932302313, 1361073, -816, -16, 8112
1707932302323, 1361084, -832, 48, 8080
1707932302335, 1361095, -784, 96, 8048
1707932302345, 1361106, -896, 176, 8160
1707932302357, 1361117, -880, 160, 8112
1707932302367, 1361128, -848, 80, 8064
1707932302379, 1361139, -848, 96, 8160
1707932302389, 1361150, -912, 64, 8144
1707932302401, 1361161, -928, 128, 8160
1707932302411, 1361172, -880, 112, 8160
1707932302423, 1361183, -896, 112, 8208
