Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932076506, 1135265, -1248, -624, 8080
1707932076517, 1135276, -1296, -640, 7968
1707932076526, 1135287, -1248, -544, 7888
1707932076539, 1135298, -1280, -432, 8096
1707932076550, 1135309, -1280, -272, 8176
1707932076559, 1135320, -1312, -240, 8128
1707932076572, 1135331, -1296, -368, 8112
1707932076583, 1135342, -1264, -496, 8080
1707932076594, 1135353, -1232, -576, 8048
1707932076605, 1135364, -1296, -656, 8048
1707932076616, 1135375, -1248, -688, 8096
1707932076627, 1135386, -1280, -656, 8160
1707932076638, 1135397, -1264, -560, 8208
1707932076649, 1135408, -1280, -512, 8464
1707932076660, 1135419, -1232, -320, 8304
1707932076671, 1135430, -1296, -288, 8160
1707932076682, 1135441, -1248, -336, 8096
1707932076693, 1135452, -1200, -528, 8016
1707932076704, 1135463, -1200, -496, 8064
1707932076715, 1135474, -1104, -544, 8112
1707932076726, 1135485, -1216, -576, 8112
1707932076736, 1135496, -1232, -416, 8176
1707932076746, 1135507, -1232, -320, 8160
1707932076759, 1135518, -1232, -432, 8160
1707932076770, 1135529, -1216, -416, 8112
1707932076781, 1135540, -1216, -528, 7968
1707932076792, 1135551, -1152, -432, 8016
1707932076802, 1135562, -1152, -464, 8032
1707932076812, 1135573, -1232, -256, 8000
1707932076824, 1135584, -1248, -176, 8000
1707932076834, 1135595, -1408, -352, 8032
1707932076847, 1135606, -1504, -304, 8064
1707932076858, 1135617, -1600, -160, 8160
1707932076867, 1135628, -1648, 16, 8192
1707932076879, 1135639, -1776, 128, 8112
1707932076889, 1135650, -1840, 80, 8080
1707932076902, 1135661, -1968, 32, 8240
1707932076913, 1135672, -1936, 96, 8400
1707932076923, 1135683, -2256, 16, 8288
1707932076933, 1135694, -2352, -128, 8208
1707932076946, 1135705, -2352, -208, 8320
1707932076956, 1135716, -2736, -288, 8464
1707932076966, 1135727, -2544, -720, 8736
1707932076979, 1135738, -2576, -960, 8560
1707932076990, 1135749, -3536, -672, 8672
1707932077001, 1135760, -3488, -416, 8880
1707932077012, 1135771, -3440, -464, 8384
1707932077023, 1135782, -3824, -208, 8256
1707932077034, 1135793, -3600, -1008, 8736
1707932077045, 1135804, -3392, -1696, 8432
1707932077056, 1135815, -3472, -2528, 8224
1707932077067, 1135826, -3392, -3632, 7888
1707932077078, 1135837, -3360, -4352, 8064
1707932077088, 1135848, -3200, -4816, 8144
1707932077098, 1135859, -2752, -5408, 8256
1707932077111, 1135870, -2512, -6192, 8432
1707932077122, 1135881, -2240, -7008, 8896
1707932077133, 1135892, -1536, -7856, 9264
1707932077144, 1135903, -1056, -8144, 9792
1707932077155, 1135914, -608, -8176, 10176
1707932077166, 1135925, -240, -8288, 11152
1707932077177, 1135936, -560, -8352, 11840
1707932077188, 1135947, -176, -8016, 12160
1707932077199, 1135958, -16, -8144, 12368
1707932077210, 1135969, 1408, -9040, 12272
1707932077221, 1135980, 2208, -10400, 12112
1707932077232, 1135991, 2480, -11984, 12208
1707932077243, 1136002, 4256, -12560, 12704
1707932077254, 1136013, 5216, -12320, 13968
1707932077265, 1136024, 5424, -10944, 14544
1707932077276, 1136035, 6736, -9392, 15328
1707932077287, 1136046, 7200, -7504, 15904
1707932077298, 1136057, 7376, -5248, 16512
1707932077309, 1136068, 8144, -3696, 16640
1707932077320, 1136079, 8544, -2080, 16432
1707932077331, 1136090, 8608, -1008, 16128
1707932077342, 1136101, 9696, 176, 15728
1707932077353, 1136112, 10144, 1424, 15328
1707932077364, 1136123, 10688, 1776, 15152
1707932077375, 1136134, 11440, 1952, 15120
1707932077386, 1136145, 12816, 2208, 14864
1707932077397, 1136156, 13568, 2944, 13952
1707932077408, 1136167, 13744, 4176, 12736
1707932077419, 1136178, 13440, 5904, 11424
1707932077430, 1136189, 13232, 7024, 10624
1707932077441, 1136200, 12832, 7872, 9504
1707932077452, 1136211, 12416, 8336, 7760
1707932077463, 1136222, 11712, 8544, 6368
1707932077474, 1136233, 10816, 8432, 5280
1707932077485, 1136244, 9760, 7856, 4800
