Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932202973, 1261732, -3136, 1472, 7184
1707932202983, 1261743, -2944, 1248, 6992
1707932202993, 1261754, -2928, 1120, 6944
1707932203006, 1261765, -2944, 1520, 7184
1707932203017, 1261776, -3040, 1760, 7408
1707932203028, 1261787, -3136, 1808, 7632
1707932203038, 1261798, -3072, 1856, 7552
1707932203048, 1261809, -3072, 1728, 7536
1707932203061, 1261820, -3056, 1632, 7552
1707932203072, 1261831, -3024, 1536, 7376
1707932203083, 1261842, -3008, 1488, 7296
1707932203094, 1261853, -3072, 1616, 7072
1707932203105, 1261864, -3024, 1632, 7200
1707932203116, 1261875, -3024, 1648, 7280
1707932203127, 1261886, -3072, 1728, 7264
1707932203138, 1261897, -3072, 1744, 7408
1707932203149, 1261908, -3040, 1680, 7456
1707932203160, 1261919, -3040, 1568, 7440
1707932203171, 1261930, -3040, 1504, 7520
1707932203182, 1261941, -2976, 1536, 7504
1707932203193, 1261952, -3008, 1440, 7424
1707932203204, 1261963, -2896, 1376, 7424
1707932203215, 1261974, -2944, 1408, 7376
1707932203226, 1261985, -2992, 1552, 7456
1707932203237, 1261996, -2960, 1664, 7424
1707932203248, 1262007, -2992, 1696, 7440
1707932203259, 1262018, -2976, 1728, 7424
1707932203270, 1262029, -2944, 1584, 7392
1707932203281, 1262040, -2896, 1536, 7488
1707932203292, 1262051, -2928, 1520, 7552
1707932203303, 1262062, -2944, 1520, 7616
1707932203314, 1262073, -2912, 1552, 7632
1707932203325, 1262084, -2848, 1728, 7632
1707932203336, 1262095, -2960, 1728, 7536
1707932203347, 1262106, -2928, 1760, 7552
1707932203358, 1262117, -2880, 1584, 7312
1707932203369, 1262128, -2720, 1440, 7168
1707932203380, 1262139, -2608, 1296, 7104
1707932203391, 1262150, -2688, 1184, 6896
1707932203402, 1262161, -2768, 1408, 6896
1707932203413, 1262172, -2880, 1712, 7008
1707932203424, 1262183, -2976, 1888, 7456
1707932203435, 1262194, -2288, 1632, 8160
1707932203446, 1262205, -3536, 1184, 8544
1707932203457, 1262216, -3872, 1760, 8832
1707932203468, 1262227, -3744, 2640, 9280
1707932203478, 1262238, -3936, 2976, 9040
1707932203488, 1262249, -3952, 2800, 8480
1707932203501, 1262260, -3952, 2816, 7984
1707932203512, 1262271, -4032, 3104, 8048
1707932203523, 1262282, -4464, 3744, 8464
1707932203534, 1262293, -4672, 4208, 8944
1707932203545, 1262304, -4592, 4880, 9424
1707932203556, 1262315, -4592, 5456, 9984
1707932203567, 1262326, -4352, 5712, 11488
1707932203578, 1262337, -4400, 6160, 12432
1707932203589, 1262348, -4464, 6736, 13072
1707932203600, 1262359, -4480, 6992, 13392
1707932203611, 1262370, -4448, 6944, 13200
1707932203622, 1262381, -4160, 6720, 12896
1707932203633, 1262392, -4048, 6368, 12592
1707932203644, 1262403, -4032, 6080, 12544
1707932203655, 1262414, -3264, 5600, 12096
1707932203665, 1262425, -2992, 5408, 11840
1707932203675, 1262436, -3056, 5664, 11904
1707932203688, 1262447, -3040, 6448, 12656
1707932203699, 1262458, -3088, 7664, 13808
1707932203710, 1262469, -2864, 8368, 14112
1707932203721, 1262480, -2304, 8512, 13888
1707932203732, 1262491, -1504, 7296, 12688
1707932203743, 1262502, -720, 5808, 11792
1707932203754, 1262513, -112, 4416, 11568
1707932203765, 1262524, -144, 3776, 11264
1707932203776, 1262535, -48, 3984, 10576
1707932203787, 1262546, -112, 3968, 9168
1707932203798, 1262557, -176, 3616, 7072
1707932203809, 1262568, -256, 3648, 5984
1707932203819, 1262579, -496, 4144, 5392
1707932203829, 1262590, -464, 4720, 5232
1707932203842, 1262601, -16, 3824, 5264
1707932203850, 1262612, 32, 1648, 4736
1707932203862, 1262623, 112, -608, 4992
1707932203874, 1262634, 0, -2048, 4224
1707932203884, 1262645, -240, -2992, 3152
1707932203897, 1262656, -288, -3392, 2480
1707932203908, 1262667, -704, -3776, 1712
1707932203919, 1262678, -928, -3936, 992
1707932203930, 1262689, -912, -4000, 576
1707932203941, 1262700, -1520, -4384, 320
1707932203952, 1262711, -1776, -3888, 880
1707932203963, 1262722, -2160, -3536, 1376
1707932203974, 1262733, -2192, -3568, 1536
1707932203985, 1262744, -2144, -4544, 1056
1707932203996, 1262755, -1760, -5648, 512
1707932204007, 1262766, -1200, -6592, -112
1707932204018, 1262777, -960, -7920, -1344
1707932204029, 1262788, -768, -9040, -1808
1707932204040, 1262799, -352, -10240, -2144
1707932204051, 1262810, 32, -11840, -2528
1707932204062, 1262821, 384, -12720, -2816
1707932204073, 1262832, 640, -13744, -3328
1707932204084, 1262843, 928, -14752, -4176
1707932204095, 1262854, 1312, -15312, -4912
1707932204106, 1262865, 1600, -15584, -5856
1707932204117, 1262876, 1632, -15408, -6704
1707932204128, 1262887, 2336, -14960, -7024
1707932204139, 1262898, 2736, -14624, -6848
1707932204150, 1262909, 2848, -14720, -6176
1707932204161, 1262920, 3488, -15440, -5712
1707932204172, 1262931, 4000, -16224, -5312
