Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932503274, 1562032, 432, -1152, 8128
1707932503285, 1562043, 432, -1024, 8256
1707932503296, 1562054, 416, -1024, 8256
1707932503307, 1562065, 352, -1040, 8272
1707932503318, 1562076, 352, -1184, 8192
1707932503329, 1562087, 352, -1280, 8160
1707932503340, 1562098, 336, -1296, 8128
1707932503351, 1562109, 400, -1264, 8208
1707932503362, 1562120, 384, -1184, 8288
1707932503373, 1562131, 240, -1008, 8336
1707932503384, 1562142, 384, -944, 8304
1707932503395, 1562153, 416, -976, 8192
1707932503406, 1562164, 528, -1152, 8144
1707932503417, 1562175, 432, -1248, 8128
1707932503428, 1562186, 448, -1264, 8144
1707932503439, 1562197, 480, -1216, 8192
1707932503450, 1562208, 432, -1088, 8256
1707932503461, 1562219, 432, -1088, 8192
1707932503472, 1562230, 384, -1040, 8160
1707932503483, 1562241, 384, -1040, 8128
1707932503494, 1562252, 400, -1040, 7920
1707932503505, 1562263, 320, -1040, 8208
1707932503516, 1562274, 432, -1088, 8192
1707932503527, 1562285, 496, -1088, 8448
1707932503537, 1562296, 480, -1136, 8272
1707932503547, 1562307, 432, -1104, 8144
1707932503559, 1562318, 576, -1104, 8176
1707932503571, 1562329, 432, -1040, 8096
1707932503581, 1562340, 416, -1024, 8096
1707932503592, 1562351, 384, -960, 8048
1707932503604, 1562362, 400, -960, 8160
1707932503615, 1562373, 448, -1024, 8192
1707932503626, 1562384, 352, -1040, 8160
1707932503637, 1562395, 368, -1024, 8160
1707932503648, 1562406, 272, -928, 8144
1707932503657, 1562417, 224, -864, 8256
1707932503670, 1562428, 240, -864, 8320
1707932503681, 1562439, 176, -800, 8352
1707932503692, 1562450, 240, -832, 8368
1707932503703, 1562461, 160, -864, 8256
1707932503714, 1562472, 48, -768, 8192
1707932503725, 1562483, 64, -688, 8208
1707932503736, 1562494, 16, -640, 8208
1707932503745, 1562505, 0, -592, 8160
1707932503756, 1562516, -16, -624, 8320
1707932503769, 1562527, -48, -960, 8368
1707932503780, 1562538, -16, -1664, 8576
1707932503791, 1562549, -112, -2352, 8480
1707932503802, 1562560, -208, -2704, 8464
1707932503813, 1562571, -368, -2384, 8880
1707932503824, 1562582, -672, -2064, 9328
1707932503835, 1562593, -1008, -1680, 9584
1707932503846, 1562604, -1280, -1280, 9680
1707932503857, 1562615, -1408, -1104, 9568
1707932503868, 1562626, -1568, -1312, 9328
1707932503879, 1562637, -1472, -1744, 9088
1707932503890, 1562648, -1456, -2064, 9152
1707932503901, 1562659, -1824, -2448, 9216
1707932503912, 1562670, -1968, -2928, 9440
1707932503923, 1562681, -1856, -3360, 9632
1707932503934, 1562692, -1792, -3888, 9904
1707932503945, 1562703, -1616, -4592, 10320
1707932503956, 1562714, -1376, -5168, 10560
1707932503967, 1562725, -1136, -5664, 10640
1707932503978, 1562736, -1056, -6272, 10544
1707932503989, 1562747, -576, -6960, 10512
1707932504000, 1562758, -528, -7664, 10448
1707932504011, 1562769, -544, -8176, 10224
1707932504022, 1562780, -176, -8256, 9744
1707932504033, 1562791, 96, -8400, 9040
1707932504044, 1562802, 176, -9040, 8512
1707932504055, 1562813, 1264, -9936, 8192
1707932504066, 1562824, 1904, -10784, 8160
1707932504077, 1562835, 2080, -11600, 8256
1707932504088, 1562846, 3168, -12064, 8640
1707932504099, 1562857, 3792, -12320, 9200
1707932504110, 1562868, 3888, -12208, 9984
1707932504121, 1562879, 4704, -11568, 10624
1707932504132, 1562890, 4768, -10704, 11296
1707932504143, 1562901, 4896, -10288, 11168
1707932504154, 1562912, 5280, -10624, 10928
1707932504165, 1562923, 6112, -12016, 10464
1707932504176, 1562934, 7040, -13504, 10144
1707932504187, 1562945, 7984, -14448, 9664
1707932504198, 1562956, 8976, -14912, 9056
1707932504209, 1562967, 9744, -14704, 8304
1707932504220, 1562978, 10704, -14064, 7696
1707932504231, 1562989, 12080, -13808, 7440
1707932504242, 1563000, 13344, -13696, 7744
1707932504253, 1563011, 14480, -13136, 8304
1707932504264, 1563022, 14768, -11584, 9360
1707932504275, 1563033, 16272, -10144, 9824
1707932504286, 1563044, 16480, -8208, 9456
1707932504297, 1563055, 16592, -5408, 8672
1707932504308, 1563066, 16432, -3296, 8384
1707932504319, 1563077, 15936, -1360, 8992
1707932504330, 1563088, 15888, 176, 9632
1707932504341, 1563099, 14752, 1072, 10096
1707932504352, 1563110, 14192, 1840, 10352
1707932504363, 1563121, 14064, 3088, 9792
1707932504374, 1563132, 12736, 3984, 9200
1707932504385, 1563143, 12080, 4544, 8176
1707932504396, 1563154, 11968, 4704, 7280
1707932504407, 1563165, 10336, 4912, 6704
1707932504418, 1563176, 9232, 5392, 7296
1707932504428, 1563187, 8016, 5968, 8176
1707932504440, 1563198, 7008, 6496, 9184
1707932504451, 1563209, 5952, 7024, 10224
1707932504462, 1563220, 5328, 6848, 10528
1707932504473, 1563231, 4992, 6080, 10720
1707932504484, 1563242, 4992, 4400, 10848
1707932504495, 1563253, 5312, 3488, 10736
1707932504506, 1563264, 5344, 2992, 10160
1707932504516, 1563275, 5136, 3504, 9760
1707932504527, 1563286, 4752, 4432, 9824
1707932504539, 1563297, 4368, 5376, 10000
1707932504550, 1563308, 3936, 6512, 10000
1707932504561, 1563319, 3648, 7520, 9808
1707932504572, 1563330, 3536, 8176, 9664
1707932504583, 1563341, 3472, 8464, 9456
1707932504594, 1563352, 4064, 8320, 9152
1707932504605, 1563363, 4736, 8176, 8928
1707932504616, 1563374, 4976, 8016, 8928
1707932504626, 1563385, 5824, 8384, 9248
1707932504638, 1563396, 6032, 9216, 9792
1707932504649, 1563407, 5968, 10592, 10208
1707932504660, 1563418, 6496, 11728, 10448
1707932504671, 1563429, 7120, 12560, 10704
1707932504681, 1563440, 7280, 12656, 10096
1707932504693, 1563451, 9568, 12352, 9552
1707932504704, 1563462, 11008, 11664, 9488
1707932504715, 1563473, 11440, 11232, 9872
1707932504726, 1563484, 14352, 11072, 10720
1707932504737, 1563495, 16080, 11120, 11984
1707932504748, 1563506, 17424, 11200, 13376
1707932504759, 1563517, 18544, 11440, 15056
1707932504770, 1563528, 20352, 12288, 17152
1707932504781, 1563539, 22368, 12384, 18400
1707932504792, 1563550, 24240, 11552, 18592
1707932504803, 1563561, 26592, 10208, 18576
1707932504814, 1563572, 28224, 8928, 18368
1707932504825, 1563583, 29712, 7888, 18528
1707932504836, 1563594, 31632, 7488, 19232
1707932504847, 1563605, 32576, 7424, 20352
1707932504858, 1563616, 32640, 6944, 21568
1707932504869, 1563627, 32640, 4752, 21760
1707932504880, 1563638, 32640, 2384, 21328
1707932504891, 1563649, 32640, 1968, 21776
1707932504902, 1563660, 32640, 4240, 23072
1707932504913, 1563671, 32640, 6032, 22832
1707932504924, 1563682, 32640, 5056, 20080
1707932504935, 1563693, 32640, -768, 16560
1707932504946, 1563704, 32640, -8096, 13584
1707932504956, 1563715, 32640, -15920, 10752
1707932504966, 1563726, 32640, -23888, 8912
1707932504978, 1563737, 32640, -27696, 10544
1707932504988, 1563748, 32640, -32400, 17552
1707932505000, 1563759, 32608, -32624, 22960
1707932505010, 1563770, 28448, -32624, 22432
1707932505022, 1563781, 19216, -32624, 16432
1707932505032, 1563792, 14352, -27008, 12032
1707932505045, 1563803, 10768, -14784, 9360
1707932505056, 1563814, 4064, -1152, 1856
1707932505067, 1563825, 2368, 6400, -2176
1707932505077, 1563836, 176, 9904, -4240
1707932505089, 1563847, -480, 9440, -4912
1707932505100, 1563858, -288, 4672, -3008
1707932505111, 1563869, 1328, -2240, 80
1707932505122, 1563880, 2848, -9776, 5024
1707932505133, 1563891, 2496, -14176, 8320
1707932505144, 1563902, 3024, -15664, 11056
1707932505155, 1563913, 3184, -13968, 13392
1707932505166, 1563924, 1808, -12032, 12912
1707932505177, 1563935, 528, -9632, 11184
1707932505187, 1563946, 464, -6064, 8560
1707932505197, 1563957, -304, -3616, 7008
1707932505209, 1563968, -880, -1712, 6432
1707932505221, 1563979, -1152, -240, 6768
1707932505232, 1563990, -1264, 112, 7360
1707932505242, 1564001, -1056, -96, 7456
1707932505253, 1564012, -992, -656, 7280
1707932505263, 1564023, -560, -864, 6928
1707932505276, 1564034, -1008, -1392, 6416
1707932505287, 1564045, -1200, -1968, 6544
1707932505298, 1564056, -1104, -2496, 7696
1707932505309, 1564067, -1440, -2960, 9728
