Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932136950, 1195710, -448, -80, 8176
1707932136961, 1195721, -432, -64, 8160
1707932136972, 1195732, -464, -80, 8096
1707932136983, 1195743, -480, -80, 8064
1707932136994, 1195754, -448, -144, 8176
1707932137005, 1195765, -544, -208, 8240
1707932137016, 1195776, -400, -320, 8160
1707932137027, 1195787, -432, -384, 8144
1707932137038, 1195798, -400, -400, 8192
1707932137049, 1195809, -288, -416, 8304
1707932137060, 1195820, -384, -416, 8304
1707932137071, 1195831, -400, -352, 8272
1707932137082, 1195842, -368, -352, 8320
1707932137093, 1195853, -368, -336, 8288
1707932137104, 1195864, -368, -336, 8240
1707932137115, 1195875, -320, -352, 8224
1707932137126, 1195886, -336, -400, 8112
1707932137137, 1195897, -288, -400, 8128
1707932137148, 1195908, -400, -304, 8144
1707932137159, 1195919, -416, -272, 8224
1707932137170, 1195930, -512, -224, 8320
1707932137181, 1195941, -416, -128, 8384
1707932137192, 1195952, -448, -144, 8432
1707932137203, 1195963, -464, -240, 8336
1707932137214, 1195974, -432, -256, 8320
1707932137225, 1195985, -416, -320, 8256
1707932137236, 1195996, -416, -304, 8176
1707932137247, 1196007, -400, -208, 8240
1707932137258, 1196018, -464, -64, 8240
1707932137269, 1196029, -480, -48, 8304
1707932137280, 1196040, -496, -48, 8304
1707932137291, 1196051, -416, -176, 8240
1707932137302, 1196062, -368, -192, 8224
1707932137313, 1196073, -368, -208, 8240
1707932137324, 1196084, -368, -240, 8192
1707932137335, 1196095, -368, -224, 8224
1707932137346, 1196106, -384, -224, 8240
1707932137357, 1196117, -384, -304, 8384
1707932137368, 1196128, -320, -336, 8320
1707932137379, 1196139, -336, -368, 8272
1707932137390, 1196150, -400, -288, 8096
1707932137401, 1196161, -384, -224, 8160
1707932137412, 1196172, -368, -256, 8112
1707932137423, 1196183, -336, -384, 8064
1707932137434, 1196194, -272, -480, 8096
1707932137445, 1196205, -304, -432, 8192
1707932137456, 1196216, -240, -368, 8272
1707932137467, 1196227, -368, -368, 8336
1707932137478, 1196238, -368, -352, 8112
1707932137489, 1196249, -256, -192, 8288
1707932137500, 1196260, -528, -176, 8416
1707932137511, 1196271, -544, 16, 8480
1707932137522, 1196282, -560, 16, 8528
1707932137533, 1196293, -528, 112, 8512
1707932137544, 1196304, -672, 480, 8512
1707932137555, 1196315, -672, 752, 8256
1707932137566, 1196326, -816, 912, 8016
1707932137577, 1196337, -880, 944, 7744
1707932137588, 1196348, -864, 1104, 7856
1707932137599, 1196359, -832, 1120, 8000
1707932137610, 1196370, -960, 1312, 8240
1707932137621, 1196381, -928, 1696, 8416
1707932137632, 1196392, -928, 2096, 8416
1707932137643, 1196403, -1088, 2448, 8400
1707932137652, 1196414, -960, 2512, 8144
1707932137665, 1196425, -960, 2640, 7920
1707932137676, 1196436, -768, 2848, 7760
1707932137687, 1196447, -608, 2992, 7616
1707932137698, 1196458, -528, 3232, 7536
1707932137709, 1196469, -448, 3520, 7552
1707932137720, 1196480, -272, 3904, 7664
1707932137731, 1196491, -224, 4368, 7984
1707932137742, 1196502, -224, 5008, 8416
1707932137753, 1196513, -64, 5280, 8592
1707932137764, 1196524, 80, 5376, 8464
1707932137775, 1196535, 128, 5360, 8144
1707932137786, 1196546, 544, 5472, 7952
1707932137797, 1196557, 784, 5616, 7744
1707932137808, 1196568, 912, 5984, 8080
1707932137819, 1196579, 1712, 6432, 8816
1707932137830, 1196590, 2080, 6928, 9600
1707932137840, 1196601, 2192, 7440, 10272
1707932137850, 1196612, 3168, 7920, 10432
1707932137862, 1196623, 3664, 8144, 10112
1707932137872, 1196634, 3792, 8240, 9952
1707932137885, 1196645, 5216, 8400, 9904
1707932137895, 1196656, 6240, 8880, 10208
1707932137905, 1196667, 6560, 9280, 10096
1707932137917, 1196678, 8848, 9376, 10048
1707932137927, 1196689, 9888, 9152, 9824
1707932137939, 1196700, 10848, 8656, 9680
1707932137949, 1196711, 11552, 8320, 9760
1707932137960, 1196722, 12064, 7632, 9696
1707932137972, 1196733, 12624, 7168, 9920
1707932137982, 1196744, 13584, 6976, 10256
1707932137994, 1196755, 14720, 7056, 10304
1707932138004, 1196766, 15568, 7232, 10048
1707932138016, 1196777, 16320, 6960, 9616
1707932138026, 1196788, 17136, 6080, 8720
1707932138038, 1196799, 17632, 5088, 7792
1707932138048, 1196810, 17456, 4176, 6944
1707932138060, 1196821, 16992, 3360, 6576
1707932138070, 1196832, 16720, 2944, 7120
1707932138082, 1196843, 16528, 2608, 8288
1707932138092, 1196854, 16496, 2160, 9392
1707932138104, 1196865, 16848, 1488, 8960
1707932138114, 1196876, 17216, 544, 8048
1707932138126, 1196887, 17264, -1632, 6496
1707932138136, 1196898, 17744, -4192, 5136
1707932138148, 1196909, 17008, -6656, 4096
1707932138158, 1196920, 16768, -8256, 4528
1707932138170, 1196931, 14464, -8544, 6000
1707932138180, 1196942, 13248, -8336, 7792
1707932138192, 1196953, 12992, -8192, 8336
1707932138202, 1196964, 11392, -8496, 8320
1707932138214, 1196975, 11072, -9200, 7920
1707932138226, 1196986, 11072, -10192, 7328
1707932138236, 1196997, 10288, -10560, 6960
1707932138246, 1197008, 9984, -10352, 6768
1707932138258, 1197019, 10000, -10080, 6416
1707932138268, 1197030, 9792, -10352, 5488
1707932138280, 1197041, 9712, -10832, 4464
1707932138290, 1197052, 9648, -11568, 4128
1707932138302, 1197063, 10016, -12144, 3904
1707932138314, 1197074, 10160, -12768, 3584
1707932138324, 1197085, 10304, -13120, 2880
1707932138334, 1197096, 10176, -13232, 2496
1707932138346, 1197107, 10096, -12336, 3232
1707932138356, 1197118, 10000, -11552, 3824
1707932138368, 1197129, 9856, -11184, 3856
