Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707933046731, 2105487, 560, -256, 8240
1707933046741, 2105498, 560, -224, 8208
1707933046751, 2105509, 496, -160, 8224
1707933046764, 2105520, 528, -144, 8192
1707933046774, 2105531, 560, -128, 8144
1707933046784, 2105542, 688, -128, 8160
1707933046797, 2105553, 592, -176, 8240
1707933046808, 2105564, 640, -240, 8288
1707933046819, 2105575, 560, -288, 8208
1707933046830, 2105586, 656, -352, 8224
1707933046840, 2105597, 640, -416, 8224
1707933046850, 2105608, 640, -368, 8224
1707933046863, 2105619, 656, -256, 8192
1707933046874, 2105630, 608, -224, 8256
1707933046885, 2105641, 672, -112, 8240
1707933046895, 2105652, 528, -96, 8240
1707933046905, 2105663, 592, -176, 8208
1707933046918, 2105674, 544, -128, 8224
1707933046929, 2105685, 544, -144, 8256
1707933046940, 2105696, 496, -112, 8368
1707933046950, 2105707, 448, -48, 8288
1707933046960, 2105718, 560, -128, 8336
1707933046972, 2105729, 544, -96, 8288
1707933046982, 2105740, 608, -224, 8256
1707933046995, 2105751, 576, -240, 8304
1707933047005, 2105762, 656, -240, 8128
1707933047015, 2105773, 656, -256, 8304
1707933047028, 2105784, 608, -144, 8256
1707933047039, 2105795, 672, -176, 8304
1707933047050, 2105806, 656, -224, 8160
1707933047060, 2105817, 720, -240, 8128
1707933047070, 2105828, 768, -304, 8224
1707933047082, 2105839, 768, -256, 8160
1707933047092, 2105850, 720, -288, 8160
1707933047105, 2105861, 624, -272, 8160
1707933047115, 2105872, 640, -112, 8272
1707933047125, 2105883, 544, -64, 8352
1707933047135, 2105894, 448, 48, 8480
1707933047147, 2105905, 432, 64, 8432
1707933047159, 2105916, 432, 112, 8448
1707933047169, 2105927, 336, 128, 8560
1707933047181, 2105938, 176, 208, 8576
1707933047191, 2105949, 192, 112, 8672
1707933047201, 2105960, 144, 48, 8736
1707933047213, 2105971, 144, 0, 8656
1707933047225, 2105982, 144, 0, 8768
1707933047235, 2105993, 80, 48, 8832
1707933047245, 2106004, 48, 64, 8848
1707933047257, 2106015, 0, 144, 8736
1707933047267, 2106026, 96, 272, 8752
1707933047279, 2106037, 48, 272, 8736
1707933047291, 2106048, 112, 128, 8864
1707933047301, 2106059, 80, 160, 8864
1707933047314, 2106070, -112, 192, 9072
1707933047324, 2106081, -192, 112, 9264
1707933047334, 2106092, -256, 96, 9424
1707933047346, 2106103, -224, 16, 9632
1707933047356, 2106114, -224, -16, 9952
1707933047369, 2106125, -160, -112, 9888
1707933047380, 2106136, -176, -96, 10144
1707933047391, 2106147, -352, 112, 10384
1707933047402, 2106158, -576, 320, 10816
1707933047413, 2106169, -864, 496, 11008
1707933047424, 2106180, -880, 368, 11344
1707933047435, 2106191, -928, 176, 11408
1707933047445, 2106202, -976, 0, 11632
1707933047455, 2106213, -976, -16, 11744
1707933047468, 2106224, -1040, 128, 12048
1707933047479, 2106235, -1184, 304, 12224
1707933047490, 2106246, -1232, 400, 12208
1707933047501, 2106257, -1264, 368, 12272
1707933047512, 2106268, -1104, 240, 12272
1707933047523, 2106279, -1008, -240, 12304
1707933047534, 2106290, -848, -688, 12368
1707933047545, 2106301, -768, -1168, 12384
1707933047556, 2106312, -928, -1568, 12096
1707933047567, 2106323, -528, -1728, 11728
1707933047578, 2106334, -432, -1728, 11328
1707933047589, 2106345, -304, -1264, 10944
1707933047600, 2106356, -512, -1200, 10192
1707933047611, 2106367, -480, -1216, 9488
1707933047622, 2106378, -480, -1424, 8816
1707933047633, 2106389, -32, -1728, 8512
1707933047644, 2106400, -128, -1792, 8480
1707933047655, 2106411, -320, -1776, 8336
1707933047666, 2106422, -592, -1760, 8080
1707933047676, 2106433, -752, -1648, 7648
1707933047686, 2106444, -736, -1744, 7200
1707933047699, 2106455, -688, -1952, 6704
1707933047710, 2106466, -560, -2384, 6080
1707933047721, 2106477, -544, -2656, 5792
1707933047732, 2106488, -688, -2768, 5552
1707933047743, 2106499, -704, -3008, 5536
1707933047754, 2106510, -656, -3328, 5456
1707933047765, 2106521, -480, -3808, 5488
1707933047776, 2106532, -352, -4416, 5408
1707933047787, 2106543, -384, -5008, 5152
1707933047798, 2106554, -464, -5664, 4832
1707933047809, 2106565, -496, -6688, 4480
1707933047820, 2106576, -160, -7584, 4432
1707933047831, 2106587, 48, -8288, 4416
1707933047842, 2106598, 160, -9136, 4192
1707933047853, 2106609, 368, -9712, 3952
1707933047864, 2106620, 528, -10064, 3600
1707933047875, 2106631, 544, -10144, 3376
1707933047886, 2106642, 1280, -9904, 3360
1707933047897, 2106653, 1328, -9488, 3600
1707933047908, 2106664, 1312, -9072, 4064
1707933047919, 2106675, 832, -8992, 4624
1707933047930, 2106686, 656, -9344, 5632
1707933047940, 2106697, 672, -9840, 6480
1707933047950, 2106708, 976, -10160, 7072
1707933047963, 2106719, 1120, -9968, 7392
1707933047974, 2106730, 1440, -9472, 7248
1707933047985, 2106741, 1776, -8608, 6720
1707933047996, 2106752, 2384, -7296, 5936
1707933048007, 2106763, 2752, -5888, 5472
1707933048018, 2106774, 2832, -4544, 4640
1707933048029, 2106785, 2528, -3280, 3920
1707933048040, 2106796, 2304, -2528, 3792
1707933048051, 2106807, 2240, -1904, 3952
1707933048062, 2106818, 2112, -1456, 4480
1707933048073, 2106829, 2208, -1120, 5008
1707933048084, 2106840, 2432, -432, 5584
1707933048095, 2106851, 2720, 1184, 6112
1707933048106, 2106862, 2704, 3152, 6128
1707933048117, 2106873, 2656, 5104, 5808
1707933048128, 2106884, 2480, 6768, 5152
1707933048139, 2106895, 2240, 7328, 4736
1707933048150, 2106906, 2128, 7408, 4208
1707933048161, 2106917, 2128, 7152, 3232
1707933048172, 2106928, 2032, 7360, 2688
1707933048183, 2106939, 1984, 7696, 2224
1707933048193, 2106950, 1936, 8384, 2128
1707933048203, 2106961, 1024, 9360, 2272
1707933048216, 2106972, 592, 10240, 2784
1707933048227, 2106983, 496, 10800, 3120
1707933048238, 2106994, 48, 10784, 3328
1707933048249, 2107005, -256, 10272, 3248
1707933048259, 2107016, -256, 9840, 3152
1707933048269, 2107027, -240, 9520, 3024
1707933048282, 2107038, -528, 9744, 2896
1707933048293, 2107049, -720, 10256, 3328
1707933048304, 2107060, -928, 10912, 3616
1707933048315, 2107071, -1104, 11424, 3680
1707933048326, 2107082, -1152, 11456, 3632
1707933048337, 2107093, -1312, 11184, 3552
1707933048348, 2107104, -1472, 10608, 3824
1707933048359, 2107115, -1616, 10240, 4048
1707933048370, 2107126, -1712, 10240, 4256
1707933048381, 2107137, -1680, 10608, 4160
1707933048392, 2107148, -1792, 11008, 3984
1707933048403, 2107159, -1792, 11440, 3760
1707933048414, 2107170, -1712, 11728, 3424
1707933048425, 2107181, -1504, 11616, 3280
1707933048436, 2107192, -1568, 11184, 3104
1707933048447, 2107203, -1616, 10432, 3072
1707933048458, 2107214, -1984, 10400, 3568
1707933048469, 2107225, -2208, 10816, 4416
1707933048480, 2107236, -2208, 11376, 5536
1707933048491, 2107247, -1648, 11424, 6048
1707933048502, 2107258, -720, 10928, 6544
1707933048511, 2107269, -432, 9184, 6320
1707933048524, 2107280, 800, 7968, 6288
1707933048535, 2107291, 976, 6992, 6144
1707933048546, 2107302, 928, 5968, 5776
1707933048556, 2107313, 976, 5520, 5616
1707933048566, 2107324, 1360, 5104, 5648
1707933048579, 2107335, 1504, 4320, 5600
1707933048590, 2107346, 2768, 3360, 5968
1707933048601, 2107357, 3088, 2112, 7024
1707933048612, 2107368, 3216, 1296, 8096
1707933048623, 2107379, 3168, 352, 9024
1707933048634, 2107390, 3136, -672, 10048
1707933048645, 2107401, 3024, -2080, 10304
1707933048656, 2107412, 2720, -3520, 10400
1707933048667, 2107423, 2480, -4800, 10176
1707933048678, 2107434, 2416, -5456, 9600
1707933048688, 2107445, 2160, -5792, 8352
1707933048698, 2107456, 2464, -5328, 6832
1707933048711, 2107467, 2496, -5408, 5968
1707933048722, 2107478, 2560, -5392, 6080
1707933048733, 2107489, 2336, -4960, 7392
1707933048744, 2107500, 2176, -4432, 8304
1707933048755, 2107511, 2032, -4240, 8944
1707933048766, 2107522, 2016, -4352, 9296
1707933048777, 2107533, 2048, -5216, 9584
1707933048788, 2107544, 2192, -6576, 10032
1707933048799, 2107555, 2304, -8160, 10320
1707933048810, 2107566, 2800, -9136, 10320
1707933048821, 2107577, 2896, -9536, 9344
1707933048832, 2107588, 2896, -9072, 8576
