Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932240692, 1299451, -1968, 1408, 7744
1707932240703, 1299462, -2032, 1408, 7728
1707932240714, 1299473, -1984, 1424, 7712
1707932240725, 1299484, -1984, 1408, 7744
1707932240736, 1299495, -1984, 1440, 7696
1707932240747, 1299506, -1952, 1472, 7744
1707932240758, 1299517, -2000, 1424, 7760
1707932240769, 1299528, -1968, 1440, 7696
1707932240780, 1299539, -1920, 1472, 7808
1707932240791, 1299550, -2032, 1488, 7808
1707932240802, 1299561, -1984, 1536, 7808
1707932240813, 1299572, -2096, 1472, 7840
1707932240824, 1299583, -1952, 1360, 7856
1707932240835, 1299594, -2000, 1312, 7776
1707932240846, 1299605, -1920, 1264, 7808
1707932240857, 1299616, -1872, 1296, 7872
1707932240868, 1299627, -2000, 1328, 7984
1707932240879, 1299638, -1984, 1376, 7872
1707932240890, 1299649, -1968, 1376, 7904
1707932240901, 1299660, -1856, 1376, 7824
1707932240912, 1299671, -1968, 1360, 7888
1707932240923, 1299682, -1952, 1312, 7936
1707932240934, 1299693, -1968, 1296, 7904
1707932240945, 1299704, -2016, 1344, 7904
1707932240956, 1299715, -2000, 1424, 7888
1707932240967, 1299726, -1984, 1376, 7856
1707932240978, 1299737, -2016, 1408, 7824
1707932240989, 1299748, -1936, 1440, 7792
1707932241000, 1299759, -1968, 1408, 7824
1707932241011, 1299770, -1984, 1472, 7872
1707932241022, 1299781, -1920, 1472, 7952
1707932241033, 1299792, -1952, 1392, 7856
1707932241044, 1299803, -1984, 1328, 7808
1707932241055, 1299814, -1984, 1328, 7760
1707932241066, 1299825, -2032, 1280, 7584
1707932241077, 1299836, -1936, 1312, 7600
1707932241088, 1299847, -1920, 1248, 7664
1707932241099, 1299858, -1984, 1216, 7696
1707932241110, 1299869, -1920, 1120, 7680
1707932241121, 1299880, -1856, 1024, 7584
1707932241132, 1299891, -1808, 1008, 7776
1707932241143, 1299902, -1808, 912, 7840
1707932241154, 1299913, -1856, 768, 7808
1707932241165, 1299924, -1920, 736, 7632
1707932241176, 1299935, -1984, 752, 7424
1707932241187, 1299946, -2064, 656, 7184
1707932241198, 1299957, -2032, 384, 7248
1707932241209, 1299968, -2000, 128, 7328
1707932241220, 1299979, -2000, -320, 7568
1707932241231, 1299990, -2000, -656, 8016
1707932241242, 1300001, -2096, -688, 8592
1707932241253, 1300012, -2368, -240, 9408
1707932241264, 1300023, -2720, 32, 9728
1707932241275, 1300034, -2752, 32, 9856
1707932241286, 1300045, -2768, -32, 9808
1707932241297, 1300056, -2704, -272, 9680
1707932241308, 1300067, -2704, -368, 9344
1707932241319, 1300078, -2704, -64, 9120
1707932241330, 1300089, -2800, 336, 9104
1707932241341, 1300100, -3056, 928, 9136
1707932241352, 1300111, -3088, 1728, 9232
1707932241363, 1300122, -3280, 2224, 9280
1707932241374, 1300133, -3312, 2736, 9744
1707932241385, 1300144, -3328, 3392, 10352
1707932241396, 1300155, -3440, 4080, 11088
1707932241407, 1300166, -3504, 4624, 11696
1707932241418, 1300177, -3408, 5328, 11600
1707932241429, 1300188, -3248, 5808, 11328
1707932241440, 1300199, -3168, 6368, 10736
1707932241451, 1300210, -3216, 6720, 10432
1707932241462, 1300221, -2752, 6864, 10080
1707932241473, 1300232, -2544, 6960, 9408
1707932241484, 1300243, -2320, 6912, 8800
1707932241495, 1300254, -2224, 6768, 8384
1707932241506, 1300265, -2016, 6880, 8336
1707932241517, 1300276, -2096, 7360, 8592
1707932241528, 1300287, -2112, 7968, 8704
1707932241539, 1300298, -2000, 8480, 8288
1707932241550, 1300309, -2048, 8720, 7840
1707932241561, 1300320, -1872, 8752, 7216
1707932241572, 1300331, -1696, 8528, 6240
1707932241583, 1300342, -1584, 8352, 5696
1707932241594, 1300353, -1552, 8208, 5152
1707932241605, 1300364, -1584, 8112, 4464
1707932241616, 1300375, -1600, 8176, 4320
1707932241627, 1300386, -1744, 8496, 4144
1707932241638, 1300397, -1840, 9136, 3888
1707932241649, 1300408, -1824, 9360, 3408
1707932241660, 1300419, -1776, 9184, 2992
