Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932363386, 1422145, -2336, -592, 7984
1707932363397, 1422156, -2384, -656, 7888
1707932363408, 1422167, -2336, -688, 7888
1707932363419, 1422178, -2272, -688, 7872
1707932363430, 1422189, -2256, -672, 7856
1707932363441, 1422200, -2304, -672, 7856
1707932363452, 1422211, -2320, -704, 7728
1707932363463, 1422222, -2288, -672, 7872
1707932363474, 1422233, -2288, -576, 7904
1707932363485, 1422244, -2304, -640, 7888
1707932363496, 1422255, -2288, -672, 7920
1707932363507, 1422266, -2288, -608, 7968
1707932363518, 1422277, -2352, -720, 7904
1707932363529, 1422288, -2288, -640, 7808
1707932363540, 1422299, -2272, -592, 7808
1707932363551, 1422310, -2272, -544, 7776
1707932363562, 1422321, -2288, -608, 7840
1707932363573, 1422332, -2320, -592, 7808
1707932363584, 1422343, -2320, -640, 7824
1707932363595, 1422354, -2288, -608, 7824
1707932363606, 1422365, -2320, -560, 7712
1707932363617, 1422376, -2320, -608, 7648
1707932363628, 1422387, -2240, -528, 7552
1707932363639, 1422398, -2320, -528, 7568
1707932363650, 1422409, -2336, -560, 7648
1707932363661, 1422420, -2240, -544, 7632
1707932363672, 1422431, -2288, -560, 7696
1707932363683, 1422442, -2224, -640, 7776
1707932363694, 1422453, -2208, -672, 7760
1707932363705, 1422464, -2192, -656, 7808
1707932363716, 1422475, -2080, -688, 7632
1707932363727, 1422486, -2176, -704, 7568
1707932363738, 1422497, -2192, -672, 7360
1707932363749, 1422508, -2192, -800, 7280
1707932363760, 1422519, -2096, -704, 7072
1707932363771, 1422530, -2128, -496, 6912
1707932363782, 1422541, -2112, -512, 6544
1707932363793, 1422552, -2064, -480, 6224
1707932363804, 1422563, -2096, -304, 5968
1707932363815, 1422574, -2016, -144, 5744
1707932363826, 1422585, -2016, 96, 5552
1707932363837, 1422596, -2096, 480, 5440
1707932363848, 1422607, -2064, 720, 5664
1707932363859, 1422618, -2032, 928, 5904
1707932363870, 1422629, -2032, 896, 6048
1707932363881, 1422640, -2144, 896, 6160
1707932363892, 1422651, -2096, 752, 6176
1707932363903, 1422662, -1952, 528, 5968
1707932363914, 1422673, -1792, 512, 5744
1707932363925, 1422684, -1840, 800, 5728
1707932363936, 1422695, -1664, 1776, 5808
1707932363947, 1422706, -1488, 2560, 5936
1707932363958, 1422717, -1392, 2944, 6048
1707932363969, 1422728, -1392, 3056, 6960
1707932363980, 1422739, -1456, 3296, 8112
1707932363991, 1422750, -1520, 3264, 9248
1707932364002, 1422761, -1552, 3056, 10128
1707932364013, 1422772, -1440, 2752, 10224
1707932364024, 1422783, -1200, 2592, 9680
1707932364035, 1422794, -1232, 2480, 8784
1707932364046, 1422805, -704, 2608, 8288
1707932364057, 1422816, -416, 2736, 8064
1707932364068, 1422827, -304, 2944, 8864
1707932364079, 1422838, -80, 2960, 9856
1707932364090, 1422849, -112, 3696, 11376
1707932364101, 1422860, -64, 4208, 12336
1707932364112, 1422871, 64, 4240, 13088
1707932364123, 1422882, 400, 3984, 13472
1707932364134, 1422893, 576, 3168, 13312
1707932364145, 1422904, 1392, 2192, 12912
1707932364156, 1422915, 2288, 1472, 13152
1707932364167, 1422926, 2896, 912, 13280
1707932364178, 1422937, 3552, 256, 13920
1707932364189, 1422948, 4160, -864, 15280
1707932364200, 1422959, 4240, -2048, 16480
1707932364211, 1422970, 4320, -3312, 17664
1707932364222, 1422981, 4064, -4416, 18624
1707932364233, 1422992, 3776, -4944, 18864
1707932364244, 1423003, 3712, -5088, 18480
1707932364255, 1423014, 3952, -5072, 17184
1707932364266, 1423025, 4192, -4992, 15728
1707932364277, 1423036, 4368, -4672, 14464
1707932364288, 1423047, 4496, -4144, 13664
1707932364299, 1423058, 4096, -3744, 13376
1707932364310, 1423069, 3808, -3216, 13344
1707932364321, 1423080, 3712, -2736, 13024
1707932364332, 1423091, 3504, -2496, 12544
1707932364343, 1423102, 3648, -2512, 11936
1707932364354, 1423113, 3696, -2912, 10864
1707932364365, 1423124, 3600, -3440, 10048
