Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932387784, 1446543, -544, 128, 8048
1707932387795, 1446554, -544, 160, 8096
1707932387806, 1446565, -528, 176, 8256
1707932387817, 1446576, -592, 144, 8288
1707932387828, 1446587, -576, 160, 8336
1707932387839, 1446598, -624, 224, 8272
1707932387850, 1446609, -528, 112, 8192
1707932387861, 1446620, -608, 64, 8208
1707932387872, 1446631, -512, 128, 8176
1707932387883, 1446642, -560, 96, 8208
1707932387894, 1446653, -560, 160, 8256
1707932387905, 1446664, -592, 240, 8304
1707932387916, 1446675, -560, 176, 8384
1707932387927, 1446686, -544, 160, 8320
1707932387938, 1446697, -544, 176, 8288
1707932387949, 1446708, -560, 160, 8192
1707932387960, 1446719, -512, 160, 8224
1707932387971, 1446730, -544, 128, 8160
1707932387982, 1446741, -528, 80, 8080
1707932387993, 1446752, -480, 112, 8080
1707932388004, 1446763, -496, 272, 8096
1707932388015, 1446774, -512, 336, 8144
1707932388026, 1446785, -528, 288, 8192
1707932388037, 1446796, -480, 208, 8176
1707932388048, 1446807, -512, 176, 8176
1707932388059, 1446818, -480, 224, 8176
1707932388070, 1446829, -512, 208, 8176
1707932388081, 1446840, -464, 224, 8128
1707932388092, 1446851, -400, 208, 8208
1707932388103, 1446862, -496, 224, 8192
1707932388114, 1446873, -512, 128, 8304
1707932388125, 1446884, -576, 128, 8256
1707932388136, 1446895, -496, 48, 8256
1707932388147, 1446906, -544, 0, 8304
1707932388158, 1446917, -432, -16, 8256
1707932388169, 1446928, -736, 16, 8240
1707932388180, 1446939, -752, -32, 8288
1707932388191, 1446950, -784, -224, 8448
1707932388202, 1446961, -976, -416, 8672
1707932388213, 1446972, -1168, -560, 9120
1707932388224, 1446983, -1104, -608, 9600
1707932388234, 1446994, -1456, -512, 10016
1707932388244, 1447005, -1552, -528, 10384
1707932388256, 1447016, -1728, -528, 10544
1707932388266, 1447027, -1904, -640, 10464
1707932388278, 1447038, -2048, -960, 10192
1707932388288, 1447049, -2064, -1056, 10112
1707932388300, 1447060, -2160, -1168, 9936
1707932388310, 1447071, -2208, -1184, 9872
1707932388322, 1447082, -2384, -1120, 10032
1707932388332, 1447093, -2368, -1152, 10160
1707932388344, 1447104, -2608, -1072, 10352
1707932388354, 1447115, -2752, -896, 10336
1707932388366, 1447126, -3056, -816, 10432
1707932388376, 1447137, -3504, -704, 10800
1707932388388, 1447148, -3664, -656, 11376
1707932388398, 1447159, -3824, -704, 11968
1707932388410, 1447170, -3888, -928, 12560
1707932388420, 1447181, -3744, -1360, 13152
1707932388432, 1447192, -3648, -1760, 13664
1707932388442, 1447203, -3520, -1904, 14112
1707932388454, 1447214, -3808, -1696, 14320
1707932388464, 1447225, -3792, -1216, 14448
1707932388476, 1447236, -3760, -816, 14224
1707932388486, 1447247, -4080, -784, 14224
1707932388498, 1447258, -4080, -736, 14192
1707932388508, 1447269, -4192, -928, 14336
1707932388520, 1447280, -3728, -1456, 14352
1707932388530, 1447291, -3600, -2000, 14480
1707932388542, 1447302, -3200, -2368, 14288
1707932388552, 1447313, -2928, -2576, 14128
1707932388564, 1447324, -2336, -2624, 13584
1707932388574, 1447335, -2000, -2656, 12752
1707932388586, 1447346, -1680, -2608, 12000
1707932388596, 1447357, -1232, -2544, 10784
1707932388608, 1447368, -1152, -2656, 9776
1707932388618, 1447379, -1088, -2896, 9024
1707932388631, 1447390, -432, -3376, 8544
1707932388642, 1447401, 32, -3936, 8176
1707932388653, 1447412, 336, -4352, 7680
1707932388664, 1447423, 592, -4240, 6448
1707932388675, 1447434, 928, -3696, 5216
