Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932466589, 1525347, -448, -736, 7984
1707932466599, 1525358, -384, -640, 8064
1707932466609, 1525369, -432, -608, 8080
1707932466622, 1525380, -352, -672, 8336
1707932466633, 1525391, -272, -640, 8368
1707932466644, 1525402, -416, -576, 8368
1707932466655, 1525413, -400, -640, 8304
1707932466666, 1525424, -256, -656, 7984
1707932466677, 1525435, -528, -896, 8288
1707932466688, 1525446, -256, -704, 8288
1707932466699, 1525457, -256, -560, 8256
1707932466710, 1525468, -400, -544, 8224
1707932466721, 1525479, -368, -560, 8144
1707932466731, 1525490, -208, -608, 8288
1707932466741, 1525501, -288, -608, 8272
1707932466754, 1525512, -272, -576, 8400
1707932466765, 1525523, -192, -640, 8384
1707932466776, 1525534, -256, -720, 8320
1707932466787, 1525545, -240, -704, 8272
1707932466798, 1525556, -208, -560, 8256
1707932466809, 1525567, -256, -496, 8208
1707932466820, 1525578, -224, -448, 8080
1707932466831, 1525589, -176, -448, 8128
1707932466842, 1525600, -160, -544, 8224
1707932466852, 1525611, -208, -640, 8272
1707932466862, 1525622, -160, -768, 8432
1707932466875, 1525633, -128, -928, 8480
1707932466886, 1525644, -80, -1168, 8720
1707932466897, 1525655, -112, -1376, 8848
1707932466908, 1525666, -176, -1408, 8880
1707932466919, 1525677, -128, -1456, 8832
1707932466930, 1525688, -128, -1632, 8880
1707932466941, 1525699, -128, -1808, 8928
1707932466952, 1525710, -144, -2208, 9056
1707932466962, 1525721, 64, -2432, 8992
1707932466972, 1525732, 208, -2304, 8768
1707932466984, 1525743, 320, -2080, 8432
1707932466994, 1525754, 32, -1840, 8128
1707932467007, 1525765, -128, -1536, 8240
1707932467017, 1525776, -704, -656, 8432
1707932467027, 1525787, -1200, 1216, 8672
1707932467040, 1525798, -2144, 4048, 9296
1707932467050, 1525809, -2992, 6464, 9904
1707932467060, 1525820, -3920, 8816, 10128
1707932467073, 1525831, -4512, 12160, 10160
1707932467083, 1525842, -4848, 14656, 9664
1707932467093, 1525853, -4864, 16624, 8720
1707932467106, 1525864, -4112, 17808, 7728
1707932467117, 1525875, -3120, 17360, 6960
1707932467128, 1525886, -1664, 15552, 6656
1707932467139, 1525897, 368, 12144, 6512
1707932467150, 1525908, 1904, 9168, 7024
1707932467161, 1525919, 3424, 6016, 7808
1707932467172, 1525930, 3792, 1760, 9056
1707932467183, 1525941, 9056, -2704, 9856
1707932467194, 1525952, 12192, -9184, 9552
1707932467205, 1525963, 13040, -20192, 6864
1707932467216, 1525974, 17632, -30048, 2800
1707932467227, 1525985, 17760, -32464, -992
1707932467238, 1525996, 17344, -32624, -448
1707932467249, 1526007, 16640, -32624, 3280
1707932467260, 1526018, 16112, -32624, 8288
1707932467271, 1526029, 15888, -25664, 11616
1707932467283, 1526040, 13840, -17472, 14176
1707932467291, 1526051, 11840, -8640, 15856
1707932467304, 1526062, 11312, -2912, 16272
1707932467315, 1526073, 6304, 2512, 16272
1707932467326, 1526084, 4064, 10064, 15984
1707932467337, 1526095, 3584, 18032, 15392
1707932467348, 1526106, -1808, 26400, 14864
1707932467359, 1526117, -5088, 32224, 13200
1707932467370, 1526128, -6048, 32624, 12416
1707932467381, 1526139, -6672, 32640, 11776
1707932467392, 1526150, -6224, 32624, 10336
1707932467403, 1526161, -4848, 30256, 9648
1707932467414, 1526172, -3088, 26240, 9856
1707932467425, 1526183, -560, 20544, 10720
1707932467436, 1526194, 1200, 15888, 10624
1707932467447, 1526205, 2720, 11312, 10096
1707932467458, 1526216, 4288, 5392, 9136
1707932467468, 1526227, 6448, 912, 8576
1707932467478, 1526238, 8704, -3856, 7680
1707932467491, 1526249, 11008, -11840, 5408
1707932467502, 1526260, 12720, -19344, 3360
1707932467513, 1526271, 14416, -27408, 2800
1707932467524, 1526282, 14720, -32448, 4032
1707932467535, 1526293, 16464, -32624, 6096
1707932467546, 1526304, 16576, -32624, 8848
1707932467557, 1526315, 16512, -32624, 12096
1707932467568, 1526326, 14496, -28368, 13056
1707932467579, 1526337, 13104, -20848, 13008
1707932467590, 1526348, 12752, -12416, 12272
1707932467600, 1526359, 9104, -6688, 11520
1707932467610, 1526370, 6880, -2352, 10640
1707932467623, 1526381, 6272, 3632, 10432
1707932467634, 1526392, 1520, 10320, 10656
1707932467645, 1526403, -688, 20128, 10976
1707932467656, 1526414, -1248, 26592, 11312
1707932467667, 1526425, -4128, 29840, 11168
1707932467678, 1526436, -4384, 32496, 11120
1707932467689, 1526447, -5776, 32624, 10560
1707932467700, 1526458, -5712, 32640, 9312
1707932467711, 1526469, -4592, 31808, 8160
1707932467722, 1526480, -2752, 28112, 8112
1707932467733, 1526491, -528, 22992, 8480
1707932467744, 1526502, 2016, 16128, 8912
1707932467755, 1526513, 3536, 10608, 9040
1707932467766, 1526524, 4752, 5072, 8864
1707932467777, 1526535, 6640, -1616, 8848
1707932467788, 1526546, 8464, -7040, 9184
1707932467799, 1526557, 10000, -13088, 9344
1707932467810, 1526568, 11280, -20256, 8592
1707932467821, 1526579, 11936, -25840, 8496
1707932467832, 1526590, 12816, -31760, 8864
1707932467843, 1526601, 13056, -32608, 9712
1707932467854, 1526612, 14688, -32624, 10064
1707932467865, 1526623, 14576, -32624, 10176
1707932467876, 1526634, 14528, -29648, 10400
1707932467887, 1526645, 12576, -22672, 10688
1707932467898, 1526656, 11024, -15904, 11168
1707932467909, 1526667, 10624, -8512, 11568
1707932467920, 1526678, 6848, -3760, 11760
1707932467931, 1526689, 4928, 224, 11584
1707932467942, 1526700, 4432, 5488, 11360
1707932467953, 1526711, 1728, 11072, 11280
1707932467964, 1526722, 336, 19664, 12096
