Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707932191225, 1249984, -3104, 1216, 7440
1707932191235, 1249995, -3104, 1296, 7440
1707932191245, 1250006, -3120, 1440, 7616
1707932191258, 1250017, -3136, 1472, 7456
1707932191268, 1250028, -3216, 1520, 7424
1707932191278, 1250039, -3104, 1440, 7248
1707932191291, 1250050, -3136, 1376, 7216
1707932191302, 1250061, -3136, 1328, 7200
1707932191313, 1250072, -3152, 1344, 7168
1707932191324, 1250083, -3200, 1328, 7248
1707932191334, 1250094, -3136, 1392, 7312
1707932191344, 1250105, -3120, 1488, 7424
1707932191357, 1250116, -3184, 1552, 7376
1707932191368, 1250127, -3184, 1456, 7264
1707932191379, 1250138, -3248, 1360, 7296
1707932191390, 1250149, -3168, 1344, 7264
1707932191401, 1250160, -3248, 1296, 7264
1707932191412, 1250171, -3264, 1296, 7344
1707932191423, 1250182, -3216, 1312, 7408
1707932191434, 1250193, -3280, 1424, 7648
1707932191445, 1250204, -3328, 1392, 7584
1707932191456, 1250215, -3232, 1392, 7584
1707932191467, 1250226, -3232, 1312, 7472
1707932191478, 1250237, -3264, 1360, 7456
1707932191488, 1250248, -3248, 1408, 7376
1707932191498, 1250259, -3136, 1344, 7344
1707932191511, 1250270, -3216, 1376, 7296
1707932191522, 1250281, -3216, 1408, 7328
1707932191533, 1250292, -3216, 1440, 7264
1707932191544, 1250303, -3184, 1392, 7408
1707932191554, 1250314, -3168, 1376, 7424
1707932191564, 1250325, -3280, 1360, 7536
1707932191577, 1250336, -3280, 1280, 7504
1707932191588, 1250347, -3280, 1232, 7472
1707932191599, 1250358, -3184, 1168, 7472
1707932191610, 1250369, -3456, 1264, 7488
1707932191621, 1250380, -3568, 1360, 7536
1707932191632, 1250391, -3696, 1456, 7584
1707932191643, 1250402, -3824, 1616, 7632
1707932191653, 1250413, -3952, 1744, 7664
1707932191663, 1250424, -3888, 1840, 7664
1707932191676, 1250435, -4096, 1872, 7664
1707932191687, 1250446, -4096, 1920, 7776
1707932191698, 1250457, -4160, 1792, 7696
1707932191709, 1250468, -4080, 1712, 7568
1707932191719, 1250479, -4080, 1600, 7376
1707932191729, 1250490, -4208, 1456, 7376
1707932191742, 1250501, -4096, 1472, 7456
1707932191752, 1250512, -4128, 1728, 7424
1707932191762, 1250523, -4096, 1824, 7568
1707932191775, 1250534, -4064, 1920, 7520
1707932191785, 1250545, -4160, 1984, 7584
1707932191795, 1250556, -4192, 2080, 7328
1707932191808, 1250567, -4240, 2176, 7024
1707932191818, 1250578, -4000, 2864, 6608
1707932191828, 1250589, -4544, 2288, 6432
1707932191841, 1250600, -4416, 2464, 6352
1707932191851, 1250611, -4320, 2288, 6384
1707932191861, 1250622, -4128, 2224, 6416
1707932191874, 1250633, -4096, 1968, 6464
1707932191885, 1250644, -4080, 1584, 6624
1707932191896, 1250655, -4096, 1280, 6784
1707932191907, 1250666, -3920, 1136, 7008
1707932191918, 1250677, -3760, 1216, 6976
1707932191929, 1250688, -3696, 1424, 6592
1707932191940, 1250699, -3792, 1824, 6176
1707932191951, 1250710, -3856, 2208, 5600
1707932191962, 1250721, -3520, 2224, 5104
1707932191973, 1250732, -3360, 2176, 4672
1707932191984, 1250743, -3312, 2128, 4160
1707932191995, 1250754, -3056, 1984, 4032
1707932192006, 1250765, -2944, 1776, 4032
1707932192017, 1250776, -2912, 1472, 4272
1707932192028, 1250787, -2752, 1360, 4320
1707932192039, 1250798, -2544, 1168, 4032
1707932192049, 1250809, -2432, 1072, 3680
1707932192059, 1250820, -1840, 864, 3088
1707932192071, 1250831, -1392, 768, 2624
1707932192081, 1250842, -1056, 832, 1888
1707932192093, 1250853, -368, 928, 1200
1707932192103, 1250864, 0, 512, 1360
1707932192113, 1250875, 512, 432, 672
1707932192125, 1250886, 1056, 384, 592
1707932192135, 1250897, 1520, 64, 1168
1707932192147, 1250908, 1872, 16, 1760
1707932192157, 1250919, 2288, 64, 2368
1707932192169, 1250930, 2624, 544, 2688
1707932192182, 1250941, 2816, 1008, 3248
1707932192193, 1250952, 2864, 1552, 3856
1707932192203, 1250963, 3024, 2208, 4400
1707932192213, 1250974, 3312, 2496, 4528
1707932192226, 1250985, 3520, 2688, 4176
1707932192236, 1250996, 3616, 2608, 3504
1707932192246, 1251007, 4464, 2528, 3120
1707932192259, 1251018, 5120, 2480, 2608
1707932192269, 1251029, 5360, 2784, 1856
1707932192279, 1251040, 6928, 2928, 1232
1707932192292, 1251051, 7568, 2880, 1024
1707932192302, 1251062, 7744, 2704, 1392
1707932192312, 1251073, 9280, 2400, 2016
1707932192325, 1251084, 10048, 2304, 2640
1707932192335, 1251095, 10272, 2416, 3232
1707932192345, 1251106, 11344, 2608, 3920
1707932192358, 1251117, 11648, 2912, 4928
1707932192369, 1251128, 11632, 3312, 6016
1707932192380, 1251139, 12368, 3824, 7040
1707932192391, 1251150, 12944, 4192, 7808
1707932192402, 1251161, 13600, 4336, 8048
1707932192413, 1251172, 13872, 4576, 8096
1707932192424, 1251183, 14336, 4800, 8048
1707932192434, 1251194, 14736, 4928, 7984
1707932192444, 1251205, 15200, 5072, 8000
1707932192457, 1251216, 15648, 5136, 7984
1707932192468, 1251227, 15920, 5056, 8032
1707932192479, 1251238, 16144, 5152, 8432
1707932192490, 1251249, 16480, 5152, 9680
1707932192501, 1251260, 16560, 5088, 10704
1707932192512, 1251271, 16464, 4736, 11728
1707932192523, 1251282, 15776, 4768, 12640
1707932192534, 1251293, 15536, 4240, 12704
1707932192545, 1251304, 15216, 2928, 12336
1707932192556, 1251315, 15008, 1616, 11280
1707932192567, 1251326, 13536, 1584, 10480
1707932192578, 1251337, 12720, 2032, 10096
1707932192589, 1251348, 12720, 2320, 10224
1707932192600, 1251359, 11584, 2064, 10576
1707932192609, 1251370, 11024, 1472, 10736
1707932192622, 1251381, 10944, 704, 10576
1707932192633, 1251392, 10176, 144, 10512
1707932192644, 1251403, 9728, -80, 10848
1707932192654, 1251414, 9520, 336, 10960
1707932192664, 1251425, 8832, 976, 10912
1707932192677, 1251436, 8496, 1536, 11104
1707932192687, 1251447, 8464, 1952, 11376
1707932192697, 1251458, 7632, 2464, 11760
1707932192710, 1251469, 7152, 3312, 11408
1707932192720, 1251480, 6640, 4000, 11088
1707932192730, 1251491, 6096, 4752, 11216
1707932192743, 1251502, 5984, 6032, 12176
1707932192753, 1251513, 6304, 6896, 12976
1707932192763, 1251524, 7120, 6768, 13712
1707932192776, 1251535, 8160, 4896, 14176
1707932192786, 1251546, 9136, 3728, 13168
1707932192796, 1251557, 10128, 2960, 11760
