Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594380362, 475179, -1328, -5536, 5424
1707594380375, 475190, -1312, -5600, 5440
1707594380378, 475201, -1328, -5600, 5360
1707594380395, 475212, -1312, -5616, 5408
1707594380407, 475223, -1296, -5776, 5392
1707594380413, 475234, -1312, -5808, 5472
1707594380428, 475245, -1248, -5808, 5376
1707594380441, 475256, -1248, -5744, 5504
1707594380446, 475267, -1216, -5648, 5616
1707594380463, 475278, -1280, -5632, 5504
1707594380463, 475289, -1264, -5600, 5536
1707594380479, 475300, -1344, -5568, 5568
1707594380496, 475311, -1232, -5472, 5520
1707594380496, 475322, -1328, -5520, 5520
1707594380513, 475333, -1280, -5488, 5472
1707594380528, 475344, -1264, -5440, 5472
1707594380528, 475355, -1216, -5440, 5568
1707594380546, 475366, -1232, -5504, 5488
1707594380561, 475377, -1264, -5552, 5504
1707594380563, 475388, -1232, -5600, 5472
1707594380579, 475399, -1264, -5584, 5456
1707594380595, 475410, -1296, -5600, 5328
1707594380597, 475421, -1264, -5600, 5376
1707594380612, 475432, -1312, -5568, 5376
1707594380627, 475443, -1344, -5504, 5408
1707594380628, 475454, -1264, -5536, 5360
1707594380645, 475465, -1328, -5616, 5392
1707594380660, 475476, -1264, -5648, 5312
1707594380662, 475487, -1296, -5536, 5392
1707594380679, 475498, -1312, -5456, 5440
1707594380693, 475509, -1344, -5360, 5440
1707594380695, 475520, -1360, -5424, 5520
1707594380712, 475531, -1392, -5648, 5392
1707594380726, 475542, -1312, -5616, 5552
1707594380729, 475553, -1264, -5712, 5376
1707594380746, 475564, -1280, -5824, 5392
1707594380759, 475575, -1360, -5856, 5280
1707594380763, 475586, -1264, -5856, 5376
1707594380780, 475597, -1328, -5744, 5376
1707594380793, 475608, -1328, -5696, 5312
1707594380795, 475619, -1360, -5696, 5296
1707594380813, 475630, -1360, -5600, 5424
1707594380824, 475641, -1408, -5600, 5408
1707594380829, 475652, -1248, -5680, 5376
1707594380845, 475663, -1264, -5728, 5488
1707594380858, 475674, -1216, -5776, 5600
1707594380862, 475685, -1216, -5808, 5504
1707594380879, 475696, -1232, -5760, 5408
1707594380891, 475707, -1232, -5728, 5408
1707594380896, 475718, -1312, -5616, 5424
1707594380913, 475729, -1344, -5520, 5440
1707594380924, 475740, -1360, -5520, 5312
1707594380929, 475751, -1360, -5520, 5408
1707594380946, 475762, -1264, -5632, 5424
1707594380958, 475773, -1296, -5680, 5376
1707594380962, 475784, -1216, -5648, 5456
1707594380979, 475795, -1232, -5696, 5552
1707594380991, 475806, -1312, -5648, 5360
1707594380995, 475817, -1344, -5648, 5296
1707594381012, 475828, -1200, -5600, 5488
1707594381012, 475839, -1296, -5584, 5488
1707594381030, 475850, -1152, -5584, 5424
1707594381045, 475861, -1312, -5616, 5376
1707594381046, 475872, -1280, -5664, 5312
1707594381062, 475883, -1344, -5568, 5408
1707594381079, 475894, -1264, -5616, 5488
1707594381079, 475905, -1296, -5632, 5488
1707594381097, 475916, -1328, -5632, 5440
1707594381111, 475927, -1344, -5632, 5376
1707594381112, 475938, -1312, -5680, 5568
1707594381128, 475949, -1296, -5728, 5440
1707594381144, 475960, -1296, -5520, 5472
1707594381145, 475971, -1280, -5584, 5424
1707594381163, 475982, -1280, -5680, 5344
1707594381178, 475993, -1312, -5664, 5408
1707594381185, 476004, -1296, -5648, 5440
1707594381195, 476015, -1312, -5584, 5408
1707594381211, 476026, -1360, -5616, 5392
1707594381213, 476037, -1280, -5728, 5472
1707594381230, 476048, -1328, -5728, 5392
1707594381243, 476059, -1264, -5728, 5440
1707594381245, 476070, -1264, -5680, 5520
1707594381262, 476081, -1360, -5696, 5504
1707594381276, 476092, -1344, -5696, 5440
1707594381279, 476103, -1312, -5552, 5536
1707594381296, 476114, -1344, -5600, 5424
1707594381310, 476125, -1296, -5568, 5280
1707594381313, 476136, -1376, -5616, 5376
1707594381329, 476147, -1264, -5632, 5360
1707594381343, 476158, -1264, -5632, 5392
1707594381345, 476169, -1312, -5552, 5456
1707594381363, 476180, -1360, -5536, 5440
1707594381375, 476191, -1328, -5600, 5408
1707594381378, 476202, -1312, -5632, 5472
1707594381395, 476213, -1296, -5712, 5456
1707594381409, 476224, -1232, -5712, 5504
1707594381413, 476235, -1216, -5760, 5520
1707594381428, 476246, -1264, -5808, 5456
1707594381442, 476257, -1216, -5712, 5488
1707594381445, 476268, -1296, -5728, 5488
1707594381462, 476279, -1296, -5568, 5408
1707594381475, 476290, -1360, -5456, 5472
1707594381479, 476301, -1232, -5440, 5392
1707594381495, 476312, -1312, -5456, 5408
1707594381507, 476323, -1248, -5584, 5504
1707594381513, 476334, -1264, -5648, 5488
1707594381529, 476345, -1232, -5712, 5456
1707594381541, 476356, -1200, -5728, 5504
1707594381545, 476367, -1168, -5856, 5472
1707594381563, 476378, -1248, -5744, 5376
1707594381563, 476389, -1328, -5680, 5424
1707594381579, 476400, -1328, -5584, 5376
1707594381595, 476411, -1312, -5536, 5504
1707594381595, 476422, -1328, -5552, 5408
1707594381613, 476433, -1328, -5552, 5376
1707594381628, 476444, -1376, -5664, 5456
1707594381628, 476455, -1232, -5680, 5440
1707594381645, 476466, -1216, -5696, 5520
1707594381661, 476477, -1232, -5648, 5472
1707594381665, 476488, -1280, -5680, 5456
1707594381680, 476499, -1296, -5648, 5392
1707594381694, 476510, -1360, -5632, 5360
1707594381697, 476521, -1312, -5664, 5472
1707594381713, 476532, -1264, -5648, 5376
1707594381727, 476543, -1264, -5664, 5440
1707594381729, 476554, -1296, -5552, 5376
1707594381747, 476565, -1328, -5664, 5360
1707594381760, 476576, -1296, -5680, 5360
1707594381762, 476587, -1168, -5696, 5424
1707594381779, 476598, -1280, -5664, 5408
1707594381793, 476609, -1392, -5616, 5456
1707594381796, 476620, -1232, -5648, 5456
1707594381813, 476631, -1280, -5696, 5504
1707594381826, 476642, -1280, -5616, 5440
1707594381829, 476653, -1328, -5600, 5360
1707594381845, 476664, -1296, -5600, 5424
1707594381860, 476675, -1280, -5680, 5504
1707594381863, 476686, -1312, -5600, 5424
1707594381878, 476697, -1216, -5632, 5440
1707594381892, 476708, -1248, -5616, 5440
1707594381896, 476719, -1200, -5616, 5376
1707594381913, 476730, -1248, -5696, 5472
1707594381926, 476741, -1280, -5632, 5472
1707594381928, 476752, -1264, -5744, 5488
1707594381945, 476763, -1280, -5728, 5520
1707594381958, 476774, -1280, -5696, 5472
1707594381962, 476785, -1328, -5664, 5360
1707594381979, 476796, -1360, -5680, 5376
1707594381993, 476807, -1312, -5568, 5424
1707594381995, 476818, -1312, -5632, 5392
1707594382014, 476829, -1248, -5680, 5456
1707594382024, 476840, -1296, -5680, 5296
1707594382028, 476851, -1264, -5648, 5424
1707594382045, 476862, -1328, -5600, 5088
1707594382057, 476873, -1296, -5552, 5264
1707594382062, 476884, -1344, -5504, 5456
1707594382079, 476895, -1296, -5600, 5408
1707594382090, 476906, -1344, -5648, 5392
1707594382097, 476917, -1264, -5728, 5504
1707594382112, 476928, -1328, -5744, 5504
1707594382124, 476939, -1312, -5824, 5376
1707594382129, 476950, -1328, -5824, 5344
1707594382146, 476961, -1312, -5680, 5344
1707594382147, 476972, -1248, -5648, 5392
1707594382163, 476983, -1376, -5728, 5408
1707594382178, 476994, -1360, -5712, 5248
1707594382179, 477005, -1424, -5680, 5440
1707594382196, 477016, -1456, -5616, 5360
1707594382212, 477027, -1392, -5696, 5552
1707594382217, 477038, -1392, -5776, 5456
1707594382229, 477049, -1264, -5744, 5456
1707594382244, 477060, -1344, -5696, 5472
1707594382246, 477071, -1328, -5616, 5392
1707594382262, 477082, -1312, -5600, 5376
1707594382277, 477093, -1328, -5648, 5360
