Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594078169, 172998, 6192, 1408, 4848
1707594078185, 173009, 6272, 1360, 4816
1707594078197, 173020, 6304, 1344, 4816
1707594078202, 173031, 6272, 1408, 4800
1707594078218, 173042, 6176, 1616, 4864
1707594078228, 173053, 6128, 1552, 4896
1707594078234, 173064, 6000, 1632, 4784
1707594078250, 173075, 6144, 1600, 4736
1707594078262, 173086, 6128, 1536, 4480
1707594078265, 173097, 6176, 1600, 4880
1707594078279, 173108, 6592, 1360, 5040
1707594078295, 173119, 6704, 1216, 4896
1707594078307, 173130, 6576, 1136, 4752
1707594078313, 173141, 6432, 1264, 4832
1707594078329, 173152, 6288, 1424, 4816
1707594078340, 173163, 6112, 1712, 4768
1707594078346, 173174, 6016, 1744, 4736
1707594078362, 173185, 6160, 1648, 4704
1707594078372, 173196, 6272, 1584, 4864
1707594078379, 173207, 6256, 1536, 4960
1707594078395, 173218, 6448, 1408, 4944
1707594078406, 173229, 6448, 1328, 4928
1707594078412, 173240, 6448, 1312, 4864
1707594078428, 173251, 6336, 1280, 4736
1707594078438, 173262, 6240, 1232, 5056
1707594078445, 173273, 6576, 1280, 5120
1707594078461, 173284, 6576, 1376, 5280
1707594078472, 173295, 6832, 1408, 5552
1707594078479, 173306, 6992, 1248, 5712
1707594078494, 173317, 7056, 1008, 5696
1707594078505, 173328, 7200, 672, 5792
1707594078513, 173339, 7168, 528, 5632
1707594078527, 173350, 6736, 544, 5328
1707594078537, 173361, 6960, 48, 4704
1707594078546, 173372, 6672, 544, 5184
1707594078557, 173383, 6384, 496, 5216
1707594078567, 173394, 6096, 112, 3920
1707594078579, 173405, 5968, 160, 3584
1707594078593, 173416, 5904, 144, 3568
1707594078604, 173427, 6064, 160, 3008
1707594078612, 173438, 6720, 352, 3216
1707594078622, 173449, 7216, 432, 2912
1707594078629, 173460, 7424, 640, 2640
1707594078647, 173471, 7744, 1040, 2672
1707594078659, 173482, 7744, 1792, 2528
1707594078670, 173493, 7680, 2288, 1904
1707594078680, 173504, 7264, 2720, 992
1707594078689, 173515, 7232, 3008, 416
1707594078703, 173526, 7088, 2784, 112
1707594078712, 173537, 7216, 2480, 368
1707594078725, 173548, 7248, 1824, 608
1707594078729, 173559, 6848, 1392, 464
1707594078746, 173570, 6528, 1696, 2000
1707594078758, 173581, 5184, 416, -1728
1707594078762, 173592, 6352, 864, -1296
1707594078780, 173603, 6352, 656, -48
1707594078791, 173614, 7440, 1072, 1600
1707594078797, 173625, 6416, 1792, 1440
1707594078812, 173636, 6032, 432, -672
1707594078824, 173647, 7488, 1488, -1472
1707594078830, 173658, 7648, 1072, -2304
1707594078846, 173669, 7872, 1104, -3104
1707594078857, 173680, 8512, -176, -9904
1707594078863, 173691, 9008, -176, -7248
1707594078880, 173702, 9264, 176, -4640
1707594078890, 173713, 8752, 1392, -3264
1707594078896, 173724, 7744, 1600, -3424
1707594078912, 173735, 8736, 1728, -3200
1707594078923, 173746, 11040, 160, -4576
1707594078930, 173757, 11408, -1280, -5600
1707594078945, 173768, 12368, -704, -4688
1707594078956, 173779, 14656, -1872, -4400
1707594078962, 173790, 16720, -4352, -6752
1707594078978, 173801, 17264, -3808, -7248
1707594078989, 173812, 17920, -3632, -8272
1707594078996, 173823, 17200, -5840, -10032
1707594079012, 173834, 19632, -6560, -11376
1707594079020, 173845, 18640, -6736, -11040
1707594079030, 173856, 17872, -7408, -9728
1707594079044, 173867, 20800, -7712, -8720
1707594079055, 173878, 20128, -6640, -8624
1707594079063, 173889, 20704, -6352, -9584
1707594079077, 173900, 23216, -9056, -9984
1707594079081, 173911, 22400, -8544, -9456
1707594079097, 173922, 23728, -6992, -8256
1707594079110, 173933, 26896, -10112, -9328
1707594079112, 173944, 29520, -21040, -15808
1707594079130, 173955, 20976, -13120, -11744
1707594079144, 173966, 17280, -10176, -6896
1707594079155, 173977, 17792, -8736, -3824
1707594079163, 173988, 18160, -7552, -5136
1707594079176, 173999, 18096, -6752, -7120
1707594079186, 174010, 18016, -7072, -9008
1707594079197, 174021, 17536, -7040, -9936
1707594079210, 174032, 15648, -7328, -11056
1707594079212, 174043, 15296, -7616, -10784
1707594079230, 174054, 12016, -7856, -10832
1707594079242, 174065, 10208, -10144, -14864
1707594079253, 174076, 8256, -11232, -17264
1707594079264, 174087, 9200, -11024, -13568
1707594079275, 174098, 8384, -12800, -8704
1707594079286, 174109, 8048, -12976, -7632
1707594079296, 174120, 7584, -11696, -7568
1707594079305, 174131, 7760, -9072, -4880
1707594079313, 174142, 3904, -22336, -13968
1707594079330, 174153, 1792, -10864, -928
1707594079341, 174164, 3936, -8304, -704
1707594079347, 174175, 2912, -7168, -512
1707594079363, 174186, 2752, -7424, 368
1707594079373, 174197, 2192, -6704, 288
1707594079381, 174208, 2720, -6672, 1184
1707594079396, 174219, 3152, -6256, 1760
1707594079407, 174230, 3200, -6336, 2000
1707594079413, 174241, 2928, -6528, 1568
1707594079429, 174252, 2032, -6400, 1296
1707594079440, 174263, 1440, -5840, 1216
1707594079447, 174274, 896, -5296, 832
1707594079461, 174285, 496, -4560, 864
1707594079473, 174296, 1520, -4560, 2000
1707594079481, 174307, 1904, -4896, 2816
1707594079495, 174318, 4352, -5056, 3840
1707594079506, 174329, 4528, -5216, 4816
1707594079513, 174340, 3808, -4048, 4352
1707594079528, 174351, 7376, -7056, 1200
1707594079539, 174362, 7072, -5920, 1648
1707594079546, 174373, 4288, -3968, 1936
1707594079561, 174384, 2928, -2720, 2496
1707594079572, 174395, 2576, -2512, 3968
1707594079581, 174406, 3536, -7312, 9968
1707594079594, 174417, 4688, -4128, 9872
1707594079605, 174428, 5440, -1248, 7328
1707594079613, 174439, 5312, -704, 6256
1707594079627, 174450, 5456, -2080, 6016
1707594079629, 174461, 5840, -5680, 6592
1707594079646, 174472, 6192, -4288, 4576
1707594079660, 174483, 5568, -5008, 3712
1707594079671, 174494, 5488, -5616, 2688
1707594079681, 174505, 4976, -5408, 1824
1707594079693, 174516, 5744, -5728, 1456
1707594079704, 174527, 6400, -6080, 1296
1707594079712, 174538, 7056, -6160, 1760
1707594079726, 174549, 7280, -6032, 2240
