Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594284929, 379754, -2464, -7568, 1840
1707594284945, 379765, -2272, -7424, 1952
1707594284959, 379776, -2320, -7424, 1888
1707594284962, 379787, -2256, -7392, 1952
1707594284980, 379798, -2272, -7488, 1936
1707594284980, 379809, -2304, -7424, 1840
1707594284995, 379820, -2256, -7376, 1776
1707594285012, 379831, -2240, -7344, 1888
1707594285012, 379842, -2160, -7264, 1744
1707594285028, 379853, -2032, -7232, 1840
1707594285045, 379864, -1840, -7344, 1744
1707594285045, 379875, -1712, -7328, 1888
1707594285062, 379886, -1664, -7232, 1936
1707594285079, 379897, -1616, -7296, 1968
1707594285083, 379908, -1520, -7232, 2064
1707594285095, 379919, -1584, -7296, 2128
1707594285111, 379930, -1536, -7312, 2240
1707594285111, 379941, -1424, -7248, 2368
1707594285129, 379952, -1184, -7104, 2480
1707594285145, 379963, -880, -7024, 2720
1707594285145, 379974, -480, -7104, 2656
1707594285162, 379985, -32, -7392, 2480
1707594285177, 379996, 192, -7648, 1872
1707594285179, 380007, 336, -8256, 1184
1707594285196, 380018, 352, -8912, 352
1707594285210, 380029, 160, -9456, -880
1707594285212, 380040, 32, -8784, -1456
1707594285229, 380051, -160, -9072, -1680
1707594285244, 380062, 368, -9376, -2320
1707594285247, 380073, 928, -9520, -3568
1707594285262, 380084, 2192, -12768, -10176
1707594285277, 380095, 560, -9680, -4752
1707594285279, 380106, 1760, -12384, -8048
1707594285295, 380117, 1216, -12096, -6384
1707594285310, 380128, 1872, -12384, -8784
1707594285312, 380139, 1264, -11680, -6496
1707594285328, 380150, 1792, -11904, -8752
1707594285343, 380161, 1728, -12208, -8064
1707594285345, 380172, 1984, -12800, -8256
1707594285362, 380183, 2032, -13088, -8512
1707594285377, 380194, 3008, -13248, -8624
1707594285378, 380205, 3088, -13616, -9184
1707594285395, 380216, 4000, -13776, -9520
1707594285409, 380227, 4176, -13968, -9824
1707594285411, 380238, 5072, -14608, -10336
1707594285428, 380249, 5856, -15600, -11472
1707594285442, 380260, 6224, -15872, -10912
1707594285446, 380271, 6912, -15440, -10304
1707594285463, 380282, 7488, -15168, -10208
1707594285463, 380293, 8048, -14400, -9456
1707594285479, 380304, 8448, -13968, -8576
1707594285496, 380315, 8928, -13664, -8032
1707594285496, 380326, 8976, -13360, -7904
1707594285512, 380337, 9984, -13344, -7920
1707594285528, 380348, 9872, -13168, -8240
1707594285528, 380359, 10656, -13008, -8448
1707594285545, 380370, 10720, -12160, -8016
1707594285562, 380381, 12752, -11904, -8464
1707594285562, 380392, 12640, -9360, -7552
1707594285579, 380403, 13568, -7520, -7632
1707594285596, 380414, 14768, -5264, -7600
1707594285599, 380425, 12912, -4368, -7328
1707594285614, 380436, 10272, -3328, -5776
1707594285629, 380447, 16192, 32, -7872
1707594285629, 380458, 18224, -2160, -8128
1707594285646, 380469, 15184, 2400, -4544
1707594285661, 380480, 9296, 768, -1776
1707594285663, 380491, 15248, 15040, -1008
1707594285679, 380502, 31392, 9392, -6320
1707594285695, 380513, 32016, 2384, -6400
1707594285695, 380524, 26448, -352, -6240
1707594285712, 380535, 16976, 3632, -1888
1707594285728, 380546, 15488, 10736, -2576
1707594285728, 380557, 19488, 11168, 2128
1707594285745, 380568, 22288, 8496, 6464
1707594285761, 380579, 26032, 7920, 10832
1707594285773, 380590, 23504, 8880, 13312
1707594285778, 380601, 17312, 10784, 14688
1707594285794, 380612, 12192, 10768, 15264
1707594285795, 380623, 10464, 6624, 9232
1707594285812, 380634, 9760, 736, 6032
1707594285827, 380645, 6112, 1728, 4768
1707594285829, 380656, 5664, -208, 4064
1707594285846, 380667, 10224, 6240, 6144
1707594285860, 380678, 9728, 6768, 9232
1707594285862, 380689, 10560, 7792, 11008
1707594285878, 380700, 12640, 7504, 9408
1707594285893, 380711, 10464, 6512, 6224
1707594285895, 380722, 9360, 6384, 5216
1707594285912, 380733, 8048, 7200, 4080
1707594285926, 380744, 7552, 7344, 4048
1707594285929, 380755, 7872, 5552, 2864
1707594285945, 380766, 8960, 6976, 3952
1707594285959, 380777, 9264, 5696, 6352
1707594285962, 380788, 8896, 6512, 7968
1707594285979, 380799, 8704, 6384, 8832
1707594285979, 380810, 10048, 6032, 7760
1707594285996, 380821, 10144, 5216, 5024
1707594286012, 380832, 9712, 4912, 4064
1707594286012, 380843, 9248, 4816, 5584
1707594286029, 380854, 8528, 4576, 7104
1707594286046, 380865, 8208, 4416, 7488
1707594286046, 380876, 8016, 3904, 5984
1707594286061, 380887, 7952, 3536, 4016
1707594286078, 380898, 7312, 3392, 3744
1707594286078, 380909, 6624, 3312, 4864
1707594286095, 380920, 6544, 3168, 5360
1707594286113, 380931, 6736, 3376, 5248
1707594286116, 380942, 6784, 3312, 5120
1707594286131, 380953, 7056, 3408, 5888
1707594286146, 380964, 6688, 3280, 6640
1707594286146, 380975, 6448, 3216, 6144
