Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594651720, 746538, -2992, -6688, 3088
1707594651736, 746549, -2928, -6752, 3040
1707594651751, 746560, -2848, -6912, 2928
1707594651753, 746571, -2816, -6960, 2880
1707594651770, 746582, -2752, -6944, 2960
1707594651784, 746593, -2880, -6816, 2992
1707594651786, 746604, -2832, -6848, 3216
1707594651803, 746615, -2832, -6880, 3072
1707594651817, 746626, -2912, -6880, 3088
1707594651820, 746637, -2912, -6896, 3104
1707594651837, 746648, -2944, -6944, 3248
1707594651850, 746659, -2896, -7040, 3152
1707594651853, 746670, -2784, -7168, 3008
1707594651870, 746681, -2784, -7136, 2976
1707594651883, 746692, -2704, -7088, 2992
1707594651886, 746703, -2704, -6944, 3040
1707594651903, 746714, -2848, -6960, 2928
1707594651916, 746725, -2880, -7072, 2912
1707594651925, 746736, -2880, -7008, 2880
1707594651936, 746747, -2960, -6928, 3088
1707594651949, 746758, -2864, -6928, 3008
1707594651953, 746769, -2864, -6864, 3104
1707594651970, 746780, -2736, -7056, 2928
1707594651982, 746791, -2416, -7424, 2832
1707594651987, 746802, -2288, -8144, 2816
1707594652003, 746813, -1584, -9296, 2864
1707594652003, 746824, -1504, -11984, 2992
1707594652020, 746835, -432, -13408, 3328
1707594652037, 746846, 528, -15728, 4432
1707594652037, 746857, -1264, -17728, 5616
1707594652052, 746868, -1136, -17536, 7600
1707594652070, 746879, -528, -16784, 8400
1707594652070, 746890, -432, -15744, 8368
1707594652086, 746901, -1360, -14208, 7936
1707594652102, 746912, 1936, -12896, 7504
1707594652102, 746923, 1424, -11488, 6208
1707594652121, 746934, 1568, -8016, 5520
1707594652136, 746945, 784, -4976, 4480
1707594652138, 746956, -1728, -2272, 3728
1707594652153, 746967, -2688, 1280, 3104
1707594652169, 746978, -3488, 3632, 2640
1707594652170, 746989, -4752, 5248, 1792
1707594652186, 747000, -4176, 7248, 2640
1707594652202, 747011, -4480, 8032, 2592
1707594652203, 747022, -4464, 8592, 2576
1707594652220, 747033, -4560, 8864, 2688
1707594652233, 747044, -4384, 8656, 2208
1707594652237, 747055, -4176, 8432, 1168
1707594652257, 747066, -4192, 8240, 1056
1707594652268, 747077, -3776, 7984, 496
1707594652270, 747088, -3840, 7968, 176
1707594652286, 747099, -3456, 8352, 480
1707594652301, 747110, -4000, 9184, 1424
1707594652303, 747121, -4336, 9392, 1936
1707594652320, 747132, -4176, 8816, 2640
1707594652334, 747143, -4144, 7920, 2944
1707594652336, 747154, -4032, 6416, 2992
1707594652352, 747165, -3776, 4928, 2608
1707594652366, 747176, -3616, 3200, 2288
1707594652369, 747187, -3520, 1760, 1424
1707594652387, 747198, -3216, 528, 1312
1707594652400, 747209, -3264, -928, 1760
1707594652404, 747220, -2336, -1712, 2896
1707594652420, 747231, -2320, -3440, 4080
1707594652432, 747242, -272, -5712, 4288
1707594652436, 747253, 1488, -9152, 4880
1707594652453, 747264, 2672, -12112, 5664
