Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594140214, 235038, -288, -7552, 176
1707594140227, 235049, -96, -7600, 256
1707594140236, 235060, 32, -7808, 256
1707594140247, 235071, 336, -8144, 368
1707594140260, 235082, 656, -8240, 528
1707594140263, 235093, 112, -7952, 528
1707594140281, 235104, -624, -7424, 416
1707594140293, 235115, -1472, -6944, -96
1707594140296, 235126, -2000, -6496, 320
1707594140314, 235137, -2240, -6416, -32
1707594140326, 235148, -2256, -6896, 224
1707594140336, 235159, -1728, -6848, 480
1707594140347, 235170, -1632, -7376, -112
1707594140360, 235181, -1840, -7136, 176
1707594140364, 235192, -2032, -6704, -608
1707594140380, 235203, -2976, -6528, -272
1707594140393, 235214, -2464, -6912, -224
1707594140397, 235225, -1856, -7344, 192
1707594140414, 235236, -1248, -7536, 560
1707594140414, 235247, -1136, -7552, 464
1707594140436, 235258, -1568, -7152, 496
1707594140447, 235269, -2000, -6768, 64
1707594140459, 235280, -2544, -6432, -1120
1707594140464, 235291, -2624, -6448, -1632
1707594140480, 235302, -3328, -6736, -3616
1707594140480, 235313, -3440, -6384, -3648
1707594140497, 235324, -3184, -7408, -4368
1707594140514, 235335, -3328, -6064, -5616
1707594140514, 235346, -3632, -6112, -5632
1707594140536, 235357, -3040, -6704, -7280
1707594140547, 235368, -2880, -6992, -7920
1707594140553, 235379, -2880, -6992, -8864
1707594140564, 235390, -2784, -6720, -10448
1707594140580, 235401, -2640, -6224, -13840
1707594140580, 235412, -2208, -5312, -16288
1707594140596, 235423, -640, -3920, -21968
1707594140613, 235434, 16, -5296, -20448
1707594140614, 235445, 48, -3072, -17968
1707594140631, 235456, 416, -4080, -19152
1707594140646, 235467, 2464, -4560, -18816
1707594140648, 235478, 2752, -5104, -17392
1707594140664, 235489, 4976, -5136, -16896
1707594140679, 235500, 5536, -8832, -17056
1707594140680, 235511, 6512, -9184, -16240
1707594140697, 235522, 2704, 48, -16560
1707594140712, 235533, 5360, -5344, -13232
1707594140713, 235544, 9328, -8864, -10560
1707594140730, 235555, 10240, -10448, -9424
1707594140745, 235566, 12144, -5888, -11312
1707594140747, 235577, 14352, -7520, -10288
1707594140764, 235588, 30384, -17024, 2288
1707594140777, 235599, 31520, -14816, -2960
1707594140780, 235610, 13488, -13776, -4848
1707594140797, 235621, 12048, -10416, -10112
1707594140797, 235632, 2976, -9200, -12544
1707594140814, 235643, 3520, -5600, -12128
1707594140830, 235654, 5168, -3136, -12752
1707594140843, 235665, 6512, -1104, -13696
1707594140847, 235676, 7232, 0, -14944
1707594140864, 235687, 10144, 240, -15376
1707594140876, 235698, 12464, 2016, -14544
1707594140881, 235709, 15968, 352, -12080
1707594140896, 235720, 17120, -1200, -7472
1707594140910, 235731, 15840, -3504, -272
1707594140913, 235742, 11312, -1744, 4736
1707594140930, 235753, 10448, -1488, 2896
1707594140943, 235764, 9952, -736, -32
1707594140947, 235775, 10112, -2288, -592
1707594140964, 235786, 10112, -2528, -368
1707594140964, 235797, 7216, -2832, -368
1707594140980, 235808, 7408, -4288, -2144
1707594140997, 235819, 4016, -3424, -1360
1707594140997, 235830, -144, 3504, 384
1707594141014, 235841, 2960, -672, -144
1707594141030, 235852, 4896, -2784, -400
1707594141036, 235863, 4240, -2640, 2736
1707594141047, 235874, 4512, -3456, 1984
1707594141063, 235885, 4016, -2880, 2160
1707594141063, 235896, 3936, -3040, 928
1707594141080, 235907, 3984, -3744, 384
1707594141097, 235918, 4352, -4240, 752
1707594141097, 235929, 4416, -4720, 1120
1707594141114, 235940, 3936, -4816, 1520
1707594141129, 235951, 3296, -4768, 1392
1707594141136, 235962, 2752, -4672, 1088
1707594141147, 235973, 2448, -4704, 416
1707594141162, 235984, 2368, -4656, 0
1707594141164, 235995, 2464, -4832, 16
1707594141180, 236006, 2576, -5056, 320
1707594141195, 236017, 2720, -5152, 928
1707594141197, 236028, 2688, -5312, 1008
1707594141213, 236039, 2544, -5440, 560
1707594141228, 236050, 2560, -5376, -96
1707594141236, 236061, 2448, -5456, -320
1707594141247, 236072, 2480, -5712, -560
1707594141263, 236083, 3024, -5792, -544
1707594141270, 236094, 3152, -5808, -304
1707594141281, 236105, 3296, -5792, -48
1707594141295, 236116, 3088, -5312, 96
1707594141297, 236127, 2768, -5008, -64
1707594141313, 236138, 2528, -4704, -272
1707594141327, 236149, 2592, -4656, -608
1707594141336, 236160, 3072, -4688, -880
1707594141347, 236171, 3360, -4720, -704
1707594141360, 236182, 3488, -4624, -512
1707594141363, 236193, 3584, -4480, -608
1707594141381, 236204, 3888, -4528, -416
1707594141381, 236215, 4048, -4704, -688
1707594141397, 236226, 4320, -4928, -720
