Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594340171, 434996, -320, 928, 7728
1707594340189, 435007, -288, 1072, 7840
1707594340201, 435018, -304, 1008, 7920
1707594340204, 435029, -144, 880, 7952
1707594340221, 435040, -208, 832, 7920
1707594340234, 435051, -176, 768, 7728
1707594340237, 435062, -208, 688, 7712
1707594340253, 435073, -208, 720, 7552
1707594340267, 435084, -256, 768, 7696
1707594340271, 435095, -288, 848, 7904
1707594340289, 435106, -240, 784, 7808
1707594340300, 435117, -160, 736, 7872
1707594340303, 435128, -176, 784, 7872
1707594340321, 435139, -176, 848, 7840
1707594340321, 435150, -256, 928, 7792
1707594340337, 435161, -240, 880, 7776
1707594340354, 435172, -288, 928, 7888
1707594340354, 435183, -320, 944, 7904
1707594340370, 435194, -304, 1040, 8016
1707594340389, 435205, -352, 1152, 7984
1707594340389, 435216, -288, 1360, 8240
1707594340404, 435227, -368, 1456, 8128
1707594340421, 435238, -208, 1760, 8560
1707594340424, 435249, -224, 2352, 8928
1707594340441, 435260, -48, 2880, 9376
1707594340454, 435271, -80, 3904, 10016
1707594340454, 435282, -16, 4288, 10256
1707594340471, 435293, 48, 4544, 10048
1707594340487, 435304, -16, 4608, 9808
1707594340488, 435315, 32, 4592, 9504
1707594340505, 435326, 208, 4432, 9408
1707594340519, 435337, 288, 4560, 9696
1707594340521, 435348, 768, 4256, 9408
1707594340537, 435359, -96, 4704, 8560
1707594340554, 435370, 624, 5296, 8608
1707594340555, 435381, 368, 5264, 8208
1707594340570, 435392, 368, 5408, 7856
1707594340587, 435403, -192, 5488, 7520
1707594340589, 435414, -352, 5248, 7056
1707594340604, 435425, -112, 4896, 6816
1707594340619, 435436, -32, 4448, 6272
1707594340621, 435447, 16, 4224, 5952
1707594340637, 435458, 272, 3952, 5536
1707594340652, 435469, 464, 3616, 5216
1707594340655, 435480, 240, 3472, 4496
1707594340670, 435491, 80, 3488, 3968
1707594340685, 435502, -208, 3264, 3584
1707594340689, 435513, -240, 3216, 2864
1707594340704, 435524, -240, 3120, 2608
1707594340718, 435535, -304, 2816, 2256
1707594340721, 435546, 16, 2336, 2288
1707594340738, 435557, 80, 1616, 1968
1707594340751, 435568, 208, 1104, 1472
1707594340754, 435579, 208, 800, 928
1707594340770, 435590, 80, 944, 704
1707594340784, 435601, 48, 1056, 512
1707594340789, 435612, 304, 768, 432
1707594340806, 435623, 880, 416, 816
1707594340817, 435634, 1232, 48, 1088
1707594340820, 435645, 1136, -432, 1392
1707594340838, 435656, 1024, -816, 1104
1707594340851, 435667, 384, -1216, 288
1707594340854, 435678, 256, 320, -304
1707594340872, 435689, 2304, -32, -592
1707594340872, 435700, 2384, -1056, -160
1707594340889, 435711, 3312, -4832, 4032
1707594340904, 435722, 3616, -2800, 2304
1707594340904, 435733, 2944, -3488, 1904
1707594340922, 435744, 2128, -2176, 2000
1707594340937, 435755, 2640, -2288, 2320
1707594340950, 435766, 3552, -2224, 3408
1707594340954, 435777, 4464, -1728, 4416
1707594340971, 435788, 5456, -960, 6144
1707594340971, 435799, 5648, -976, 7584
1707594340989, 435810, 7824, -2064, 7824
1707594341004, 435821, 7680, -3376, 7280
1707594341004, 435832, 7984, -4016, 6784
1707594341021, 435843, 8048, -4016, 6864
1707594341037, 435854, 7792, -3408, 7488
1707594341037, 435865, 8096, -2224, 9376
1707594341054, 435876, 6912, -2064, 10592
1707594341070, 435887, 12672, 1488, 11056
1707594341071, 435898, 8112, -528, 10256
1707594341089, 435909, 8480, -2320, 9056
1707594341103, 435920, 9120, -3264, 8080
1707594341104, 435931, 10096, -4256, 7408
1707594341120, 435942, 10208, -4496, 7904
1707594341136, 435953, 10848, -4304, 8944
1707594341137, 435964, 11104, -3232, 9632
1707594341154, 435975, 11408, -2240, 10304
1707594341169, 435986, 11392, -2080, 10736
1707594341170, 435997, 11664, -1440, 10176
1707594341190, 436008, 11920, -624, 10496
1707594341203, 436019, 12064, -512, 10288
1707594341205, 436030, 12080, -672, 10880
1707594341221, 436041, 11968, -608, 11120
1707594341236, 436052, 12240, -432, 11248
1707594341238, 436063, 12624, -512, 10880
1707594341255, 436074, 13184, -224, 10304
1707594341269, 436085, 13296, 16, 9648
1707594341279, 436096, 13792, 672, 9296
1707594341289, 436107, 13760, 1184, 8480
1707594341301, 436118, 13856, 1120, 7760
1707594341304, 436129, 14368, 1248, 7280
1707594341322, 436140, 14656, 1504, 7056
1707594341335, 436151, 14800, 1856, 7216
1707594341338, 436162, 13104, 2736, 7184
1707594341354, 436173, 14560, 4080, 5392
1707594341367, 436184, 14000, 3008, 5376
1707594341372, 436195, 13680, 2640, 4672
1707594341389, 436206, 13216, 2080, 4400
1707594341401, 436217, 12800, 2064, 5776
1707594341404, 436228, 12624, 2960, 7120
1707594341421, 436239, 13296, 3776, 7456
1707594341434, 436250, 13248, 4816, 7664
1707594341437, 436261, 12224, 5136, 7280
1707594341455, 436272, 11392, 4848, 6704
1707594341455, 436283, 10896, 4208, 7088
1707594341470, 436294, 10848, 3536, 7440
1707594341488, 436305, 10960, 3184, 8000
1707594341489, 436316, 11472, 3600, 8688
1707594341504, 436327, 11568, 3664, 8736
1707594341522, 436338, 11504, 3264, 8176
1707594341522, 436349, 10896, 3280, 7696
1707594341538, 436360, 10368, 3328, 7280
1707594341554, 436371, 10080, 3408, 7344
1707594341554, 436382, 8864, 3504, 7376
1707594341572, 436393, 8736, 3872, 6992
1707594341587, 436404, 8048, 3872, 6992
1707594341589, 436415, 7616, 3792, 6992
1707594341604, 436426, 7424, 3440, 6912
1707594341620, 436437, 7072, 3056, 5200
1707594341621, 436448, 6000, 3232, 7504
1707594341643, 436459, 6368, 2080, 6400
1707594341653, 436470, 6544, 2288, 6448
1707594341655, 436481, 6496, 2432, 6048
1707594341670, 436492, 6464, 2560, 5456
1707594341686, 436503, 3952, 3344, 5088
1707594341689, 436514, 3952, 2576, 5264
1707594341704, 436525, 5216, 1776, 2848
1707594341719, 436536, 5584, 1712, 5568
1707594341721, 436547, 5264, 2128, 5952
1707594341737, 436558, 5104, 2304, 5792
1707594341752, 436569, 3968, 2320, 5424
1707594341754, 436580, 3760, 1808, 5744
1707594341771, 436591, 3856, 1776, 5456
1707594341786, 436602, 3840, 1776, 4592
1707594341789, 436613, 2720, 2272, 4672
1707594341804, 436624, 2128, 2672, 5216
1707594341818, 436635, 2016, 2672, 5440
1707594341821, 436646, 2512, 2800, 5424
1707594341839, 436657, 2624, 2544, 5424
1707594341852, 436668, 1936, 2368, 5408
1707594341854, 436679, 1952, 2064, 4928
1707594341871, 436690, 1904, 1904, 4608
1707594341884, 436701, 1584, 1440, 4208
1707594341889, 436712, 1456, 1216, 4000
1707594341904, 436723, 1408, 656, 3920
1707594341917, 436734, 1312, 512, 4016
1707594341921, 436745, 1504, 528, 4224
1707594341938, 436756, 1280, 496, 4016
1707594341938, 436767, 1376, 416, 4128
1707594341954, 436778, 1056, 144, 4064
1707594341972, 436789, 384, 256, 3760
1707594341972, 436800, 176, -32, 3392
1707594341989, 436811, 80, -176, 3408
1707594342005, 436822, -48, -128, 3472
1707594342005, 436833, -32, -64, 3744
1707594342021, 436844, -160, -192, 4144
1707594342038, 436855, -144, -1232, 4128
1707594342038, 436866, -64, -1152, 4112
1707594342054, 436877, -160, -1136, 4080
1707594342071, 436888, -336, -1072, 4000
1707594342071, 436899, -608, -1504, 3872
1707594342089, 436910, -640, -1968, 3904
1707594342104, 436921, -896, -1792, 4272
1707594342104, 436932, -416, -1888, 4432
1707594342120, 436943, -256, -2048, 4800
1707594342137, 436954, -512, -2784, 5360
1707594342137, 436965, -544, -2880, 5216
1707594342154, 436976, -368, -2880, 5296
1707594342171, 436987, -576, -3296, 4976
1707594342171, 436998, -720, -3504, 4880
1707594342189, 437009, -544, -3344, 5328
1707594342203, 437020, 560, -2320, 5648
1707594342204, 437031, -2272, -4928, 7008
1707594342220, 437042, -864, -2496, 7328
1707594342237, 437053, -224, -2144, 7344
1707594342238, 437064, -256, -2128, 7568
1707594342254, 437075, -272, -2064, 7696
1707594342270, 437086, -224, -1952, 7984
1707594342271, 437097, 16, -1872, 8432
1707594342289, 437108, 48, -1648, 8864
1707594342302, 437119, 96, -1200, 9024
1707594342305, 437130, 112, -848, 9216
1707594342322, 437141, 224, -576, 9440
1707594342334, 437152, 32, -432, 9312
1707594342337, 437163, 32, -576, 9072
1707594342355, 437174, 128, -1008, 9232
1707594342368, 437185, 384, -992, 9456
1707594342371, 437196, 512, -656, 9728
1707594342390, 437207, 560, -480, 9616
1707594342401, 437218, 752, -192, 9568
1707594342404, 437229, 704, 176, 9632
1707594342421, 437240, 624, 480, 9504
1707594342434, 437251, 480, 672, 9456
1707594342438, 437262, 528, 800, 9552
1707594342454, 437273, 1088, 176, 9264
1707594342467, 437284, 576, 1312, 9280
1707594342471, 437295, 528, 800, 9072
1707594342487, 437306, 640, 608, 8800
1707594342500, 437317, 144, 608, 8528
1707594342504, 437328, 176, 688, 8016
1707594342521, 437339, -272, 656, 7728
1707594342521, 437350, 144, 1728, 6144
1707594342538, 437361, -1600, 3744, 9904
1707594342554, 437372, -1312, 912, 8032
1707594342554, 437383, 0, 800, 7744
1707594342570, 437394, -272, 1072, 7952
