Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594434632, 529453, -624, 576, 8032
1707594434648, 529464, -672, 704, 8208
1707594434648, 529475, -576, 720, 8272
1707594434665, 529486, -448, 640, 8288
1707594434682, 529497, -384, 496, 8288
1707594434682, 529508, -352, 464, 8256
1707594434698, 529519, -464, 336, 8112
1707594434715, 529530, -560, 224, 7856
1707594434715, 529541, -592, 256, 8048
1707594434732, 529552, -496, 192, 7936
1707594434748, 529563, -592, 272, 8176
1707594434748, 529574, -512, 272, 7984
1707594434765, 529585, -480, 384, 8320
1707594434782, 529596, -432, 528, 8336
1707594434784, 529607, -592, 576, 8080
1707594434798, 529618, -640, 608, 7888
1707594434815, 529629, -848, 416, 7728
1707594434815, 529640, -928, 112, 7648
1707594434832, 529651, -960, -288, 7776
1707594434848, 529662, -1008, -736, 7968
1707594434849, 529673, -992, -1056, 8144
1707594434865, 529684, -880, -1440, 8192
1707594434881, 529695, -624, -1776, 8160
1707594434881, 529706, -704, -2048, 8240
1707594434898, 529717, -608, -2496, 8224
1707594434914, 529728, -640, -2800, 8160
1707594434916, 529739, -480, -3056, 8096
1707594434931, 529750, -416, -3376, 7856
1707594434947, 529761, -304, -3552, 7776
1707594434949, 529772, -112, -3792, 7360
1707594434965, 529783, -336, -4016, 6768
1707594434980, 529794, -368, -4080, 6048
1707594434981, 529805, -320, -4080, 5680
1707594434998, 529816, -192, -4080, 5152
1707594435012, 529827, -96, -3792, 5072
1707594435015, 529838, -128, -3280, 4816
1707594435032, 529849, -192, -2768, 4560
1707594435046, 529860, -192, -2320, 4256
1707594435049, 529871, -176, -1936, 4192
1707594435065, 529882, -112, -1536, 4112
1707594435079, 529893, -48, -960, 3840
1707594435082, 529904, 48, -416, 3536
1707594435098, 529915, 0, -144, 3024
1707594435112, 529926, 448, -96, 3056
1707594435115, 529937, 288, -112, 3168
1707594435132, 529948, 176, -48, 2752
1707594435145, 529959, 256, 240, 2704
1707594435148, 529970, 608, 784, 2720
