Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594467826, 562640, 384, -960, 7920
1707594467826, 562651, 512, -992, 8144
1707594467842, 562662, 640, -1040, 8352
1707594467859, 562673, 736, -1040, 8480
1707594467859, 562684, 768, -1120, 8480
1707594467875, 562695, 880, -1344, 8288
1707594467893, 562706, 880, -1584, 8176
1707594467893, 562717, 864, -1936, 7856
1707594467909, 562728, 880, -2144, 7648
1707594467925, 562739, 864, -2304, 7408
1707594467926, 562750, 848, -2160, 7648
1707594467943, 562761, 864, -1824, 7936
1707594467959, 562772, 832, -1600, 8144
1707594467960, 562783, 752, -1504, 8192
1707594467975, 562794, 784, -1552, 8048
1707594467991, 562805, 640, -1568, 7952
1707594467992, 562816, 496, -1504, 7872
1707594468009, 562827, 416, -1504, 7744
1707594468024, 562838, 384, -1344, 7984
1707594468026, 562849, 416, -1216, 7936
1707594468042, 562860, 352, -784, 8048
1707594468057, 562871, 240, -448, 8352
1707594468059, 562882, 160, -304, 8352
1707594468075, 562893, 144, -400, 8432
1707594468090, 562904, -48, -464, 8304
1707594468092, 562915, -128, -352, 8144
1707594468109, 562926, 32, -176, 8240
1707594468123, 562937, -96, 176, 8224
1707594468126, 562948, -384, 448, 8144
1707594468143, 562959, -816, 992, 8032
1707594468156, 562970, -1056, 1184, 7744
1707594468159, 562981, -1408, 1648, 7280
1707594468176, 562992, -1648, 2208, 7520
1707594468189, 563003, -2176, 3184, 7328
1707594468193, 563014, -2688, 3808, 7216
1707594468209, 563025, -2992, 4208, 6784
1707594468222, 563036, -3024, 4592, 6864
1707594468226, 563047, -2880, 4976, 6848
1707594468243, 563058, -2976, 5024, 6848
1707594468256, 563069, -2320, 5120, 6784
1707594468260, 563080, -1920, 5056, 6528
1707594468276, 563091, -1504, 5216, 6768
1707594468289, 563102, -1088, 5648, 7280
1707594468294, 563113, -592, 5984, 7616
1707594468309, 563124, -1024, 5760, 7376
1707594468322, 563135, -1120, 5568, 7344
1707594468327, 563146, -1136, 5296, 7232
1707594468342, 563157, -1184, 5040, 7440
1707594468342, 563168, -1024, 4688, 7520
1707594468359, 563179, -992, 4496, 7552
1707594468376, 563190, -672, 4352, 8032
1707594468376, 563201, -624, 4272, 8256
1707594468392, 563212, -496, 4144, 8528
1707594468410, 563223, -448, 3952, 8672
1707594468416, 563234, -224, 3632, 8784
1707594468426, 563245, 208, 3360, 8720
1707594468442, 563256, 640, 3008, 8752
1707594468442, 563267, 976, 2640, 8896
1707594468459, 563278, 912, 2512, 8992
1707594468475, 563289, 784, 2320, 8624
1707594468476, 563300, 896, 2400, 8704
1707594468492, 563311, 784, 2416, 8544
1707594468508, 563322, 720, 2352, 8448
1707594468510, 563333, 432, 2240, 8352
1707594468527, 563344, 352, 2192, 8304
1707594468541, 563355, 432, 1952, 8384
1707594468543, 563366, 512, 1616, 8288
1707594468559, 563377, 976, 1344, 8096
1707594468574, 563388, 1232, 880, 7808
