Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594544210, 639024, -2384, -2048, 7008
1707594544224, 639035, -2384, -1952, 7232
1707594544227, 639046, -2528, -1968, 7056
1707594544244, 639057, -2480, -2032, 7200
1707594544257, 639068, -2512, -2048, 7216
1707594544260, 639079, -2416, -2048, 7216
1707594544277, 639090, -2400, -2016, 7216
1707594544289, 639101, -2336, -2048, 7120
1707594544293, 639112, -2416, -2064, 7136
1707594544310, 639123, -2416, -2016, 7120
1707594544322, 639134, -2448, -2048, 7200
1707594544327, 639145, -2400, -2080, 7120
1707594544343, 639156, -2432, -2128, 7168
1707594544355, 639167, -2384, -2176, 7008
1707594544360, 639178, -2432, -2208, 6944
1707594544377, 639189, -2464, -2208, 7232
1707594544389, 639200, -2512, -2144, 7056
1707594544399, 639211, -2480, -2080, 7072
1707594544409, 639222, -2384, -2160, 7088
1707594544422, 639233, -2656, -2176, 7104
1707594544427, 639244, -2688, -2352, 7280
1707594544443, 639255, -2896, -2336, 7504
1707594544444, 639266, -3008, -2336, 7808
1707594544460, 639277, -3056, -2432, 8064
1707594544476, 639288, -3216, -2720, 8336
1707594544477, 639299, -3216, -3200, 8464
1707594544494, 639310, -3200, -3712, 8816
1707594544510, 639321, -2928, -4224, 8880
1707594544510, 639332, -2576, -4928, 9184
1707594544527, 639343, -2480, -5296, 9312
1707594544542, 639354, -1728, -5664, 9376
1707594544543, 639365, -1584, -5952, 9520
1707594544560, 639376, -1136, -6112, 9600
1707594544576, 639387, -1024, -6528, 9488
1707594544577, 639398, -640, -6800, 9216
1707594544593, 639409, -560, -7072, 8832
1707594544608, 639420, -608, -7056, 8432
1707594544610, 639431, -608, -6896, 7936
1707594544627, 639442, -848, -6656, 7712
1707594544642, 639453, -1136, -6288, 7408
1707594544644, 639464, -1168, -5856, 7488
1707594544660, 639475, -1088, -5520, 7408
1707594544675, 639486, -1056, -5136, 7136
1707594544677, 639497, -1040, -4864, 6928
1707594544694, 639508, -1184, -4528, 6592
1707594544707, 639519, -1232, -4160, 6320
1707594544711, 639530, -1344, -3936, 6048
1707594544727, 639541, -1392, -3632, 5920
1707594544740, 639552, -1424, -3248, 5664
1707594544744, 639563, -1456, -2896, 5584
1707594544761, 639574, -1552, -2288, 5440
1707594544775, 639585, -1744, -1856, 5456
1707594544782, 639596, -1856, -1504, 5264
1707594544793, 639607, -1776, -1264, 4992
1707594544806, 639618, -2160, -992, 5008
1707594544810, 639629, -2528, -848, 4784
1707594544827, 639640, -2608, -688, 4848
1707594544839, 639651, -2608, -720, 4528
1707594544844, 639662, -2528, -800, 4256
1707594544859, 639673, -2432, -640, 4256
1707594544872, 639684, -2240, -224, 4368
1707594544877, 639695, -2032, 112, 4608
1707594544893, 639706, -2128, 112, 4800
1707594544895, 639717, -2448, 144, 4464
1707594544911, 639728, -2496, 208, 4240
1707594544927, 639739, -2128, 304, 4240
1707594544939, 639750, -2144, 576, 4528
1707594544943, 639761, -2224, 880, 4784
1707594544960, 639772, -2240, 1088, 4800
1707594544970, 639783, -2416, 1376, 4624
1707594544977, 639794, -2448, 1472, 4544
1707594544993, 639805, -2624, 1712, 4320
1707594544993, 639816, -2704, 1904, 4448
1707594545010, 639827, -3040, 2128, 4400
1707594545026, 639838, -3072, 2304, 4528
1707594545026, 639849, -3040, 2176, 4448
1707594545044, 639860, -2832, 2048, 4336
1707594545059, 639871, -2880, 2240, 3968
1707594545061, 639882, -2816, 2448, 3824
1707594545076, 639893, -2624, 3056, 4064
1707594545093, 639904, -2336, 3824, 4768
1707594545093, 639915, -2096, 4128, 4976
1707594545111, 639926, -1920, 4112, 5360
1707594545125, 639937, -1872, 4016, 4896
1707594545128, 639948, -2064, 4080, 4752
1707594545143, 639959, -2208, 4960, 4704
1707594545158, 639970, -2560, 5824, 5168
1707594545160, 639981, -2512, 6432, 5824
1707594545177, 639992, -2640, 6496, 6176
1707594545192, 640003, -2784, 6352, 6368
1707594545194, 640014, -2944, 6480, 6576
1707594545210, 640025, -3120, 7008, 6976
1707594545224, 640036, -3104, 7312, 7424
1707594545227, 640047, -2560, 7600, 7680
1707594545243, 640058, -2704, 7760, 8208
1707594545257, 640069, -2912, 7760, 8256
1707594545260, 640080, -3040, 7568, 8624
1707594545277, 640091, -2640, 7504, 8528
1707594545291, 640102, -2416, 7408, 8768
1707594545294, 640113, -1216, 7104, 8608
1707594545312, 640124, -1168, 6768, 8432
1707594545313, 640135, -1184, 6480, 8288
1707594545327, 640146, -1424, 5856, 7760
1707594545344, 640157, -1520, 5408, 7568
1707594545356, 640168, -1472, 5376, 7744
1707594545360, 640179, -1296, 5392, 7840
1707594545377, 640190, -448, 5344, 7984
