Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594594684, 689503, -112, -6000, 5504
1707594594699, 689514, -128, -5936, 5408
1707594594714, 689525, -128, -5968, 5520
1707594594715, 689536, -128, -5952, 5440
1707594594732, 689547, -144, -5984, 5520
1707594594747, 689558, -32, -6000, 5488
1707594594749, 689569, -80, -5968, 5504
1707594594767, 689580, -96, -5952, 5520
1707594594780, 689591, -128, -5904, 5600
1707594594783, 689602, -80, -5856, 5632
1707594594799, 689613, -128, -5856, 5696
1707594594813, 689624, -128, -5872, 5776
1707594594815, 689635, -32, -5888, 5872
1707594594835, 689646, -16, -5840, 5792
1707594594835, 689657, -48, -5888, 5904
1707594594849, 689668, -32, -5936, 5760
1707594594866, 689679, -96, -5952, 5904
1707594594879, 689690, -128, -6048, 5904
1707594594883, 689701, -16, -6064, 5952
1707594594900, 689712, 32, -6112, 6240
1707594594900, 689723, -240, -6160, 6528
1707594594917, 689734, -288, -6016, 6928
1707594594933, 689745, 352, -6016, 7296
1707594594933, 689756, 720, -5872, 7648
1707594594949, 689767, 688, -5344, 8256
1707594594966, 689778, 384, -4096, 9696
1707594594966, 689789, 464, -3024, 10624
1707594594983, 689800, 384, -2224, 11280
1707594595000, 689811, 608, -1904, 10944
1707594595000, 689822, 816, -1680, 10592
1707594595016, 689833, 608, -2128, 9632
1707594595033, 689844, -112, -3200, 7088
1707594595033, 689855, -208, -6000, 3536
1707594595050, 689866, -640, -9200, -1200
1707594595066, 689877, -768, -13424, -6736
1707594595066, 689888, -1088, -13424, -9984
1707594595083, 689899, -2384, -14816, -10560
1707594595099, 689910, -2512, -14272, -9840
1707594595099, 689921, -1520, -10544, -4144
1707594595117, 689932, -1008, -8352, -880
1707594595132, 689943, 1360, -4160, 4272
1707594595132, 689954, 3344, -464, 9392
1707594595150, 689965, 3968, 3776, 15952
1707594595165, 689976, 3856, 5696, 19792
1707594595167, 689987, 1696, 7120, 21120
1707594595183, 689998, 1840, 5696, 19344
1707594595198, 690009, 960, 3856, 16784
1707594595199, 690020, 640, -2336, 9504
1707594595216, 690031, -416, -6560, 1472
1707594595231, 690042, -3232, -12240, -5216
1707594595232, 690053, -4880, -14720, -10928
1707594595250, 690064, -4640, -13376, -7760
1707594595265, 690075, -4944, -12672, -5440
1707594595267, 690086, -2528, -11568, -4768
1707594595283, 690097, -784, -11008, -2944
1707594595297, 690108, 896, -8400, 2288
1707594595299, 690119, 1344, -5248, 8208
1707594595316, 690130, 2912, -1856, 14512
1707594595330, 690141, 2912, 1792, 18240
1707594595332, 690152, 3040, 2896, 19184
1707594595351, 690163, 2768, 2384, 17440
1707594595364, 690174, 1088, 832, 14384
1707594595366, 690185, -64, -3168, 7840
1707594595383, 690196, -1920, -8144, -688
1707594595396, 690207, -4240, -12896, -8608
1707594595399, 690218, -6480, -14960, -11536
1707594595416, 690229, -6032, -15840, -13632
1707594595430, 690240, -4912, -13872, -7568
1707594595433, 690251, -2320, -12112, -3968
1707594595449, 690262, 64, -9920, -320
1707594595449, 690273, 2352, -7424, 5440
1707594595466, 690284, 2768, -3536, 10896
1707594595483, 690295, 3744, -528, 15824
1707594595483, 690306, 3792, 2704, 20016
1707594595499, 690317, 2912, 3664, 20688
1707594595516, 690328, 2448, 2672, 18256
1707594595516, 690339, 816, 1232, 15632
1707594595533, 690350, -112, -1920, 10368
1707594595550, 690361, -1760, -5968, 3872
1707594595550, 690372, -3552, -11056, -6800
1707594595567, 690383, -7536, -14768, -9264
1707594595583, 690394, -5760, -16272, -12832
1707594595583, 690405, -4080, -15936, -12928
1707594595599, 690416, -4912, -14000, -6384
1707594595615, 690427, -4416, -12256, -4688
1707594595620, 690438, -1136, -10064, -944
1707594595636, 690449, -736, -7792, 2240
1707594595636, 690460, 1152, -5632, 6064
1707594595653, 690471, 1344, -1984, 12464
1707594595669, 690482, 2768, 432, 17024
1707594595669, 690493, 3392, 3104, 19536
1707594595686, 690504, 1456, 2912, 20064
1707594595703, 690515, 1040, 2720, 17856
1707594595703, 690526, 80, 1024, 14720
1707594595720, 690537, -464, -1488, 9616
1707594595736, 690548, -2032, -5968, 2192
1707594595736, 690559, -2976, -11632, -9296
1707594595753, 690570, -7248, -14032, -12816
1707594595769, 690581, -6656, -14768, -18208
1707594595769, 690592, -6656, -13184, -20368
1707594595787, 690603, -3376, -12544, -14160
1707594595803, 690614, -3520, -7904, -1200
1707594595803, 690625, -1040, -8544, -1776
1707594595822, 690636, 1360, -6416, 3664
1707594595822, 690647, 3888, -3056, 10384
1707594595838, 690658, 4688, 1648, 19136
1707594595859, 690669, 4208, 4400, 23776
1707594595870, 690680, 3136, 5840, 25296
1707594595871, 690691, 2656, 5344, 23776
1707594595888, 690702, 1280, 3456, 19232
1707594595903, 690713, 576, 768, 14016
1707594595905, 690724, -704, -5360, 2736
1707594595921, 690735, -1280, -10432, -8176
1707594595936, 690746, -8608, -13872, -12688
1707594595939, 690757, -7744, -15792, -17760
1707594595955, 690768, -3904, -15008, -22896
1707594595955, 690779, -3712, -13376, -19040
1707594595977, 690790, -1632, -11104, -7040
1707594595988, 690801, -2000, -9392, -6768
1707594595999, 690812, -1488, -7824, -2560
1707594596010, 690823, 176, -5584, 3392
1707594596022, 690834, 3024, -3056, 9360
1707594596022, 690845, 4848, 1392, 18720
1707594596038, 690856, 4496, 3584, 23648
1707594596055, 690867, 3568, 6208, 26032
1707594596055, 690878, 4400, 5472, 25984
1707594596071, 690889, 1152, 4752, 20720
1707594596088, 690900, 656, 1792, 16176
1707594596099, 690911, -656, -3296, 6704
1707594596110, 690922, -912, -9472, -7024
1707594596122, 690933, -10352, -14240, -13616
1707594596122, 690944, -5840, -15152, -16304
1707594596138, 690955, -5504, -15472, -20080
1707594596155, 690966, -7040, -12400, -18016
1707594596155, 690977, -3392, -9968, -9792
1707594596172, 690988, -2576, -8880, -5376
1707594596189, 690999, -1968, -7760, -112
1707594596199, 691010, 848, -4304, 7408
1707594596206, 691021, 3056, -688, 15072
1707594596221, 691032, 2880, 2848, 22256
1707594596226, 691043, 3712, 5008, 24000
1707594596239, 691054, 3856, 6224, 23408
1707594596239, 691065, 3232, 5328, 20656
1707594596257, 691076, 576, 3504, 16768
1707594596274, 691087, -1152, -1648, 6928
1707594596274, 691098, -2320, -6912, -5472
1707594596299, 691109, -10448, -12576, -13232
1707594596307, 691120, -9616, -13872, -15760
1707594596307, 691131, -5056, -11936, -22336
1707594596324, 691142, -3904, -13648, -19552
1707594596341, 691153, -7360, -9328, 2288
1707594596341, 691164, -4032, -9776, -3120
1707594596357, 691175, -688, -7056, 3184
1707594596375, 691186, 16, -4720, 9264
1707594596382, 691197, 3728, -2224, 15584
1707594596389, 691208, 3600, 2976, 22800
1707594596409, 691219, 3536, 5344, 24128
1707594596409, 691230, 3552, 5408, 22464
1707594596426, 691241, 1520, 5184, 19440
1707594596442, 691252, 1120, 3072, 12672
1707594596443, 691263, -1152, -3056, 1856
1707594596462, 691274, -5088, -9456, -10704
1707594596475, 691285, -8096, -11632, -14272
1707594596477, 691296, -7200, -12336, -23264
1707594596493, 691307, -5520, -11760, -25280
1707594596499, 691318, -5120, -8992, -15680
1707594596509, 691329, -5056, -7472, 6176
1707594596526, 691340, -3184, -9168, 384
1707594596526, 691351, -2304, -7120, 5712
1707594596542, 691362, 2160, -4752, 11664
1707594596560, 691373, 2144, -1264, 16336
1707594596560, 691384, 1040, 624, 18048
1707594596584, 691395, 16, 1344, 16832
1707594596592, 691406, -352, 416, 14080
1707594596600, 691417, -1440, -2368, 9264
1707594596610, 691428, -2912, -4928, 5008
1707594596626, 691439, -3664, -7904, 176
1707594596626, 691450, -3936, -8880, -992
1707594596644, 691461, -4080, -9776, -1488
1707594596661, 691472, -4000, -9616, -752
1707594596661, 691483, -4192, -9696, -704
1707594596679, 691494, -4208, -9776, -816
1707594596695, 691505, -3952, -9520, -432
1707594596700, 691516, -3888, -8896, 400
1707594596712, 691527, -2864, -8320, 1136
1707594596727, 691538, -2944, -8048, 2128
1707594596729, 691549, -2736, -7536, 2960
1707594596746, 691560, -2352, -6400, 4496
1707594596760, 691571, -2016, -5680, 5600
1707594596763, 691582, -1504, -5136, 6528
1707594596782, 691593, -1456, -4864, 6960
1707594596782, 691604, -1696, -5088, 6912
1707594596800, 691615, -1904, -5232, 6416
1707594596816, 691626, -2000, -5696, 5568
1707594596816, 691637, -2016, -5920, 5088
1707594596835, 691648, -1600, -6160, 4736
1707594596848, 691659, -1472, -6432, 4272
1707594596850, 691670, -1296, -6624, 3856
