Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707594207522, 302347, 7360, 1184, -3408
1707594207538, 302358, 7408, 1376, -3296
1707594207539, 302369, 7248, 1344, -3296
1707594207555, 302380, 7392, 1296, -3376
1707594207571, 302391, 7472, 1424, -3472
1707594207573, 302402, 7616, 1424, -3568
1707594207588, 302413, 7760, 1392, -3504
1707594207604, 302424, 7808, 1408, -3488
1707594207605, 302435, 7840, 1520, -3456
1707594207627, 302446, 7984, 1520, -3456
1707594207637, 302457, 8080, 1296, -3728
1707594207646, 302468, 8144, 1264, -3696
1707594207654, 302479, 7984, 1376, -3760
1707594207670, 302490, 7936, 1568, -3824
1707594207675, 302501, 7808, 1664, -3760
1707594207690, 302512, 7760, 1776, -3648
1707594207690, 302523, 7984, 1952, -3584
1707594207711, 302534, 7936, 2112, -3392
1707594207725, 302545, 7904, 2192, -3408
1707594207725, 302556, 7776, 2176, -3424
1707594207742, 302567, 7648, 2208, -3552
1707594207758, 302578, 7664, 2400, -3200
1707594207758, 302589, 7680, 2352, -3248
1707594207775, 302600, 7808, 2192, -3344
1707594207792, 302611, 7728, 1792, -3104
1707594207792, 302622, 8048, 1616, -3296
1707594207807, 302633, 8000, 1600, -3440
1707594207824, 302644, 7680, 1792, -3520
1707594207824, 302655, 7680, 2112, -3392
1707594207841, 302666, 7440, 2224, -3504
1707594207857, 302677, 7248, 2352, -3408
1707594207858, 302688, 7152, 2192, -3248
1707594207875, 302699, 7008, 2128, -3216
1707594207890, 302710, 6832, 2352, -2976
1707594207892, 302721, 6560, 2304, -2656
1707594207908, 302732, 6400, 2160, -2608
1707594207923, 302743, 6112, 2416, -2192
1707594207925, 302754, 6080, 2448, -2272
1707594207941, 302765, 5632, 2160, -2480
1707594207956, 302776, 5520, 1984, -2752
1707594207958, 302787, 4736, 2096, -2768
1707594207976, 302798, 4640, 2416, -2416
1707594207989, 302809, 3984, 2384, -2016
1707594207992, 302820, 3904, 2352, -1568
1707594208008, 302831, 3776, 2448, -1120
1707594208022, 302842, 3472, 2000, -1008
1707594208025, 302853, 3328, 1536, -1152
1707594208042, 302864, 3008, 1136, -1024
1707594208056, 302875, 2848, 768, -1392
1707594208063, 302886, 3008, -16, -2880
1707594208076, 302897, 3264, -400, -2784
1707594208088, 302908, 2768, -448, -2096
1707594208093, 302919, 2816, -368, -1712
1707594208108, 302930, 2720, 0, -1344
1707594208121, 302941, 2592, 352, -1024
1707594208125, 302952, 2256, 864, -992
1707594208141, 302963, 2304, 944, -960
1707594208154, 302974, 2624, 656, -1152
1707594208158, 302985, 3008, 432, -1872
1707594208175, 302996, 3072, -912, -2080
1707594208187, 303007, 3472, -352, -2912
1707594208192, 303018, 3936, -816, -3408
1707594208208, 303029, 4912, -3952, -9264
1707594208208, 303040, 5232, -1248, -8080
1707594208225, 303051, 3120, 848, -4816
1707594208241, 303062, 3920, -2272, -3088
1707594208254, 303073, 4752, -1056, -3488
1707594208258, 303084, 4400, -1632, -6176
1707594208275, 303095, 4864, -1696, -5792
1707594208287, 303106, 4800, -1344, -6752
1707594208292, 303117, 4784, -1136, -7424
1707594208308, 303128, 5312, -800, -8944
1707594208308, 303139, 5792, -320, -10448
1707594208326, 303150, 6144, 448, -11760
1707594208341, 303161, 6672, 688, -12720
1707594208342, 303172, 6736, 528, -12464
1707594208359, 303183, 6720, -976, -11776
1707594208374, 303194, 6624, 3616, -16272
1707594208375, 303205, 8688, 3488, -15568
1707594208391, 303216, 7328, 3536, -12208
1707594208407, 303227, 7472, 4048, -13088
1707594208408, 303238, 9008, 4768, -13712
1707594208425, 303249, 9184, 5200, -14480
1707594208440, 303260, 10208, 5680, -14704
1707594208442, 303271, 11456, 6656, -15184
1707594208458, 303282, 12208, 5824, -15712
1707594208473, 303293, 13936, 4992, -16048
1707594208475, 303304, 14528, 4784, -16784
1707594208491, 303315, 14928, 4640, -17152
1707594208506, 303326, 14976, 4928, -17904
1707594208508, 303337, 14672, 5216, -17872
1707594208525, 303348, 14688, 4496, -18160
1707594208539, 303359, 16688, 3584, -18304
1707594208541, 303370, 17008, 3648, -17312
1707594208558, 303381, 19296, 3840, -16688
1707594208573, 303392, 18656, 4144, -14992
1707594208576, 303403, 18048, 3680, -13648
1707594208594, 303414, 16240, 3088, -12960
1707594208605, 303425, 15136, 2624, -13168
1707594208609, 303436, 12832, 1440, -14624
1707594208625, 303447, 13184, 352, -15856
1707594208637, 303458, 12512, 416, -13744
1707594208642, 303469, 12768, 1392, -11824
1707594208659, 303480, 11024, 2000, -9616
1707594208671, 303491, 11072, 2160, -7616
1707594208674, 303502, 7712, 704, -7600
1707594208691, 303513, 6080, -16, -9024
1707594208704, 303524, 4720, -560, -8640
1707594208709, 303535, 4688, -752, -7616
1707594208725, 303546, 4832, -768, -6016
1707594208739, 303557, 4576, -512, -4288
1707594208741, 303568, 3840, 720, -4016
1707594208758, 303579, 3840, 400, -3504
1707594208770, 303590, 2016, -5616, 208
1707594208775, 303601, 816, -992, -1792
1707594208792, 303612, 336, -2640, -1040
1707594208792, 303623, -304, -2976, -288
1707594208808, 303634, -432, -4000, 400
1707594208825, 303645, -176, -4304, 240
1707594208839, 303656, 192, -4400, -432
1707594208842, 303667, 240, -4016, -832
1707594208858, 303678, 176, -3360, -496
1707594208858, 303689, 208, -3168, 384
1707594208875, 303700, 32, -3472, 1216
1707594208891, 303711, -48, -3616, 1584
1707594208892, 303722, -272, -4080, 2112
1707594208909, 303733, -400, -4096, 2160
1707594208924, 303744, -528, -4304, 1584
1707594208925, 303755, -400, -4496, 832
1707594208942, 303766, -48, -4816, 32
1707594208957, 303777, 48, -4832, -96
1707594208959, 303788, 160, -4576, 272
1707594208975, 303799, -192, -4128, 1488
1707594208990, 303810, -592, -4256, 2464
1707594208992, 303821, -880, -3760, 2016
1707594209008, 303832, -864, -4016, 1584
1707594209023, 303843, -720, -4160, 480
1707594209026, 303854, -704, -4240, -80
1707594209041, 303865, -576, -4416, -336
1707594209056, 303876, -480, -4224, -144
1707594209058, 303887, -464, -4096, 672
1707594209075, 303898, -464, -3952, 1072
1707594209089, 303909, -480, -3888, 1200
1707594209092, 303920, -416, -4016, 464
1707594209109, 303931, -80, -4320, -704
1707594209122, 303942, 608, -4608, -1424
1707594209126, 303953, 1232, -4032, -1840
1707594209142, 303964, 1984, -4656, -2016
1707594209155, 303975, 2640, -4112, -2704
1707594209159, 303986, 3120, -7136, -7472
1707594209176, 303997, 3376, -4848, -5824
1707594209188, 304008, 3888, -3808, -3168
1707594209191, 304019, 4288, -3504, -3120
1707594209209, 304030, 4688, -4864, -7040
1707594209221, 304041, 5808, -4864, -7856
1707594209225, 304052, 6352, -4368, -6400
1707594209242, 304063, 6496, -4640, -7760
1707594209254, 304074, 7504, -4592, -8128
1707594209258, 304085, 8064, -3584, -9408
1707594209275, 304096, 9072, -3872, -8672
1707594209287, 304107, 9536, -3152, -9008
1707594209291, 304118, 10144, -2896, -9200
1707594209308, 304129, 9056, -3040, -10416
1707594209321, 304140, 11952, -3072, -10992
1707594209325, 304151, 12048, -3248, -11904
1707594209342, 304162, 12560, -3040, -12464
1707594209342, 304173, 12800, -3056, -13840
1707594209358, 304184, 12960, -3072, -13424
1707594209375, 304195, 13088, -2800, -12544
1707594209377, 304206, 13024, -1872, -11616
1707594209392, 304217, 12400, -1136, -11264
1707594209408, 304228, 12176, -544, -11040
1707594209420, 304239, 12320, -400, -11104
1707594209430, 304250, 12288, -368, -11104
1707594209441, 304261, 12192, -496, -11008
1707594209442, 304272, 11440, -848, -10704
1707594209458, 304283, 11536, -368, -10608
1707594209475, 304294, 11248, -528, -11040
1707594209475, 304305, 11184, -576, -10960
1707594209491, 304316, 11216, -672, -11040
1707594209508, 304327, 11184, -1008, -10816
1707594209509, 304338, 10512, -1184, -10272
1707594209525, 304349, 10496, -1216, -9616
1707594209542, 304360, 9408, -1152, -9296
1707594209542, 304371, 8912, -1312, -9024
1707594209558, 304382, 8560, -1248, -8976
1707594209574, 304393, 8304, -1312, -8512
1707594209575, 304404, 7968, -1488, -8208
1707594209593, 304415, 7664, -1872, -8624
1707594209606, 304426, 7296, -2240, -8736
1707594209608, 304437, 6800, -2608, -8240
1707594209625, 304448, 6704, -2800, -8208
1707594209639, 304459, 6288, -3072, -7584
1707594209643, 304470, 6192, -2592, -6720
1707594209659, 304481, 5632, -2240, -6800
1707594209672, 304492, 5680, -1488, -6672
1707594209675, 304503, 4672, -1440, -6784
1707594209691, 304514, 4624, -1888, -5984
1707594209705, 304525, 5632, -2720, -5712
1707594209708, 304536, 6272, -3104, -5040
