Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614240471, 1158438, 768, 448, 7840
1707614240487, 1158449, 944, 464, 7808
1707614240488, 1158460, 976, 464, 7872
1707614240505, 1158471, 1136, 448, 7984
1707614240520, 1158482, 1056, 400, 7952
1707614240524, 1158493, 960, 384, 7936
1707614240538, 1158504, 848, 464, 7728
1707614240553, 1158515, 816, 368, 7872
1707614240561, 1158526, 832, 352, 7840
1707614240572, 1158537, 864, 384, 7824
1707614240586, 1158548, 864, 352, 7856
1707614240588, 1158559, 912, 384, 7856
1707614240604, 1158570, 880, 384, 7808
1707614240619, 1158581, 1040, 416, 7856
1707614240622, 1158592, 960, 480, 7824
1707614240638, 1158603, 896, 448, 7872
1707614240652, 1158614, 880, 416, 7904
1707614240661, 1158625, 880, 544, 7920
1707614240671, 1158636, 960, 432, 7792
1707614240685, 1158647, 944, 480, 8048
1707614240689, 1158658, 992, 480, 7904
1707614240705, 1158669, 960, 432, 7904
1707614240717, 1158680, 928, 480, 7744
1707614240721, 1158691, 752, 480, 7904
1707614240739, 1158702, 864, 400, 7888
1707614240753, 1158713, 848, 368, 7888
1707614240761, 1158724, 832, 368, 7792
1707614240771, 1158735, 880, 384, 7824
1707614240784, 1158746, 880, 384, 7760
1707614240788, 1158757, 944, 384, 7792
1707614240805, 1158768, 960, 336, 7872
1707614240817, 1158779, 944, 320, 7920
1707614240825, 1158790, 976, 352, 8000
1707614240839, 1158801, 976, 368, 7888
1707614240850, 1158812, 944, 416, 7888
1707614240855, 1158823, 992, 384, 7936
1707614240871, 1158834, 1072, 400, 7872
1707614240883, 1158845, 944, 400, 7936
1707614240889, 1158856, 928, 416, 7888
1707614240905, 1158867, 992, 384, 8048
1707614240916, 1158878, 960, 464, 7872
1707614240922, 1158889, 912, 480, 7872
1707614240938, 1158900, 880, 448, 7808
1707614240949, 1158911, 816, 480, 7840
1707614240955, 1158922, 752, 528, 7856
1707614240971, 1158933, 832, 512, 7760
1707614240972, 1158944, 960, 544, 7856
1707614240988, 1158955, 832, 464, 7840
1707614241004, 1158966, 912, 464, 7792
1707614241005, 1158977, 1104, 544, 7840
1707614241021, 1158988, 1008, 576, 7856
1707614241037, 1158999, 960, 512, 7872
1707614241038, 1159010, 960, 496, 7792
1707614241055, 1159021, 944, 464, 7856
1707614241069, 1159032, 960, 448, 7872
1707614241071, 1159043, 880, 496, 7792
1707614241089, 1159054, 848, 464, 7872
1707614241103, 1159065, 832, 416, 7856
1707614241110, 1159076, 912, 464, 7632
1707614241122, 1159087, 896, 464, 7824
1707614241136, 1159098, 944, 400, 7840
1707614241143, 1159109, 944, 496, 7856
1707614241155, 1159120, 1136, 496, 7728
1707614241169, 1159131, 896, 496, 7808
1707614241172, 1159142, 848, 512, 7824
1707614241188, 1159153, 832, 512, 7696
1707614241202, 1159164, 896, 496, 7808
1707614241205, 1159175, 976, 528, 7840
1707614241222, 1159186, 1008, 496, 8144
1707614241235, 1159197, 1056, 528, 7808
1707614241238, 1159208, 992, 512, 7888
1707614241255, 1159219, 944, 512, 7936
1707614241268, 1159230, 960, 528, 7840
1707614241271, 1159241, 944, 480, 7840
