Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614020433, 938394, -288, 6480, -4576
1707614020447, 938405, -272, 6448, -4656
1707614020458, 938416, -240, 6560, -4448
1707614020464, 938427, -320, 6608, -4528
1707614020480, 938438, -352, 6688, -4464
1707614020491, 938449, -480, 6832, -4448
1707614020497, 938460, -448, 6928, -4288
1707614020513, 938471, -656, 6928, -4160
1707614020524, 938482, -656, 6912, -4272
1707614020533, 938493, -560, 6928, -4256
1707614020546, 938504, -752, 6800, -4192
1707614020547, 938515, -768, 6752, -4240
1707614020564, 938526, -640, 6768, -4192
1707614020579, 938537, -640, 6640, -4160
1707614020581, 938548, -624, 6672, -4112
1707614020598, 938559, -512, 6688, -3936
1707614020611, 938570, -656, 6656, -4016
1707614020614, 938581, -672, 6576, -3968
1707614020634, 938592, -704, 6480, -4064
1707614020644, 938603, -656, 6480, -3952
1707614020647, 938614, -736, 6368, -3952
1707614020664, 938625, -800, 6352, -3920
1707614020678, 938636, -864, 6320, -3936
1707614020681, 938647, -1056, 6256, -3872
1707614020697, 938658, -1168, 6272, -3600
1707614020711, 938669, -1408, 6304, -3216
1707614020713, 938680, -1536, 6112, -2496
1707614020730, 938691, -1648, 5904, -1984
1707614020744, 938702, -2032, 5712, -1280
1707614020747, 938713, -2080, 5344, -848
1707614020764, 938724, -2592, 4976, -288
1707614020776, 938735, -2864, 4528, 640
1707614020781, 938746, -2992, 4176, 1376
1707614020797, 938757, -3200, 4000, 2096
1707614020809, 938768, -3264, 3952, 2736
1707614020813, 938779, -3184, 4128, 3488
1707614020830, 938790, -2592, 3728, 4064
1707614020842, 938801, -1568, 2400, 5440
1707614020847, 938812, 272, 1536, 7440
1707614020864, 938823, 1392, 2048, 8624
1707614020876, 938834, 2624, 3888, 9600
1707614020880, 938845, 3616, 6176, 10976
1707614020897, 938856, 3824, 8240, 12160
1707614020909, 938867, 4256, 9360, 14048
1707614020914, 938878, 5152, 9760, 15760
1707614020931, 938889, 5408, 9616, 17744
1707614020934, 938900, 6960, 9856, 19344
1707614020947, 938911, 6928, 10080, 20464
1707614020964, 938922, 9472, 9984, 20784
1707614020975, 938933, 10800, 11136, 18736
1707614020980, 938944, 10304, 10128, 15600
1707614020997, 938955, 10448, 11408, 9024
1707614021008, 938966, 10528, 13216, 4544
1707614021014, 938977, 9456, 15120, 1280
1707614021030, 938988, 8384, 16304, 64
1707614021040, 938999, 8176, 16048, -320
1707614021047, 939010, 5952, 15280, -1232
1707614021063, 939021, 4816, 14992, -3712
1707614021074, 939032, 4528, 15952, -7760
1707614021080, 939043, 2080, 16704, -9632
1707614021096, 939054, 688, 16768, -8768
1707614021097, 939065, -96, 15376, -4960
1707614021114, 939076, -224, 13264, -2544
1707614021128, 939087, -16, 11264, -896
1707614021135, 939098, 960, 9808, 416
1707614021147, 939109, 1328, 9696, 1296
1707614021147, 939120, 2320, 9376, 2480
1707614021162, 939131, 3152, 9200, 3328
1707614021181, 939142, 3360, 9328, 3840
1707614021194, 939153, 3408, 9328, 3776
1707614021198, 939164, 3312, 9072, 2896
1707614021216, 939175, 2560, 9104, 1248
1707614021228, 939186, 1888, 9632, 256
1707614021235, 939197, 1424, 9584, 160
1707614021249, 939208, 1152, 8864, 608
1707614021261, 939219, 832, 7936, 960
1707614021265, 939230, 448, 7152, 1056
1707614021281, 939241, 48, 6672, 848
1707614021294, 939252, -32, 6384, 1136
1707614021299, 939263, -176, 6224, 1296
1707614021315, 939274, -208, 6224, 1552
1707614021327, 939285, -384, 6192, 1952
1707614021335, 939296, -160, 6128, 2368
1707614021349, 939307, -96, 6080, 2752
1707614021360, 939318, -16, 5936, 3216
1707614021365, 939329, 64, 6048, 3328
1707614021382, 939340, 48, 6080, 3568
1707614021382, 939351, 256, 6080, 3936
1707614021398, 939362, 144, 5984, 4112
1707614021414, 939373, 704, 5904, 4416
1707614021415, 939384, 848, 5936, 4768
1707614021435, 939395, 896, 5872, 5104
1707614021447, 939406, 1312, 5760, 5264
1707614021449, 939417, 1472, 5600, 5376
1707614021465, 939428, 1632, 5440, 5504
1707614021481, 939439, 1712, 5360, 5584
1707614021481, 939450, 1680, 5344, 5808
1707614021498, 939461, 1808, 5360, 6096
1707614021513, 939472, 1888, 5456, 6160
1707614021515, 939483, 1824, 5568, 6192
1707614021535, 939494, 1872, 5776, 6176
1707614021547, 939505, 1952, 6016, 5824
1707614021549, 939516, 1632, 6176, 5568
1707614021565, 939527, 1504, 6304, 5472
1707614021580, 939538, 1440, 6400, 5440
1707614021582, 939549, 1440, 6448, 5488
1707614021598, 939560, 1408, 6400, 5568
1707614021613, 939571, 1296, 6256, 5584
1707614021615, 939582, 1248, 6240, 5616
1707614021632, 939593, 1248, 6160, 5696
1707614021636, 939604, 1232, 6048, 5808
1707614021648, 939615, 1280, 5872, 5456
1707614021665, 939626, 1280, 5872, 5184
1707614021678, 939637, 1248, 5952, 5040
1707614021681, 939648, 1200, 5984, 4736
1707614021699, 939659, 1312, 6048, 4624
1707614021712, 939670, 1376, 6064, 4752
1707614021715, 939681, 1552, 5984, 4896
1707614021732, 939692, 1472, 5872, 5184
1707614021745, 939703, 1456, 5760, 5232
1707614021749, 939714, 1552, 5856, 5360
1707614021764, 939725, 1392, 5920, 5600
1707614021778, 939736, 1360, 5872, 5568
1707614021782, 939747, 1472, 6016, 5200
1707614021798, 939758, 1504, 5920, 5104
1707614021811, 939769, 1632, 5872, 5088
1707614021815, 939780, 1616, 5792, 5152
1707614021831, 939791, 1680, 5856, 5328
1707614021843, 939802, 1648, 5712, 5504
1707614021848, 939813, 1696, 5632, 5504
1707614021865, 939824, 1856, 5584, 5456
1707614021876, 939835, 1856, 5664, 5616
