Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614167043, 1085013, 7248, 3376, 1408
1707614167059, 1085024, 7088, 3360, 1072
1707614167074, 1085035, 6912, 3744, 1520
1707614167076, 1085046, 6784, 4000, 1536
1707614167092, 1085057, 6464, 4048, 1712
1707614167107, 1085068, 5824, 4512, 1456
1707614167110, 1085079, 6608, 4336, 1728
1707614167126, 1085090, 6544, 4192, 1552
1707614167141, 1085101, 6544, 4304, 1680
1707614167144, 1085112, 6416, 4288, 1328
1707614167159, 1085123, 6368, 3968, 1264
1707614167173, 1085134, 7008, 4576, 800
1707614167175, 1085145, 6832, 4160, 480
1707614167192, 1085156, 6416, 3712, 272
1707614167207, 1085167, 7264, 4304, -464
1707614167209, 1085178, 7360, 3968, -480
1707614167226, 1085189, 6704, 3472, -448
1707614167239, 1085200, 7440, 4000, -768
1707614167242, 1085211, 7472, 3760, -624
1707614167259, 1085222, 6384, 3424, -448
1707614167273, 1085233, 7376, 4032, -736
1707614167275, 1085244, 6896, 3936, -560
1707614167292, 1085255, 6864, 3952, -368
1707614167305, 1085266, 6880, 4048, -256
1707614167309, 1085277, 6736, 4128, -304
1707614167326, 1085288, 6464, 3904, -80
1707614167338, 1085299, 7104, 4032, -144
1707614167343, 1085310, 6800, 3856, 208
1707614167359, 1085321, 6768, 3664, 208
1707614167371, 1085332, 7008, 3728, 224
1707614167376, 1085343, 7072, 3776, 240
1707614167393, 1085354, 7264, 4064, 128
1707614167404, 1085365, 7520, 4128, 16
1707614167409, 1085376, 7792, 4288, -144
1707614167426, 1085387, 7856, 4272, -256
1707614167437, 1085398, 7872, 4288, -448
1707614167443, 1085409, 7584, 4336, -576
1707614167460, 1085420, 7104, 4624, -960
1707614167460, 1085431, 6880, 4816, -880
1707614167477, 1085442, 6080, 5200, -832
1707614167492, 1085453, 5712, 5600, -480
1707614167503, 1085464, 5584, 6144, -656
1707614167509, 1085475, 4736, 6288, -496
1707614167526, 1085486, 4016, 6384, -288
1707614167536, 1085497, 2608, 6752, 144
1707614167543, 1085508, 1392, 7136, 880
1707614167557, 1085519, 256, 7632, 1712
1707614167569, 1085530, -1072, 8144, 3024
1707614167576, 1085541, -2080, 8768, 3936
1707614167591, 1085552, -3296, 9424, 4992
1707614167592, 1085563, -4320, 10176, 6272
1707614167609, 1085574, -4704, 11312, 7408
1707614167625, 1085585, -6832, 12192, 8176
1707614167626, 1085596, -7568, 12704, 9024
1707614167642, 1085607, -7696, 13168, 10176
1707614167658, 1085618, -8720, 13568, 11152
1707614167660, 1085629, -9104, 13952, 12096
1707614167676, 1085640, -9344, 14144, 13296
1707614167691, 1085651, -9360, 13744, 13696
1707614167693, 1085662, -9328, 13040, 13936
1707614167710, 1085673, -9120, 11808, 13584
1707614167724, 1085684, -8784, 10496, 12800
1707614167726, 1085695, -8528, 9040, 11936
1707614167743, 1085706, -8352, 7552, 11232
1707614167756, 1085717, -8272, 5504, 10512
1707614167760, 1085728, -8464, 3824, 10384
1707614167776, 1085739, -8928, 1712, 10384
1707614167790, 1085750, -9040, -2000, 10224
1707614167793, 1085761, -8576, -4704, 9808
1707614167810, 1085772, -8080, -7248, 8960
1707614167822, 1085783, -6768, -10512, 7776
1707614167825, 1085794, -5888, -11600, 6576
1707614167842, 1085805, -6048, -10640, 5024
1707614167855, 1085816, -7024, -9216, 3424
1707614167860, 1085827, -7296, -9296, 2512
1707614167875, 1085838, -8624, -10656, 1440
1707614167888, 1085849, -7920, -13936, 864
1707614167892, 1085860, -7696, -18096, -256
1707614167910, 1085871, -3024, -20032, -1408
1707614167910, 1085882, -496, -21248, -2368
1707614167927, 1085893, 2960, -21520, -2960
1707614167943, 1085904, 4848, -21200, -2720
1707614167955, 1085915, 5952, -19984, -2368
1707614167959, 1085926, 6416, -17136, -1520
1707614167976, 1085937, 5456, -14224, -720
1707614167976, 1085948, 4000, -10800, 240
1707614167993, 1085959, 2480, -7712, 1584
1707614168009, 1085970, 2096, -5168, 2560
1707614168020, 1085981, 1360, -4960, 3024
1707614168027, 1085992, 1712, -5520, 3088
1707614168042, 1086003, 1792, -6624, 2160
1707614168053, 1086014, 3104, -7104, 1232
1707614168060, 1086025, 3728, -7408, 256
1707614168076, 1086036, 3904, -7056, -672
1707614168086, 1086047, 3760, -6704, -704
1707614168092, 1086058, 3440, -6672, -432
1707614168108, 1086069, 3328, -6912, 240
1707614168109, 1086080, 3392, -7328, 496
1707614168126, 1086091, 3888, -7776, 624
1707614168141, 1086102, 3968, -7984, 736
1707614168142, 1086113, 4000, -8320, 256
1707614168160, 1086124, 4576, -8448, -64
1707614168175, 1086135, 4704, -8624, -304
1707614168176, 1086146, 4960, -8720, -400
1707614168193, 1086157, 4864, -8928, -240
1707614168208, 1086168, 4864, -8960, 32
1707614168210, 1086179, 4656, -8848, 672
1707614168226, 1086190, 4432, -8480, 944
1707614168240, 1086201, 4496, -8048, 1264
1707614168244, 1086212, 4496, -7632, 1488
1707614168260, 1086223, 4496, -7392, 1744
1707614168273, 1086234, 4240, -7456, 1824
1707614168276, 1086245, 4096, -7680, 1840
1707614168292, 1086256, 4112, -8048, 1760
1707614168306, 1086267, 3872, -8336, 1776
1707614168309, 1086278, 3824, -8336, 1856
1707614168326, 1086289, 4272, -7648, 1840
1707614168339, 1086300, 4528, -7056, 1920
1707614168343, 1086311, 4512, -6880, 2112
1707614168360, 1086322, 4288, -7104, 2064
1707614168373, 1086333, 4368, -7472, 2160
1707614168376, 1086344, 3872, -7872, 2032
