Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614425997, 1343964, 6640, 2032, -4000
1707614426010, 1343975, 6640, 1984, -3904
1707614426015, 1343986, 6608, 1968, -3824
1707614426031, 1343997, 6736, 1952, -3920
1707614426043, 1344008, 6832, 1872, -4016
1707614426048, 1344019, 6816, 1808, -4176
1707614426064, 1344030, 6976, 1808, -4352
1707614426077, 1344041, 7072, 1744, -4432
1707614426080, 1344052, 7088, 1728, -4432
1707614426097, 1344063, 7072, 1632, -4240
1707614426109, 1344074, 7040, 1680, -3952
1707614426114, 1344085, 7008, 1808, -3920
1707614426131, 1344096, 7024, 1856, -3728
1707614426142, 1344107, 6976, 1952, -3488
1707614426148, 1344118, 7088, 2016, -3472
1707614426164, 1344129, 6960, 2000, -3488
1707614426175, 1344140, 7040, 1936, -3456
1707614426181, 1344151, 7072, 1840, -3472
1707614426197, 1344162, 7088, 1856, -3504
1707614426208, 1344173, 7072, 1920, -3600
1707614426214, 1344184, 7184, 1968, -3552
1707614426230, 1344195, 7136, 2016, -3696
1707614426241, 1344206, 7216, 2080, -3584
1707614426248, 1344217, 7328, 2128, -3664
1707614426263, 1344228, 7248, 2272, -3728
1707614426265, 1344239, 7456, 2416, -3760
1707614426281, 1344250, 7664, 2656, -3792
1707614426296, 1344261, 7792, 2864, -4288
1707614426298, 1344272, 8080, 2896, -4752
1707614426314, 1344283, 8112, 2928, -4992
1707614426329, 1344294, 8176, 2848, -5264
1707614426331, 1344305, 7792, 2816, -5216
1707614426348, 1344316, 7728, 2752, -4912
1707614426362, 1344327, 7520, 2592, -4416
1707614426365, 1344338, 7280, 2544, -3984
1707614426381, 1344349, 7104, 2544, -3632
1707614426395, 1344360, 6928, 2368, -3184
1707614426397, 1344371, 6928, 2272, -2672
1707614426415, 1344382, 6528, 2016, -2240
1707614426428, 1344393, 6384, 1856, -1968
1707614426431, 1344404, 6368, 1488, -1408
1707614426448, 1344415, 5856, 1280, -960
1707614426461, 1344426, 5712, 1104, -464
1707614426464, 1344437, 5296, 880, 128
1707614426481, 1344448, 5008, 848, 384
1707614426493, 1344459, 4592, 800, 976
1707614426498, 1344470, 4192, 592, 1840
1707614426514, 1344481, 3616, 448, 2432
1707614426527, 1344492, 2992, 176, 3328
1707614426531, 1344503, 2320, 0, 4112
1707614426547, 1344514, 2384, -368, 5008
1707614426560, 1344525, 880, -896, 5824
1707614426564, 1344536, 400, -1584, 6576
1707614426581, 1344547, 240, -2688, 7552
1707614426593, 1344558, -816, -3456, 8192
1707614426598, 1344569, -1584, -4112, 8720
1707614426614, 1344580, -2432, -4832, 9472
1707614426614, 1344591, -3152, -5488, 9808
1707614426631, 1344602, -3856, -6000, 9552
1707614426647, 1344613, -4528, -6208, 7824
1707614426659, 1344624, -4704, -6192, 5520
1707614426664, 1344635, -6112, -6224, 2800
1707614426681, 1344646, -6400, -6224, -640
1707614426692, 1344657, -6288, -6192, -6272
1707614426698, 1344668, -4688, -6128, -11008
1707614426714, 1344679, -3040, -6032, -15312
1707614426725, 1344690, -992, -5248, -18800
1707614426731, 1344701, 64, -4096, -20352
1707614426747, 1344712, 1040, -2848, -21440
1707614426758, 1344723, 2432, -1952, -22768
1707614426764, 1344734, 3808, -1904, -24080
1707614426780, 1344745, 5200, -2160, -25232
1707614426781, 1344756, 6208, -2064, -27792
1707614426798, 1344767, 6464, -752, -29280
1707614426813, 1344778, 7040, -336, -30528
1707614426815, 1344789, 7520, 848, -30816
1707614426831, 1344800, 7312, 2656, -29680
1707614426846, 1344811, 6976, 3536, -27920
1707614426848, 1344822, 6720, 3856, -25920
1707614426864, 1344833, 6256, 3664, -23808
1707614426879, 1344844, 6080, 2912, -22208
1707614426881, 1344855, 6016, 1696, -20800
1707614426897, 1344866, 5888, 32, -18736
1707614426912, 1344877, 6032, -1360, -17552
1707614426914, 1344888, 6512, -2816, -16480
1707614426931, 1344899, 6848, -4000, -15104
1707614426945, 1344910, 6896, -5104, -13936
1707614426947, 1344921, 6688, -5728, -12704
1707614426965, 1344932, 6400, -6032, -11552
1707614426978, 1344943, 5824, -6144, -10192
