Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707613014096, 145470, -16, 5152, 6320
1707613014113, 145481, 80, 5136, 6432
1707613014126, 145492, 48, 5104, 6432
1707613014130, 145503, 64, 5072, 6368
1707613014147, 145514, 128, 5024, 6512
1707613014160, 145525, 112, 4848, 6624
1707613014163, 145536, 144, 4816, 6704
1707613014179, 145547, 176, 4672, 6752
1707613014192, 145558, 320, 4576, 6704
1707613014196, 145569, 368, 4416, 6816
1707613014213, 145580, 432, 4208, 6928
1707613014226, 145591, 464, 4176, 6928
1707613014230, 145602, 448, 4112, 6944
1707613014247, 145613, 464, 4016, 6928
1707613014259, 145624, 464, 4000, 7120
1707613014263, 145635, 496, 4080, 7104
1707613014280, 145646, 496, 4048, 6992
1707613014292, 145657, 704, 4080, 6976
1707613014296, 145668, 512, 4112, 6864
1707613014313, 145679, 528, 4048, 6912
1707613014325, 145690, 512, 4096, 6816
1707613014329, 145701, 464, 4016, 6864
1707613014347, 145712, 256, 4032, 6816
1707613014357, 145723, 208, 4128, 6736
1707613014363, 145734, 128, 4272, 6704
1707613014379, 145745, 48, 4496, 6768
1707613014390, 145756, -32, 4640, 6928
1707613014396, 145767, -16, 4704, 6928
1707613014412, 145778, -64, 4624, 7008
1707613014423, 145789, -160, 4416, 7200
1707613014430, 145800, -336, 4144, 7344
1707613014445, 145811, -176, 4016, 7456
1707613014456, 145822, -80, 4032, 7488
1707613014463, 145833, 160, 4000, 7456
1707613014479, 145844, 304, 4032, 7488
1707613014480, 145855, 432, 4128, 7568
1707613014496, 145866, 672, 4176, 7552
1707613014511, 145877, 704, 4064, 7600
1707613014522, 145888, 1184, 4032, 7600
1707613014529, 145899, 1728, 4112, 7584
1707613014545, 145910, 1984, 4576, 7248
1707613014547, 145921, 2768, 2496, 9264
1707613014563, 145932, 3040, 2576, 10032
1707613014578, 145943, 3296, 2544, 10496
1707613014580, 145954, 2192, 2224, 10464
1707613014596, 145965, 1888, 2256, 9904
1707613014611, 145976, 1648, 2704, 9264
1707613014613, 145987, 2512, 3232, 8528
1707613014630, 145998, 3616, 3664, 8320
1707613014643, 146009, 5184, 3936, 9216
1707613014647, 146020, 5632, 3856, 11264
1707613014663, 146031, 9680, 3888, 14144
1707613014676, 146042, 11616, 4448, 17168
1707613014679, 146053, 12336, 6176, 18064
1707613014696, 146064, 15696, 7264, 16784
1707613014710, 146075, 16976, 7904, 13904
1707613014713, 146086, 18304, 8448, 9552
1707613014729, 146097, 19392, 8752, 6304
1707613014743, 146108, 20688, 9440, 2832
1707613014746, 146119, 20928, 11552, -2016
1707613014763, 146130, 19696, 13328, -6128
1707613014776, 146141, 17968, 16544, -10416
1707613014779, 146152, 12432, 17632, -15472
1707613014796, 146163, 11088, 17904, -17584
1707613014809, 146174, 3216, 16896, -17600
1707613014813, 146185, 1616, 15984, -16368
1707613014829, 146196, 1328, 15488, -14848
1707613014842, 146207, 112, 15520, -13936
1707613014847, 146218, -832, 16352, -13584
1707613014863, 146229, -2752, 16896, -13104
1707613014875, 146240, -3552, 16352, -12160
1707613014880, 146251, -3408, 14160, -10720
1707613014896, 146262, -2224, 10912, -8512
1707613014908, 146273, -1936, 9168, -7248
1707613014913, 146284, -160, 8400, -5888
1707613014930, 146295, -48, 8128, -4416
1707613014940, 146306, 0, 8176, -3760
1707613014947, 146317, -336, 8128, -2944
1707613014962, 146328, -336, 8336, -2240
1707613014974, 146339, -960, 8224, -2384
1707613014979, 146350, -256, 7504, -512
1707613014996, 146361, -544, 7312, -320
1707613015006, 146372, -912, 7840, -432
1707613015013, 146383, -1344, 8320, -384
1707613015029, 146394, -1632, 8752, -352
1707613015039, 146405, -1936, 9376, 192
1707613015047, 146416, -1920, 9520, 80
1707613015062, 146427, -2032, 9184, 96
1707613015072, 146438, -1904, 8752, -64
1707613015079, 146449, -1888, 7984, -224
1707613015095, 146460, -416, 6880, 320
1707613015106, 146471, -1840, 7472, 1008
1707613015113, 146482, -1968, 8080, -64
1707613015128, 146493, -2672, 8320, -400
1707613015139, 146504, -2896, 8496, -576
1707613015146, 146515, -2800, 8544, -224
1707613015161, 146526, -2624, 8224, -48
1707613015163, 146537, -2384, 7984, 224
1707613015179, 146548, -2128, 7552, 368
1707613015194, 146559, -2256, 7152, 624
1707613015196, 146570, -1936, 7104, 592
1707613015213, 146581, -1904, 7264, 464
1707613015227, 146592, -1984, 7472, 336
1707613015230, 146603, -2192, 7664, 240
1707613015246, 146614, -2160, 7616, 224
1707613015260, 146625, -2128, 7616, 544
1707613015263, 146636, -2064, 7536, 480
