Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614367468, 1285433, 7472, 672, -2304
1707614367480, 1285444, 7504, 624, -2224
1707614367485, 1285455, 7488, 640, -2352
1707614367501, 1285466, 7376, 720, -2224
1707614367513, 1285477, 7328, 704, -2320
1707614367519, 1285488, 7344, 656, -2256
1707614367534, 1285499, 7392, 736, -2624
1707614367545, 1285510, 7408, 704, -2688
1707614367550, 1285521, 7376, 736, -2768
1707614367568, 1285532, 7504, 720, -2784
1707614367579, 1285543, 7440, 672, -2816
1707614367584, 1285554, 7440, 688, -2848
1707614367599, 1285565, 7424, 672, -2816
1707614367612, 1285576, 7408, 704, -2768
1707614367617, 1285587, 7408, 704, -2784
1707614367633, 1285598, 7488, 720, -2864
1707614367644, 1285609, 7504, 768, -2784
1707614367651, 1285620, 7456, 720, -2672
1707614367666, 1285631, 7472, 736, -2576
1707614367677, 1285642, 7360, 816, -2720
1707614367684, 1285653, 7472, 816, -2688
1707614367699, 1285664, 7456, 832, -2576
1707614367710, 1285675, 7520, 944, -2560
1707614367716, 1285686, 7440, 912, -2528
1707614367733, 1285697, 7440, 896, -2544
1707614367744, 1285708, 7392, 944, -2768
1707614367750, 1285719, 7472, 896, -2640
1707614367765, 1285730, 7456, 912, -2768
1707614367777, 1285741, 7456, 1088, -2816
1707614367783, 1285752, 7360, 1152, -2800
1707614367799, 1285763, 7488, 1216, -2896
1707614367800, 1285774, 7472, 1264, -2608
1707614367817, 1285785, 7472, 1280, -2848
1707614367832, 1285796, 7632, 1360, -2816
1707614367834, 1285807, 7696, 1312, -2688
1707614367850, 1285818, 7920, 1248, -2816
1707614367865, 1285829, 8224, 1312, -2864
1707614367867, 1285840, 8592, 1280, -2896
1707614367884, 1285851, 9152, 1024, -3072
1707614367898, 1285862, 9456, 720, -3360
1707614367900, 1285873, 9744, 416, -3584
1707614367917, 1285884, 9888, -16, -3584
1707614367931, 1285895, 9984, -352, -3968
1707614367934, 1285906, 10016, -720, -3968
1707614367950, 1285917, 9952, -1088, -4016
1707614367963, 1285928, 9968, -1584, -3936
1707614367968, 1285939, 9488, -2080, -3856
1707614367984, 1285950, 9376, -2576, -3792
1707614367997, 1285961, 9040, -3168, -3536
1707614368000, 1285972, 8784, -3520, -3296
1707614368017, 1285983, 8544, -3840, -2976
1707614368030, 1285994, 8256, -3984, -2640
1707614368033, 1286005, 8192, -3936, -2224
1707614368050, 1286016, 7728, -3872, -1888
1707614368063, 1286027, 7440, -3792, -1408
1707614368067, 1286038, 7280, -3568, -912
1707614368083, 1286049, 6608, -3152, -496
1707614368096, 1286060, 6160, -2768, -128
1707614368100, 1286071, 5696, -2032, 112
1707614368117, 1286082, 5232, -1504, 320
1707614368129, 1286093, 4960, -1008, 384
1707614368134, 1286104, 4576, -448, 368
1707614368150, 1286115, 4304, -112, 272
1707614368161, 1286126, 4000, 144, 192
1707614368168, 1286137, 3744, 384, -112
1707614368184, 1286148, 3712, 848, -336
1707614368195, 1286159, 2880, 1264, -592
1707614368200, 1286170, 2496, 1712, -720
1707614368217, 1286181, 2256, 2128, -864
1707614368228, 1286192, 1776, 2368, -960
1707614368234, 1286203, 1456, 2560, -1120
1707614368250, 1286214, 1088, 2912, -1408
1707614368251, 1286225, 688, 3200, -1584
1707614368268, 1286236, 320, 3568, -1760
1707614368283, 1286247, -64, 4096, -1952
1707614368284, 1286258, -144, 4608, -2112
1707614368300, 1286269, -480, 5008, -2256
1707614368315, 1286280, -672, 5344, -2048
1707614368316, 1286291, -672, 5632, -2592
1707614368334, 1286302, -1088, 5952, -2912
1707614368349, 1286313, -1472, 6576, -3456
1707614368350, 1286324, -1376, 7744, -4304
1707614368367, 1286335, -1776, 8368, -5008
1707614368381, 1286346, -1920, 8992, -5728
1707614368383, 1286357, -1792, 9456, -6448
1707614368401, 1286368, -1968, 9872, -7056
1707614368415, 1286379, -2080, 10432, -7728
1707614368417, 1286390, -2176, 11040, -8448
1707614368434, 1286401, -2144, 11520, -9248
1707614368448, 1286412, -2176, 11904, -9936
1707614368450, 1286423, -1952, 12064, -10416
1707614368468, 1286434, -1984, 11792, -10592
1707614368481, 1286445, -1312, 11200, -10640
1707614368483, 1286456, -1168, 10512, -10384
1707614368500, 1286467, -1056, 9616, -10112
1707614368514, 1286478, -896, 8592, -9984
1707614368517, 1286489, -576, 7488, -9744
1707614368534, 1286500, -192, 5696, -9424
1707614368546, 1286511, -192, 4384, -9152
1707614368550, 1286522, 592, 3280, -8816
1707614368567, 1286533, 864, 2096, -8368
1707614368580, 1286544, 880, 512, -8032
1707614368583, 1286555, 1424, -480, -7552
1707614368600, 1286566, 1760, -1408, -7008
1707614368612, 1286577, 1776, -2656, -6208
1707614368617, 1286588, 2576, -3680, -5712
1707614368633, 1286599, 2880, -4320, -5232
1707614368646, 1286610, 3072, -4688, -5488
1707614368650, 1286621, 3344, -4944, -5680
