Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614202870, 1120840, 5360, -1248, -5504
1707614202887, 1120851, 5472, -1248, -5488
1707614202901, 1120862, 5376, -1168, -5632
1707614202908, 1120873, 5424, -1248, -5632
1707614202921, 1120884, 5440, -1344, -5520
1707614202934, 1120895, 5440, -1360, -5520
1707614202937, 1120906, 5440, -1344, -5536
1707614202954, 1120917, 5424, -1264, -5536
1707614202967, 1120928, 5504, -1264, -5504
1707614202970, 1120939, 5456, -1280, -5488
1707614202987, 1120950, 5440, -1296, -5520
1707614203000, 1120961, 5424, -1216, -5552
1707614203008, 1120972, 5392, -1184, -5568
1707614203022, 1120983, 5424, -1296, -5600
1707614203033, 1120994, 5488, -1168, -5536
1707614203037, 1121005, 5456, -1216, -5520
1707614203054, 1121016, 5472, -1248, -5408
1707614203066, 1121027, 5472, -1232, -5296
1707614203071, 1121038, 5360, -1216, -5360
1707614203088, 1121049, 5456, -1184, -5344
1707614203099, 1121060, 5392, -1184, -5488
1707614203108, 1121071, 5568, -1152, -5440
1707614203121, 1121082, 5488, -1216, -5488
1707614203132, 1121093, 5520, -1200, -5424
1707614203138, 1121104, 5584, -1248, -5488
1707614203154, 1121115, 5472, -1296, -5472
1707614203165, 1121126, 5536, -1280, -5488
1707614203170, 1121137, 5488, -1328, -5744
1707614203187, 1121148, 5536, -1312, -5504
1707614203198, 1121159, 5520, -1296, -5488
1707614203208, 1121170, 5456, -1232, -5616
1707614203220, 1121181, 5440, -1248, -5616
1707614203230, 1121192, 5488, -1296, -5616
1707614203238, 1121203, 5424, -1296, -5696
1707614203253, 1121214, 5296, -1376, -5792
1707614203264, 1121225, 5472, -1392, -5936
1707614203271, 1121236, 5424, -1360, -6112
1707614203286, 1121247, 5280, -1216, -6480
1707614203288, 1121258, 5296, -992, -6960
1707614203304, 1121269, 5376, -768, -7616
1707614203319, 1121280, 5328, -656, -7840
1707614203330, 1121291, 5424, -544, -8496
1707614203337, 1121302, 5232, -336, -8896
1707614203351, 1121313, 5200, -112, -9392
1707614203354, 1121324, 5216, 496, -9952
1707614203370, 1121335, 4544, 1024, -10112
1707614203385, 1121346, 4336, 1344, -10096
1707614203387, 1121357, 4064, 1504, -9904
1707614203404, 1121368, 3904, 1520, -9200
1707614203417, 1121379, 3648, 1648, -8608
1707614203420, 1121390, 3344, 1872, -7968
1707614203437, 1121401, 2896, 2128, -7376
1707614203450, 1121412, 2400, 2368, -6624
1707614203455, 1121423, 2000, 2576, -5200
1707614203471, 1121434, 1872, 2368, -4368
1707614203484, 1121445, 1472, 2064, -3456
1707614203488, 1121456, 1424, 1456, -2896
1707614203505, 1121467, 1360, 624, -2144
1707614203517, 1121478, 1600, -80, -1696
1707614203521, 1121489, 1856, -960, -1264
1707614203538, 1121500, 2096, -1584, -736
1707614203550, 1121511, 2160, -1584, -208
1707614203554, 1121522, 1968, -1472, 240
1707614203571, 1121533, 1760, -1520, 848
1707614203583, 1121544, 1776, -1968, 1168
1707614203587, 1121555, 1520, -2864, 1184
1707614203604, 1121566, 1744, -3776, 1120
1707614203616, 1121577, 1856, -4512, 800
1707614203620, 1121588, 2128, -4832, 480
1707614203637, 1121599, 2256, -4928, 192
1707614203649, 1121610, 2368, -5312, -192
1707614203654, 1121621, 2496, -5696, -320
1707614203671, 1121632, 2688, -6144, -512
1707614203681, 1121643, 2928, -6704, -416
1707614203688, 1121654, 3216, -7024, -432
1707614203703, 1121665, 3264, -7280, -304
1707614203715, 1121676, 3088, -7488, -272
1707614203721, 1121687, 2960, -7968, -592
1707614203736, 1121698, 3120, -8528, -1248
1707614203747, 1121709, 3456, -9280, -2368
1707614203754, 1121720, 3408, -10192, -3792
1707614203771, 1121731, 4320, -10656, -4720
1707614203781, 1121742, 4496, -11024, -5472
1707614203787, 1121753, 4640, -11472, -6064
1707614203803, 1121764, 4688, -11744, -6048
1707614203814, 1121775, 4672, -11952, -6224
1707614203820, 1121786, 4672, -11808, -6560
1707614203837, 1121797, 4640, -11712, -7008
1707614203837, 1121808, 4592, -11568, -7216
1707614203854, 1121819, 4512, -11536, -6800
1707614203869, 1121830, 4432, -11568, -6784
1707614203871, 1121841, 4048, -11440, -6336
1707614203888, 1121852, 3712, -11248, -6112
1707614203902, 1121863, 3296, -10752, -6224
1707614203908, 1121874, 2944, -10512, -6272
1707614203921, 1121885, 2656, -10208, -6688
1707614203936, 1121896, 2480, -10192, -7200
1707614203938, 1121907, 2272, -10272, -7600
1707614203954, 1121918, 2096, -10352, -7920
1707614203968, 1121929, 1824, -9936, -8144
1707614203971, 1121940, 1824, -9456, -8704
1707614203988, 1121951, 1072, -9072, -8864
1707614204001, 1121962, 688, -8912, -9200
1707614204008, 1121973, 704, -8608, -9584
1707614204021, 1121984, 112, -8640, -9920
1707614204034, 1121995, 128, -8816, -10336
1707614204037, 1122006, 64, -8944, -10592
1707614204054, 1122017, -16, -8736, -10576
1707614204067, 1122028, -208, -8384, -10544
1707614204071, 1122039, -432, -7952, -10544
1707614204088, 1122050, -592, -7680, -10320
1707614204100, 1122061, -752, -7376, -10128
1707614204109, 1122072, -800, -7024, -9696
1707614204122, 1122083, -864, -6720, -9456
1707614204132, 1122094, -928, -6496, -9104
