Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614267756, 1185718, 2656, 4032, -6448
1707614267763, 1185729, 2624, 4048, -6640
1707614267778, 1185740, 2640, 4080, -6416
1707614267780, 1185751, 2608, 4016, -6400
1707614267796, 1185762, 2688, 3952, -6320
1707614267811, 1185773, 2736, 3936, -6288
1707614267813, 1185784, 2640, 3968, -6240
1707614267829, 1185795, 2640, 3984, -6192
1707614267844, 1185806, 2528, 4000, -6080
1707614267847, 1185817, 2560, 3952, -6144
1707614267863, 1185828, 2560, 4000, -6064
1707614267876, 1185839, 2592, 3824, -6192
1707614267879, 1185850, 2608, 3872, -6080
1707614267897, 1185861, 2656, 3824, -6016
1707614267909, 1185872, 2688, 3840, -6240
1707614267913, 1185883, 2752, 3872, -6080
1707614267930, 1185894, 2656, 3824, -6176
1707614267942, 1185905, 2720, 3840, -6240
1707614267946, 1185916, 2816, 3648, -6288
1707614267963, 1185927, 2736, 3968, -6384
1707614267975, 1185938, 2624, 4032, -6448
1707614267980, 1185949, 2592, 4112, -6608
1707614267997, 1185960, 2640, 4208, -6592
1707614268008, 1185971, 2608, 4176, -6576
1707614268013, 1185982, 2624, 4080, -6368
1707614268030, 1185993, 2592, 4032, -6464
1707614268041, 1186004, 2672, 4048, -6512
1707614268046, 1186015, 2720, 4016, -6288
1707614268063, 1186026, 2560, 4064, -6512
1707614268075, 1186037, 2656, 4080, -6544
1707614268079, 1186048, 2672, 4064, -6496
1707614268096, 1186059, 2624, 4080, -6320
1707614268108, 1186070, 2800, 4032, -6432
1707614268113, 1186081, 2800, 4032, -6432
1707614268129, 1186092, 2784, 3904, -6432
1707614268141, 1186103, 2768, 3920, -6400
1707614268147, 1186114, 2800, 3920, -6464
1707614268162, 1186125, 2816, 3856, -6400
1707614268174, 1186136, 2640, 3872, -6448
1707614268180, 1186147, 2848, 3904, -6480
1707614268195, 1186158, 2832, 3872, -6464
1707614268207, 1186169, 2768, 3888, -6464
1707614268213, 1186180, 2800, 3968, -6496
1707614268228, 1186191, 2800, 3904, -6448
1707614268240, 1186202, 2752, 3984, -6544
1707614268247, 1186213, 2864, 3920, -6512
1707614268261, 1186224, 2896, 4000, -6496
1707614268272, 1186235, 2880, 4144, -6656
1707614268280, 1186246, 2976, 4192, -6544
1707614268295, 1186257, 3056, 4128, -6576
1707614268306, 1186268, 3216, 4080, -6816
1707614268313, 1186279, 3312, 4080, -6704
1707614268327, 1186290, 3712, 3984, -6752
1707614268331, 1186301, 3968, 3808, -6736
1707614268346, 1186312, 4048, 3424, -6784
1707614268361, 1186323, 4416, 2736, -6544
