Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614335178, 1253148, 5344, 2320, -5424
1707614335193, 1253159, 5232, 2352, -5504
1707614335207, 1253170, 5200, 2352, -5536
1707614335213, 1253181, 5120, 2320, -5776
1707614335227, 1253192, 5104, 2272, -5744
1707614335240, 1253203, 5056, 2272, -5744
1707614335243, 1253214, 5056, 2208, -5632
1707614335260, 1253225, 4864, 2304, -5776
1707614335273, 1253236, 4960, 2256, -5792
1707614335277, 1253247, 4928, 2288, -5728
1707614335294, 1253258, 4912, 2352, -5616
1707614335306, 1253269, 4848, 2320, -5648
1707614335313, 1253280, 4880, 2336, -5552
1707614335327, 1253291, 4864, 2208, -5360
1707614335339, 1253302, 4832, 2192, -5520
1707614335343, 1253313, 4896, 2112, -5600
1707614335361, 1253324, 4928, 2192, -5312
1707614335371, 1253335, 5024, 2160, -5600
1707614335378, 1253346, 4880, 2256, -5696
1707614335394, 1253357, 4880, 2384, -5776
1707614335404, 1253368, 4848, 2464, -5712
1707614335413, 1253379, 4816, 2368, -5664
1707614335427, 1253390, 4784, 2352, -5632
1707614335437, 1253401, 4768, 2304, -5648
1707614335444, 1253412, 4704, 2320, -5552
1707614335460, 1253423, 4832, 2288, -5504
1707614335461, 1253434, 4800, 2224, -5536
1707614335477, 1253445, 4912, 2256, -5504
1707614335493, 1253456, 4928, 2288, -5552
1707614335504, 1253467, 5024, 2320, -5728
1707614335513, 1253478, 5072, 2192, -5488
1707614335526, 1253489, 5104, 2048, -5520
1707614335537, 1253500, 5136, 1984, -5472
1707614335544, 1253511, 5168, 1888, -5392
1707614335559, 1253522, 5360, 1776, -5376
1707614335569, 1253533, 5520, 1744, -5488
1707614335577, 1253544, 5632, 1728, -5488
1707614335591, 1253555, 5648, 1776, -5584
1707614335594, 1253566, 5632, 1712, -5584
1707614335614, 1253577, 5568, 1856, -5632
1707614335625, 1253588, 5616, 1872, -5872
1707614335627, 1253599, 5360, 2144, -5936
1707614335644, 1253610, 5200, 2304, -6032
1707614335658, 1253621, 5024, 2736, -6288
1707614335661, 1253632, 4688, 2992, -6512
1707614335676, 1253643, 4480, 3344, -6640
1707614335691, 1253654, 4176, 3696, -6992
1707614335693, 1253665, 3984, 3888, -6944
1707614335711, 1253676, 3680, 3920, -6976
1707614335723, 1253687, 3376, 4048, -6928
1707614335728, 1253698, 3072, 4192, -6752
1707614335744, 1253709, 2880, 4384, -6544
1707614335756, 1253720, 2720, 4640, -6288
1707614335760, 1253731, 2784, 4896, -6304
1707614335777, 1253742, 2320, 4928, -6240
1707614335790, 1253753, 2288, 4768, -6176
1707614335795, 1253764, 2336, 4528, -6272
1707614335810, 1253775, 2288, 4384, -6560
1707614335823, 1253786, 2528, 4336, -7072
1707614335827, 1253797, 2800, 4320, -7680
1707614335844, 1253808, 3056, 4512, -8016
1707614335856, 1253819, 3056, 4640, -8272
1707614335861, 1253830, 2880, 4768, -8496
1707614335877, 1253841, 2672, 4992, -8608
1707614335889, 1253852, 2608, 5296, -8640
1707614335894, 1253863, 2752, 5344, -8832
1707614335911, 1253874, 2880, 5168, -8928
1707614335921, 1253885, 3488, 4736, -8832
1707614335927, 1253896, 4000, 4000, -8704
1707614335944, 1253907, 4304, 3072, -8576
1707614335955, 1253918, 5120, 2304, -8512
1707614335961, 1253929, 5408, 1456, -8336
1707614335976, 1253940, 5760, 496, -8000
1707614335987, 1253951, 6144, -304, -7216
1707614335993, 1253962, 6416, -1408, -6336
1707614336009, 1253973, 6592, -2720, -5552
1707614336014, 1253984, 6656, -3296, -4704
1707614336027, 1253995, 6784, -3712, -4240
1707614336043, 1254006, 6848, -3952, -3712
1707614336044, 1254017, 6768, -4128, -3648
1707614336061, 1254028, 6896, -4160, -3328
1707614336076, 1254039, 6864, -4144, -3008
1707614336086, 1254050, 6976, -4192, -2736
1707614336094, 1254061, 6560, -4240, -2384
1707614336109, 1254072, 6448, -4288, -2208
1707614336115, 1254083, 6032, -4080, -2048
1707614336127, 1254094, 5792, -3760, -1824
1707614336142, 1254105, 5344, -3424, -1744
1707614336144, 1254116, 5072, -2784, -1728
1707614336161, 1254127, 4896, -2176, -1856
1707614336174, 1254138, 4176, -2064, -2224
1707614336178, 1254149, 4992, -1520, -1840
1707614336194, 1254160, 5024, -2000, -1808
1707614336208, 1254171, 4288, -1952, -1760
1707614336215, 1254182, 4096, -1888, -1696
1707614336227, 1254193, 3712, -1552, -1328
1707614336240, 1254204, 3408, -1296, -1472
1707614336243, 1254215, 3360, -960, -1600
1707614336260, 1254226, 3312, -736, -1664
1707614336273, 1254237, 3232, -528, -1984
1707614336278, 1254248, 3200, -480, -2224
1707614336294, 1254259, 3216, -736, -2400
1707614336307, 1254270, 3312, -1120, -2240
1707614336315, 1254281, 3104, -1648, -2160
1707614336327, 1254292, 3424, -2128, -2400
1707614336327, 1254303, 3488, -2400, -3184
1707614336343, 1254314, 4032, -2208, -3808
1707614336361, 1254325, 3776, -1856, -4384
1707614336372, 1254336, 3536, -1952, -5088
1707614336377, 1254347, 3488, -2240, -5296
1707614336394, 1254358, 3408, -2192, -6480
1707614336405, 1254369, 3360, -1632, -8112
1707614336415, 1254380, 3376, -1088, -9264
1707614336427, 1254391, 3760, -688, -10192
1707614336438, 1254402, 3872, -400, -10544
1707614336444, 1254413, 4016, -64, -11184
1707614336460, 1254424, 3760, 112, -11584
1707614336472, 1254435, 3696, 400, -11952
1707614336478, 1254446, 3536, 864, -12112
1707614336494, 1254457, 3568, 1328, -12128
1707614336494, 1254468, 3408, 1984, -12208
1707614336515, 1254479, 3168, 3056, -12880
1707614336527, 1254490, 3280, 3792, -13296
1707614336538, 1254501, 3248, 4000, -13648
1707614336545, 1254512, 3376, 4128, -13040
1707614336560, 1254523, 3376, 3952, -12528
1707614336570, 1254534, 3104, 3808, -11440
1707614336578, 1254545, 2912, 3552, -10160
1707614336593, 1254556, 2640, 3168, -8576
1707614336594, 1254567, 2448, 3008, -7872
1707614336611, 1254578, 2352, 3072, -7472
1707614336626, 1254589, 2240, 2864, -7312
1707614336629, 1254600, 2176, 2800, -7664
1707614336644, 1254611, 2112, 2672, -7904
1707614336659, 1254622, 1856, 2416, -7760
1707614336661, 1254633, 1808, 2176, -7680
1707614336677, 1254644, 1280, 2016, -7040
1707614336692, 1254655, 1056, 1888, -6384
