Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614386242, 1304210, 7744, 1296, -1040
1707614386257, 1304221, 7728, 1328, -960
1707614386267, 1304232, 7744, 1264, -944
1707614386275, 1304243, 7648, 1312, -976
1707614386290, 1304254, 7776, 1264, -896
1707614386295, 1304265, 7792, 1312, -912
1707614386308, 1304276, 7744, 1328, -1056
1707614386323, 1304287, 7792, 1312, -1104
1707614386325, 1304298, 7856, 1232, -1056
1707614386341, 1304309, 7856, 1216, -944
1707614386356, 1304320, 7776, 1248, -1120
1707614386358, 1304331, 7888, 1264, -1088
1707614386374, 1304342, 7872, 1248, -1104
1707614386389, 1304353, 7792, 1248, -1168
1707614386395, 1304364, 7840, 1280, -1168
1707614386407, 1304375, 7808, 1280, -1200
1707614386422, 1304386, 7744, 1280, -1376
1707614386425, 1304397, 7824, 1264, -1104
1707614386441, 1304408, 7792, 1264, -1136
1707614386455, 1304419, 7696, 1280, -1264
1707614386458, 1304430, 7744, 1376, -1248
1707614386475, 1304441, 7744, 1456, -1232
1707614386488, 1304452, 7776, 1616, -1280
1707614386495, 1304463, 7744, 1840, -1328
1707614386508, 1304474, 7632, 1968, -1504
1707614386521, 1304485, 7648, 2128, -1536
1707614386525, 1304496, 7648, 2368, -1808
1707614386541, 1304507, 7728, 2528, -1968
1707614386554, 1304518, 7744, 2544, -2192
1707614386558, 1304529, 7776, 2592, -2208
1707614386574, 1304540, 7808, 2720, -2320
1707614386587, 1304551, 7616, 3216, -2448
1707614386595, 1304562, 7616, 3808, -2512
1707614386608, 1304573, 7712, 3104, -2528
1707614386620, 1304584, 8032, 1760, -1984
1707614386625, 1304595, 7808, 320, -944
1707614386641, 1304606, 7744, -1664, 640
1707614386653, 1304617, 7168, -3536, 2032
1707614386658, 1304628, 7536, -5792, 3168
1707614386675, 1304639, 9008, -8784, 4496
1707614386686, 1304650, 9840, -9936, 5104
1707614386696, 1304661, 9280, -9168, 5424
1707614386708, 1304672, 8160, -6256, 4928
1707614386719, 1304683, 7824, -2976, 4464
1707614386725, 1304694, 4752, 464, 3792
1707614386741, 1304705, 3888, 4416, 2256
1707614386741, 1304716, 3616, 10960, -144
1707614386758, 1304727, 3840, 16240, -3488
1707614386774, 1304738, 5184, 20144, -7024
1707614386784, 1304749, 4864, 18672, -8928
1707614386796, 1304760, 3984, 13536, -7408
1707614386806, 1304771, 3536, 7424, -5104
1707614386817, 1304782, 3520, -64, -1872
1707614386825, 1304793, 5536, -6832, 448
1707614386840, 1304804, 8096, -12096, 2128
1707614386851, 1304815, 10176, -14912, 4416
1707614386858, 1304826, 10400, -14000, 5792
1707614386873, 1304837, 9488, -10960, 6352
1707614386875, 1304848, 8496, -7424, 6816
1707614386891, 1304859, 8304, -2976, 6400
1707614386906, 1304870, 6608, 1280, 4912
1707614386908, 1304881, 6032, 5600, 2272
1707614386924, 1304892, 5648, 9360, -1440
1707614386939, 1304903, 5728, 10880, -4176
1707614386942, 1304914, 5984, 10528, -5280
1707614386958, 1304925, 6432, 6672, -5328
1707614386972, 1304936, 7472, 2512, -4848
1707614386975, 1304947, 8192, -1008, -3776
1707614386991, 1304958, 9024, -3360, -2464
1707614387005, 1304969, 9072, -4464, -960
1707614387008, 1304980, 9376, -4608, 256
1707614387024, 1304991, 9248, -4368, 1296
1707614387037, 1305002, 9120, -3648, 2128
1707614387041, 1305013, 8672, -2864, 2640
1707614387058, 1305024, 8288, -1856, 3040
1707614387071, 1305035, 7648, 208, 2512
1707614387075, 1305046, 6912, 2032, 1776
1707614387091, 1305057, 6544, 3584, 800
1707614387104, 1305068, 6544, 4656, -672
1707614387107, 1305079, 6448, 4944, -1168
1707614387126, 1305090, 6608, 4672, -1456
1707614387137, 1305101, 6896, 3952, -1520
1707614387141, 1305112, 6768, 2560, -1360
1707614387158, 1305123, 7488, 1504, -1056
1707614387170, 1305134, 7744, 608, -752
1707614387174, 1305145, 7808, -96, -112
1707614387191, 1305156, 8064, -512, 304
1707614387203, 1305167, 8208, -752, 768
1707614387208, 1305178, 8400, -928, 1072
1707614387224, 1305189, 8480, -976, 1248
1707614387235, 1305200, 8576, -992, 1200
1707614387242, 1305211, 8592, -896, 896
1707614387257, 1305222, 8688, -320, 784
1707614387268, 1305233, 8176, 272, 384
1707614387275, 1305244, 8016, 944, -64
1707614387290, 1305255, 8032, 1440, -400
1707614387297, 1305266, 7872, 1760, -672
1707614387309, 1305277, 7776, 1968, -688
1707614387324, 1305288, 7712, 2064, -832
1707614387335, 1305299, 7696, 2160, -720
1707614387341, 1305310, 7632, 2128, -640
1707614387357, 1305321, 7552, 1952, -528
1707614387358, 1305332, 7616, 1792, -544
1707614387375, 1305343, 7616, 1584, -304
1707614387390, 1305354, 7744, 1344, -64
1707614387397, 1305365, 7664, 1040, -16
1707614387408, 1305376, 7904, 880, 112
1707614387423, 1305387, 7936, 784, 272
