Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707614114625, 1032587, -368, 4048, -6688
1707614114638, 1032598, -352, 4000, -6528
1707614114641, 1032609, -336, 3936, -6416
1707614114657, 1032620, -240, 3904, -6352
1707614114672, 1032631, -160, 3792, -6272
1707614114681, 1032642, -240, 3728, -6320
1707614114691, 1032653, -240, 3696, -6480
1707614114705, 1032664, -352, 3680, -6560
1707614114708, 1032675, -256, 3648, -6608
1707614114724, 1032686, -208, 3648, -6800
1707614114738, 1032697, -208, 3616, -6976
1707614114741, 1032708, -112, 3600, -6992
1707614114758, 1032719, -64, 3632, -7072
1707614114770, 1032730, -112, 3520, -7088
1707614114781, 1032741, -80, 3360, -7296
1707614114791, 1032752, -96, 3360, -7232
1707614114803, 1032763, -80, 3296, -7328
1707614114807, 1032774, 48, 3280, -7360
1707614114824, 1032785, 0, 3344, -7344
1707614114838, 1032796, 16, 3312, -7376
1707614114841, 1032807, -144, 3328, -7392
1707614114858, 1032818, 0, 3344, -7280
1707614114869, 1032829, 64, 3280, -7296
1707614114874, 1032840, 128, 3264, -7152
1707614114891, 1032851, 80, 3056, -7200
1707614114901, 1032862, 96, 2928, -7232
1707614114908, 1032873, 96, 2928, -7168
1707614114924, 1032884, 48, 2912, -7008
1707614114935, 1032895, 128, 2880, -6912
1707614114940, 1032906, 96, 2864, -6976
1707614114957, 1032917, 96, 2832, -6896
1707614114968, 1032928, 48, 2736, -6944
1707614114974, 1032939, -48, 2656, -6832
1707614114990, 1032950, -240, 2688, -6640
1707614115001, 1032961, -400, 2784, -6512
1707614115007, 1032972, -784, 2736, -6336
1707614115024, 1032983, -688, 2848, -6224
1707614115034, 1032994, -944, 2880, -5984
1707614115041, 1033005, -1056, 3104, -5856
1707614115056, 1033016, -1200, 3360, -5344
1707614115067, 1033027, -1168, 3856, -5040
1707614115074, 1033038, -1232, 4208, -4848
1707614115090, 1033049, -1168, 4688, -4624
1707614115092, 1033060, -1120, 5392, -4560
1707614115108, 1033071, -784, 5824, -4288
1707614115123, 1033082, -624, 6176, -4000
1707614115125, 1033093, -288, 6688, -3488
1707614115141, 1033104, -112, 7088, -3040
1707614115156, 1033115, -16, 6944, -2608
1707614115158, 1033126, 304, 8064, -1936
1707614115174, 1033137, 288, 8320, -1392
1707614115188, 1033148, 1040, 8912, -608
1707614115190, 1033159, 1344, 9568, 240
1707614115208, 1033170, 1488, 10416, 416
1707614115221, 1033181, 2576, 11248, 528
1707614115224, 1033192, 3216, 11904, 480
1707614115241, 1033203, 4016, 12096, 320
1707614115253, 1033214, 4752, 11840, 176
1707614115257, 1033225, 5472, 11600, -128
1707614115275, 1033236, 6224, 11344, -64
1707614115287, 1033247, 6528, 11200, 512
1707614115291, 1033258, 6800, 11056, 1232
1707614115308, 1033269, 6992, 10720, 2288
1707614115320, 1033280, 7120, 10352, 2800
1707614115324, 1033291, 8128, 10128, 3408
1707614115341, 1033302, 8896, 9936, 3952
1707614115353, 1033313, 9104, 9056, 4560
1707614115358, 1033324, 10448, 9184, 5024
1707614115374, 1033335, 11536, 9792, 4976
1707614115386, 1033346, 12512, 10400, 4336
1707614115391, 1033357, 12480, 11008, 3728
1707614115408, 1033368, 11888, 11536, 2704
1707614115419, 1033379, 10896, 12464, 1248
1707614115424, 1033390, 10000, 12880, -912
1707614115441, 1033401, 8896, 12352, -3888
1707614115452, 1033412, 7248, 10048, -8352
1707614115457, 1033423, 7440, 8944, -11904
1707614115474, 1033434, 5264, 6912, -13696
1707614115485, 1033445, 4128, 5856, -13568
1707614115490, 1033456, 3936, 4432, -11056
1707614115507, 1033467, 4160, 3376, -8080
1707614115517, 1033478, 4608, 2432, -5616
1707614115524, 1033489, 4528, 2448, -2032
1707614115541, 1033500, 4640, 1904, -2544
1707614115542, 1033511, 5456, 3488, -2400
1707614115558, 1033522, 5792, 4112, 224
1707614115574, 1033533, 5488, 5184, 16
1707614115584, 1033544, 4960, 6656, 144
1707614115591, 1033555, 4688, 7120, 640
1707614115606, 1033566, 4656, 7024, 832
1707614115608, 1033577, 4368, 7136, 1136
1707614115624, 1033588, 4512, 6512, 1664
1707614115639, 1033599, 4752, 6000, 1616
1707614115641, 1033610, 4864, 5664, 1424
1707614115657, 1033621, 5072, 5488, 1312
1707614115672, 1033632, 5152, 5456, 1616
1707614115683, 1033643, 5024, 5392, 1488
1707614115690, 1033654, 5040, 5264, 1760
1707614115705, 1033665, 5184, 5120, 1968
1707614115708, 1033676, 5280, 4944, 1760
1707614115724, 1033687, 5424, 4912, 1696
1707614115738, 1033698, 5440, 4992, 1824
1707614115741, 1033709, 5584, 5248, 1760
1707614115758, 1033720, 5504, 5360, 1776
1707614115771, 1033731, 5376, 5520, 1904
1707614115774, 1033742, 5344, 5616, 1888
1707614115791, 1033753, 5376, 5584, 2048
1707614115804, 1033764, 5456, 5440, 2176
1707614115807, 1033775, 5456, 5360, 2320
1707614115824, 1033786, 5424, 5296, 2336
1707614115837, 1033797, 5408, 5344, 2352
1707614115840, 1033808, 5456, 5392, 2400
1707614115858, 1033819, 5472, 5456, 2480
1707614115870, 1033830, 5520, 5504, 2544
1707614115875, 1033841, 5504, 5568, 2512
1707614115891, 1033852, 5392, 5536, 2640
1707614115903, 1033863, 5536, 5472, 2688
1707614115908, 1033874, 5584, 5392, 2832
1707614115924, 1033885, 5696, 5360, 3072
1707614115936, 1033896, 5680, 5344, 2816
1707614115940, 1033907, 5664, 5376, 2688
1707614115958, 1033918, 5712, 5504, 2544
1707614115969, 1033929, 5712, 5872, 2224
1707614115974, 1033940, 5456, 5984, 2192
1707614115990, 1033951, 5488, 5984, 2240
1707614116001, 1033962, 5600, 5888, 2512
1707614116007, 1033973, 5552, 5856, 2480
1707614116024, 1033984, 5552, 5616, 2592
1707614116035, 1033995, 5568, 5408, 2528
1707614116041, 1034006, 5536, 5280, 2656
1707614116057, 1034017, 5520, 5280, 2560
1707614116068, 1034028, 5440, 5408, 2320
1707614116075, 1034039, 5504, 5520, 2336
1707614116090, 1034050, 5424, 5664, 2368
1707614116101, 1034061, 5440, 5744, 2256
1707614116108, 1034072, 5392, 5632, 2336
1707614116123, 1034083, 5344, 5632, 2320
1707614116124, 1034094, 5248, 5728, 2224
1707614116140, 1034105, 5120, 5648, 2224
