Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588561032, 1112782, -6608, -3872, 1792
1707588561043, 1112793, -6528, -3920, 1680
1707588561054, 1112804, -6480, -3824, 1856
1707588561065, 1112815, -6400, -3840, 1728
1707588561076, 1112826, -6496, -3824, 1712
1707588561087, 1112837, -6464, -3872, 1904
1707588561098, 1112848, -6544, -3952, 1728
1707588561109, 1112859, -6560, -3920, 1712
1707588561120, 1112870, -6576, -3872, 1712
1707588561131, 1112881, -6592, -3904, 1760
1707588561142, 1112892, -6512, -3888, 1840
1707588561154, 1112903, -6464, -3888, 1760
1707588561165, 1112914, -6512, -3888, 1824
1707588561176, 1112925, -6496, -3888, 1776
1707588561187, 1112936, -6544, -3920, 1744
1707588561198, 1112947, -6512, -3904, 1552
1707588561208, 1112958, -6560, -3888, 1744
1707588561220, 1112969, -6544, -3824, 1728
1707588561231, 1112980, -6480, -3808, 1856
1707588561241, 1112991, -6592, -3856, 1776
1707588561253, 1113002, -6512, -3904, 1760
1707588561263, 1113013, -6560, -3872, 1728
1707588561274, 1113024, -6496, -3840, 1744
1707588561286, 1113035, -6560, -3984, 1760
1707588561296, 1113046, -6512, -3920, 1760
1707588561307, 1113057, -6576, -3872, 1680
1707588561318, 1113068, -6592, -3888, 1664
1707588561329, 1113079, -6608, -3840, 1712
1707588561340, 1113090, -6656, -3856, 1696
1707588561351, 1113101, -6560, -3824, 1664
1707588561362, 1113112, -6576, -3872, 1696
1707588561373, 1113123, -6544, -3920, 1856
1707588561384, 1113134, -6512, -3936, 1792
1707588561395, 1113145, -6576, -3920, 1760
1707588561406, 1113156, -6592, -3872, 1760
1707588561417, 1113167, -6560, -3872, 1760
1707588561428, 1113178, -6576, -3856, 1936
1707588561439, 1113189, -6560, -3856, 1808
1707588561450, 1113200, -6512, -3888, 1760
1707588561461, 1113211, -6464, -3888, 1744
1707588561472, 1113222, -6528, -3888, 1664
1707588561483, 1113233, -6544, -3856, 1744
1707588561494, 1113244, -6560, -3872, 1776
1707588561505, 1113255, -6592, -3824, 1728
1707588561516, 1113266, -6608, -3728, 1856
1707588561527, 1113277, -6640, -3808, 1744
1707588561539, 1113288, -6560, -3856, 1744
