Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588392358, 944108, -6288, -4192, 2000
1707588392369, 944119, -6240, -4240, 1712
1707588392380, 944130, -6272, -4176, 1920
1707588392391, 944141, -6256, -4096, 2032
1707588392402, 944152, -6336, -4160, 2048
1707588392413, 944163, -6240, -4144, 2128
1707588392423, 944174, -6272, -4112, 2144
1707588392434, 944185, -6256, -4144, 2144
1707588392445, 944196, -6096, -4224, 2224
1707588392456, 944207, -6096, -4224, 2352
1707588392467, 944218, -6160, -4256, 2240
1707588392478, 944229, -6016, -4224, 2240
1707588392489, 944240, -6016, -4272, 2224
1707588392500, 944251, -6080, -4192, 2144
1707588392511, 944262, -6096, -4224, 2160
1707588392522, 944273, -5968, -4304, 2064
1707588392533, 944284, -6064, -4432, 1888
1707588392544, 944295, -6064, -4656, 1808
1707588392556, 944306, -6080, -4912, 1648
1707588392567, 944317, -6048, -4944, 1712
1707588392578, 944328, -5968, -4992, 1904
1707588392589, 944339, -5984, -4928, 2384
1707588392599, 944350, -6000, -5200, 2864
1707588392610, 944361, -5792, -6176, 3344
1707588392621, 944372, -5888, -6880, 3552
1707588392633, 944383, -5648, -7232, 3744
1707588392643, 944394, -5264, -7248, 3520
1707588392655, 944405, -4688, -7072, 3984
1707588392665, 944416, -4224, -6768, 5344
1707588392676, 944427, -3888, -6848, 6912
1707588392687, 944438, -3632, -7376, 8416
1707588392698, 944449, -3568, -8096, 9840
1707588392709, 944460, -3184, -8256, 10384
1707588392721, 944471, -3312, -8160, 10576
1707588392731, 944482, -3456, -8176, 10592
1707588392742, 944493, -3424, -8176, 10848
1707588392753, 944504, -3456, -8096, 11312
1707588392764, 944515, -4064, -7840, 11888
1707588392775, 944526, -4288, -7392, 12800
1707588392786, 944537, -4416, -7136, 13456
1707588392797, 944548, -5408, -7280, 14480
1707588392809, 944559, -6624, -7952, 15952
1707588392820, 944570, -7904, -8160, 17280
1707588392830, 944581, -9024, -7520, 18208
1707588392842, 944592, -9216, -6304, 18768
1707588392852, 944603, -11808, -5808, 18416
1707588392864, 944614, -12864, -5760, 17040
1707588392874, 944625, -13040, -5776, 16000
1707588392886, 944636, -14320, -5472, 15232
1707588392896, 944647, -15424, -4544, 14640
1707588392908, 944658, -16288, -3808, 14288
1707588392918, 944669, -16960, -3232, 13872
1707588392930, 944680, -17312, -2816, 12816
1707588392940, 944691, -17360, -2464, 11456
1707588392951, 944702, -16848, -2112, 9536
1707588392962, 944713, -16320, -2160, 8144
1707588392973, 944724, -15776, -1984, 7216
1707588392985, 944735, -14560, -816, 6064
1707588392995, 944746, -14032, 256, 5072
1707588393006, 944757, -13792, 832, 3488
1707588393017, 944768, -13792, 864, 1888
1707588393028, 944779, -11904, 416, 640
1707588393039, 944790, -10960, -368, -528
1707588393050, 944801, -9136, -976, -1072
1707588393062, 944812, -7760, -1584, -1312
1707588393072, 944823, -7568, -2720, -1312
1707588393083, 944834, -7072, -3136, -1264
1707588393094, 944845, -6464, -3296, -1648
1707588393105, 944856, -6528, -2960, -1984
1707588393117, 944867, -6832, -2432, -2096
1707588393128, 944878, -6640, -1696, -1904
1707588393139, 944889, -6400, -1232, -1984
1707588393150, 944900, -6672, -1520, -2160
1707588393161, 944911, -6688, -2432, -2848
1707588393171, 944922, -6336, -3168, -3360
1707588393182, 944933, -6352, -3856, -4208
1707588393193, 944944, -6272, -4048, -4720
1707588393204, 944955, -6096, -4416, -5424
1707588393216, 944966, -6304, -5728, -6208
1707588393227, 944977, -7072, -6640, -6720
1707588393238, 944988, -7216, -6896, -6976
1707588393248, 944999, -7280, -6992, -7040
1707588393259, 945010, -8416, -7072, -6656
1707588393271, 945021, -9664, -7328, -5584
1707588393281, 945032, -10944, -7536, -4272
1707588393293, 945043, -12080, -7984, -2800
1707588393304, 945054, -12352, -9424, -848
1707588393315, 945065, -15440, -10720, -560
1707588393325, 945076, -16880, -11296, -800
1707588393337, 945087, -17120, -11536, -1568
1707588393348, 945098, -18928, -12096, -2672
