Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588467191, 1018941, -4304, -4016, 5216
1707588467202, 1018952, -4224, -3872, 5344
1707588467213, 1018963, -4240, -3744, 5504
1707588467224, 1018974, -4272, -3760, 5568
1707588467235, 1018985, -4240, -3792, 5696
1707588467245, 1018996, -4224, -3744, 5568
1707588467257, 1019007, -4176, -3744, 5328
1707588467268, 1019018, -4256, -3568, 5376
1707588467279, 1019029, -4128, -3584, 5248
1707588467290, 1019040, -4176, -3600, 5264
1707588467301, 1019051, -4096, -3760, 5616
1707588467312, 1019062, -4160, -3872, 5552
1707588467323, 1019073, -4160, -3760, 5600
1707588467333, 1019084, -4160, -3808, 5696
1707588467345, 1019095, -4192, -3840, 5776
1707588467355, 1019106, -4192, -3840, 5744
1707588467367, 1019117, -4320, -3712, 5616
1707588467378, 1019128, -4224, -3664, 5536
1707588467389, 1019139, -4224, -3536, 5488
1707588467400, 1019150, -4224, -3488, 5328
1707588467411, 1019161, -4192, -3504, 5392
1707588467422, 1019172, -4224, -3648, 5488
1707588467433, 1019183, -4144, -3712, 5360
1707588467444, 1019194, -4096, -3808, 5568
1707588467455, 1019205, -4064, -3856, 5072
1707588467466, 1019216, -4272, -3840, 4992
1707588467477, 1019227, -4688, -3904, 5088
1707588467487, 1019238, -4624, -3984, 5088
1707588467499, 1019249, -4640, -4048, 4976
1707588467510, 1019260, -4768, -4224, 4960
1707588467521, 1019271, -4784, -4416, 4800
1707588467531, 1019282, -4928, -4976, 4528
1707588467543, 1019293, -5008, -5376, 4288
1707588467554, 1019304, -5456, -5504, 3968
1707588467564, 1019315, -5616, -5584, 3616
1707588467576, 1019326, -5792, -5776, 3184
1707588467587, 1019337, -5984, -6064, 2704
1707588467597, 1019348, -5968, -6400, 2304
1707588467609, 1019359, -6256, -6704, 2224
1707588467620, 1019370, -6256, -6864, 2032
1707588467631, 1019381, -6256, -6928, 1888
1707588467642, 1019392, -6480, -7120, 1824
1707588467652, 1019403, -6992, -7536, 2128
1707588467664, 1019414, -7248, -8208, 2576
1707588467675, 1019425, -7200, -9040, 2816
1707588467686, 1019436, -7344, -10096, 2464
1707588467697, 1019447, -8496, -10400, 1856
1707588467708, 1019458, -8544, -10480, 1136
1707588467719, 1019469, -8720, -11344, 1744
1707588467730, 1019480, -9200, -12080, 2784
1707588467741, 1019491, -9424, -11808, 3840
1707588467752, 1019502, -11664, -11104, 4000
1707588467763, 1019513, -12368, -10256, 4192
1707588467774, 1019524, -12768, -9568, 4528
1707588467784, 1019535, -13888, -9552, 5504
1707588467796, 1019546, -14544, -9968, 7744
1707588467807, 1019557, -15648, -9440, 9232
1707588467818, 1019568, -16496, -8272, 10560
1707588467829, 1019579, -16576, -7056, 11552
1707588467840, 1019590, -17456, -6768, 11424
1707588467851, 1019601, -17328, -5264, 10224
1707588467862, 1019612, -15664, -4224, 9264
1707588467873, 1019623, -14896, -3808, 8864
1707588467884, 1019634, -14144, -3968, 9472
1707588467895, 1019645, -14016, -4672, 10400
1707588467907, 1019656, -13984, -4384, 10912
1707588467917, 1019667, -14064, -2224, 10464
1707588467928, 1019678, -13440, -192, 9968
1707588467939, 1019689, -12336, 1040, 9472
1707588467950, 1019700, -12144, -704, 7408
1707588467961, 1019711, -10560, 2704, 6848
1707588467972, 1019722, -10288, 1504, 6544
1707588467983, 1019733, -9712, 672, 7088
1707588467993, 1019744, -9376, -528, 7104
1707588468005, 1019755, -9360, 704, 5552
1707588468016, 1019766, -9744, 960, 4320
1707588468026, 1019777, -9360, 2608, 3872
1707588468037, 1019788, -9248, 3808, 3904
1707588468049, 1019799, -9328, 4528, 3536
1707588468060, 1019810, -9264, 5312, 2688
1707588468071, 1019821, -9024, 6048, 2288
1707588468081, 1019832, -8592, 7280, 1888
1707588468092, 1019843, -8608, 7648, 1808
1707588468104, 1019854, -7248, 7328, 2400
1707588468115, 1019865, -7072, 6480, 3248
1707588468125, 1019876, -6912, 6288, 3664
1707588468136, 1019887, -6608, 5872, 3328
1707588468147, 1019898, -6672, 5824, 3840
1707588468159, 1019909, -6288, 6432, 4608
1707588468170, 1019920, -6688, 6336, 5664
1707588468181, 1019931, -6992, 6080, 6144
1707588468192, 1019942, -7280, 7392, 5632
1707588468203, 1019953, -7568, 5168, 8240
1707588468214, 1019964, -8928, 5216, 8592
1707588468225, 1019975, -10256, 5920, 8960
1707588468236, 1019986, -10592, 7040, 9408
1707588468246, 1019997, -13440, 7328, 9984
1707588468258, 1020008, -15584, 8192, 10784
1707588468269, 1020019, -17552, 9376, 11152
1707588468280, 1020030, -20416, 11360, 13312
1707588468291, 1020041, -21072, 16304, 11312
1707588468302, 1020052, -23936, 20912, 11216
1707588468312, 1020063, -26912, 24080, 10432
1707588468323, 1020074, -28048, 24560, 9744
1707588468335, 1020085, -32576, 22096, 9184
1707588468346, 1020096, -32624, 16432, 8080
1707588468357, 1020107, -32624, 10384, 7568
1707588468367, 1020118, -32624, 3152, 7344
1707588468379, 1020129, -32624, -14608, 10592
1707588468390, 1020140, -32624, -30400, 19120
1707588468401, 1020151, -32624, -32560, 32000
1707588468412, 1020162, -32624, -32624, 32608
1707588468423, 1020173, -29040, -32624, 32640
1707588468434, 1020184, -25168, -28224, 31536
1707588468444, 1020195, -21152, -22624, 23744
1707588468455, 1020206, -16272, -21200, 16512
1707588468467, 1020217, -15216, -26208, 8704
1707588468478, 1020228, -3040, -30032, 5280
1707588468489, 1020239, 1200, -26624, 5776
1707588468500, 1020250, 1360, -21712, 10304
1707588468511, 1020261, 48, -16624, 14288
1707588468522, 1020272, -768, -11760, 15600
1707588468532, 1020283, -752, -10224, 14272
1707588468544, 1020294, -448, -9280, 11488
1707588468555, 1020305, -288, -8352, 9584
1707588468565, 1020316, 400, -6896, 8160
1707588468576, 1020327, 432, -5936, 7584
1707588468588, 1020338, 400, -5792, 10576
1707588468599, 1020349, 224, -5008, 8592
1707588468609, 1020360, 576, -4720, 8352
1707588468620, 1020371, 976, -4800, 7952
1707588468632, 1020382, 1360, -4736, 7392
1707588468643, 1020393, 1536, -4512, 7408
1707588468654, 1020404, 1968, -4624, 7136
1707588468665, 1020415, 2000, -4144, 8352
1707588468675, 1020426, 1792, -4016, 9056
1707588468686, 1020437, 1424, -3728, 9152
1707588468698, 1020448, 1344, -3216, 9376
1707588468709, 1020459, 1280, -2944, 9296
1707588468720, 1020470, 1568, -2976, 8432
1707588468731, 1020481, 2000, -3056, 8016
1707588468741, 1020492, 1904, -3232, 7760
1707588468752, 1020503, 1760, -3040, 7648
1707588468764, 1020514, 1504, -3024, 7520
1707588468775, 1020525, 1504, -3024, 7184
1707588468786, 1020536, 1328, -2832, 6912
1707588468796, 1020547, 1136, -2560, 7184
1707588468807, 1020558, 768, -2064, 7648
1707588468818, 1020569, 832, -1648, 7728
1707588468830, 1020580, 960, -1280, 7584
1707588468841, 1020591, 1088, -1072, 7328
1707588468852, 1020602, 912, -1088, 7088
1707588468863, 1020613, 896, -1312, 6992
1707588468874, 1020624, 784, -1504, 6608
1707588468884, 1020635, 1120, -1728, 6288
1707588468896, 1020646, 1136, -2288, 5504
1707588468906, 1020657, 1120, -2896, 5168
1707588468917, 1020668, 960, -3520, 4832
1707588468928, 1020679, 1040, -4080, 4928
1707588468940, 1020690, 272, -4128, 5120
1707588468950, 1020701, 96, -3776, 5200
1707588468962, 1020712, -240, -3344, 4928
1707588468973, 1020723, -560, -2880, 4768
1707588468984, 1020734, -512, -2496, 4352
1707588468995, 1020745, -640, -2432, 4112
1707588469006, 1020756, -1024, -2464, 3760
1707588469017, 1020767, -1008, -2592, 3520
1707588469027, 1020778, -1520, -2704, 3424
1707588469039, 1020789, -1952, -2928, 3600
1707588469050, 1020800, -2384, -2784, 4016
1707588469061, 1020811, -2848, -2784, 4240
1707588469072, 1020822, -2608, -2992, 4416
1707588469082, 1020833, -2384, -2928, 4432
1707588469094, 1020844, -2192, -3392, 4224
1707588469105, 1020855, -2240, -4256, 4272
1707588469115, 1020866, -3456, -4736, 4384
1707588469127, 1020877, -3648, -4576, 4800
1707588469138, 1020888, -3072, -4512, 5024
1707588469149, 1020899, -3024, -3904, 5648
