Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588750893, 1302642, -6352, -3792, 2480
1707588750905, 1302653, -6288, -3808, 2576
1707588750915, 1302664, -6288, -3808, 2512
1707588750927, 1302675, -6320, -3808, 2560
1707588750938, 1302686, -6272, -3808, 2512
1707588750949, 1302697, -6320, -3824, 2480
1707588750959, 1302708, -6336, -3808, 2496
1707588750971, 1302719, -6368, -3792, 2464
1707588750981, 1302730, -6416, -3888, 2448
1707588750992, 1302741, -6320, -3840, 2304
1707588751003, 1302752, -6272, -3840, 2496
1707588751014, 1302763, -6400, -3824, 2496
1707588751025, 1302774, -6416, -3808, 2480
1707588751035, 1302785, -6352, -3792, 2464
1707588751047, 1302796, -6368, -3840, 2336
1707588751058, 1302807, -6384, -3824, 2432
1707588751068, 1302818, -6368, -3776, 2528
1707588751080, 1302829, -6448, -3792, 2512
1707588751091, 1302840, -6336, -3792, 2448
1707588751101, 1302851, -6384, -3824, 2736
1707588751113, 1302862, -6336, -3840, 2400
1707588751124, 1302873, -6368, -3808, 2368
1707588751135, 1302884, -6496, -3872, 2464
1707588751147, 1302895, -6416, -3888, 2512
1707588751156, 1302906, -6432, -3872, 2496
1707588751168, 1302917, -6528, -3856, 2416
1707588751179, 1302928, -6384, -3888, 2512
1707588751190, 1302939, -6368, -3952, 2624
1707588751201, 1302950, -6400, -3904, 2528
1707588751212, 1302961, -6384, -3872, 2448
1707588751223, 1302972, -6400, -3744, 2736
1707588751234, 1302983, -6784, -3744, 3424
1707588751245, 1302994, -7312, -3440, 4176
1707588751256, 1303005, -7184, -4016, 6528
1707588751268, 1303016, -7056, -4384, 9024
1707588751279, 1303027, -7312, -5424, 12176
1707588751290, 1303038, -7088, -6800, 14416
1707588751300, 1303049, -6496, -8688, 17344
1707588751311, 1303060, -6048, -9712, 21808
1707588751322, 1303071, -7520, -8416, 26496
1707588751333, 1303082, -9536, -6096, 32144
1707588751344, 1303093, -9968, -5584, 32624
1707588751356, 1303104, -12816, -8176, 32640
1707588751366, 1303115, -14688, -11952, 32640
1707588751377, 1303126, -17968, -13024, 32640
1707588751388, 1303137, -21840, -11120, 32640
1707588751400, 1303148, -26992, -9184, 32640
1707588751411, 1303159, -30592, -10560, 32640
1707588751421, 1303170, -32480, -13360, 31072
1707588751433, 1303181, -32560, -14896, 26992
1707588751443, 1303192, -32624, -12624, 22016
1707588751455, 1303203, -32624, -9024, 14288
1707588751465, 1303214, -32624, -6544, 7760
1707588751476, 1303225, -32624, -4352, 1856
1707588751487, 1303236, -32624, -1360, -3264
1707588751499, 1303247, -31952, 320, -5680
1707588751509, 1303258, -29008, 2032, -8480
1707588751520, 1303269, -28496, 3584, -10544
1707588751531, 1303280, -23776, 4272, -11856
1707588751542, 1303291, -19248, 4544, -12160
1707588751553, 1303302, -16144, 3280, -11792
1707588751564, 1303313, -13056, 2192, -10032
1707588751576, 1303324, -12320, 1504, -8192
1707588751586, 1303335, -7712, 2160, -7408
1707588751597, 1303346, -6384, 3712, -5776
1707588751608, 1303357, -4912, 3472, -2240
1707588751619, 1303368, -3536, 624, 1824
1707588751630, 1303379, -736, -4016, 3408
1707588751641, 1303390, 1168, -5968, 864
1707588751652, 1303401, 2608, -4736, -3408
1707588751663, 1303412, 2816, -1984, -4848
1707588751673, 1303423, 3392, -1072, -4688
1707588751685, 1303434, 3840, -1520, -3968
1707588751696, 1303445, 4480, -2240, -3872
1707588751707, 1303456, 5184, -2560, -4368
1707588751718, 1303467, 5888, -2672, -4384
1707588751729, 1303478, 6160, -4288, -5088
1707588751740, 1303489, 6800, -3536, -1568
1707588751751, 1303500, 6864, -4544, -304
1707588751762, 1303511, 7344, -5344, 608
1707588751773, 1303522, 7472, -5440, 944
1707588751783, 1303533, 7696, -4784, 720
1707588751794, 1303544, 7632, -4128, 544
1707588751806, 1303555, 7504, -3744, 576
1707588751817, 1303566, 7376, -3856, 816
1707588751828, 1303577, 7408, -4240, 1408
1707588751839, 1303588, 7504, -4688, 2016
1707588751850, 1303599, 7712, -4752, 2496
1707588751861, 1303610, 7568, -4368, 2560
1707588751871, 1303621, 7552, -3904, 2320
1707588751882, 1303632, 7584, -3504, 2176
1707588751894, 1303643, 7536, -3216, 1968
1707588751905, 1303654, 7600, -2912, 1840
1707588751916, 1303665, 7520, -2496, 1680
1707588751927, 1303676, 7328, -2128, 1584
1707588751938, 1303687, 7312, -1856, 1872
1707588751948, 1303698, 7296, -1904, 2224
1707588751960, 1303709, 7376, -2320, 2384
1707588751971, 1303720, 7392, -2688, 2736
1707588751983, 1303731, 7280, -2752, 2928
1707588751992, 1303742, 7504, -2784, 2816
1707588752004, 1303753, 7568, -3184, 2352
1707588752015, 1303764, 7824, -3440, 1904
1707588752025, 1303775, 7936, -3360, 1568
1707588752036, 1303786, 8032, -3184, 1552
1707588752048, 1303797, 8048, -3040, 1472
1707588752059, 1303808, 7952, -2848, 1440
1707588752070, 1303819, 7904, -2880, 1664
1707588752081, 1303830, 7808, -3040, 1856
1707588752092, 1303841, 7792, -3136, 2272
1707588752104, 1303852, 7856, -2928, 2144
1707588752115, 1303863, 7808, -2512, 1872
1707588752125, 1303874, 7744, -2016, 1360
1707588752135, 1303885, 7616, -1712, 864
1707588752146, 1303896, 7744, -1584, 480
1707588752157, 1303907, 7744, -1936, 560
1707588752168, 1303918, 7504, -2448, 1200
1707588752179, 1303929, 7424, -2656, 1744
1707588752190, 1303940, 7344, -2528, 1664
