Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588405557, 957308, -4256, -6048, 3008
1707588405568, 957319, -4240, -6432, 3040
1707588405579, 957330, -4192, -6192, 2640
1707588405590, 957341, -3728, -6160, 2816
1707588405601, 957352, -4160, -6144, 2896
1707588405612, 957363, -4432, -5952, 2912
1707588405623, 957374, -4624, -6096, 2928
1707588405634, 957385, -4544, -5616, 2976
1707588405646, 957396, -4336, -5312, 2640
1707588405657, 957407, -4256, -5424, 2576
1707588405668, 957418, -4160, -5664, 2592
1707588405679, 957429, -4368, -5856, 2752
1707588405689, 957440, -4368, -6080, 3040
1707588405700, 957451, -4320, -6208, 2880
1707588405711, 957462, -4400, -6256, 2848
1707588405722, 957473, -4320, -6128, 2752
1707588405734, 957484, -4208, -6064, 2720
1707588405745, 957495, -4256, -5984, 2752
1707588405755, 957506, -4096, -5920, 2832
1707588405766, 957517, -4208, -5824, 2896
1707588405778, 957528, -4512, -5840, 2912
1707588405788, 957539, -4560, -5776, 3056
1707588405799, 957550, -4400, -5728, 3072
1707588405811, 957561, -4320, -5728, 2944
1707588405821, 957572, -4224, -5872, 2864
1707588405832, 957583, -4208, -5984, 2752
1707588405843, 957594, -4144, -6096, 2736
1707588405854, 957605, -4208, -6048, 2896
1707588405866, 957616, -4032, -6160, 3184
1707588405877, 957627, -4112, -6224, 2912
1707588405887, 957638, -4176, -6080, 2784
1707588405898, 957649, -4240, -5984, 2688
1707588405910, 957660, -4272, -6048, 2704
1707588405921, 957671, -4384, -6096, 3088
1707588405931, 957682, -4400, -6064, 3008
1707588405942, 957693, -4368, -6144, 3200
1707588405954, 957704, -4512, -6592, 3232
1707588405964, 957715, -4432, -6800, 3248
1707588405976, 957726, -4304, -7136, 2784
1707588405987, 957737, -4352, -7376, 2688
1707588405997, 957748, -4224, -7696, 2448
1707588406008, 957759, -4256, -8144, 2448
1707588406020, 957770, -4208, -8624, 2128
1707588406030, 957781, -4064, -9200, 1840
1707588406041, 957792, -4096, -10016, 1552
1707588406052, 957803, -4080, -10640, 1296
1707588406064, 957814, -4160, -11232, 1040
1707588406074, 957825, -4224, -11424, 960
1707588406085, 957836, -5296, -11184, 624
1707588406096, 957847, -5632, -10960, 320
1707588406108, 957858, -5856, -11152, 288
1707588406118, 957869, -6048, -12000, 352
1707588406129, 957880, -5888, -13136, 528
1707588406141, 957891, -7040, -13536, 480
1707588406151, 957902, -7424, -13008, 32
1707588406162, 957913, -7568, -12352, -1072
1707588406174, 957924, -8224, -11408, -2080
1707588406185, 957935, -8064, -10976, -2336
1707588406195, 957946, -8000, -11408, -1840
1707588406207, 957957, -8016, -12576, -528
1707588406218, 957968, -7888, -15040, 1296
1707588406229, 957979, -8112, -16704, 2928
1707588406240, 957990, -8912, -16960, 4320
1707588406251, 958001, -9584, -15456, 4800
1707588406262, 958012, -9552, -13952, 5152
1707588406272, 958023, -9280, -12032, 5008
1707588406283, 958034, -8976, -10240, 4944
1707588406294, 958045, -8464, -8800, 5696
1707588406306, 958056, -8336, -9184, 6688
1707588406317, 958067, -8112, -9824, 7648
1707588406327, 958078, -8240, -9440, 8208
1707588406338, 958089, -8336, -8160, 7824
1707588406350, 958100, -8752, -7248, 7248
1707588406360, 958111, -8992, -5216, 6864
1707588406371, 958122, -8320, -4000, 6624
1707588406383, 958133, -8176, -3568, 6112
1707588406393, 958144, -8208, -2800, 5856
1707588406404, 958155, -7456, -1872, 5664
1707588406416, 958166, -6976, -1152, 6032
1707588406427, 958177, -6560, -1024, 6736
1707588406438, 958188, -6256, -816, 7392
1707588406449, 958199, -6176, -624, 7680
1707588406459, 958210, -6224, -176, 7424
1707588406470, 958221, -6000, 672, 6768
1707588406482, 958232, -5920, 1248, 6464
1707588406493, 958243, -5424, 1088, 6080
1707588406503, 958254, -5552, 2704, 7952
1707588406514, 958265, -5696, 2208, 8976
1707588406525, 958276, -5712, 2400, 8992
1707588406536, 958287, -5760, 3664, 9984
1707588406547, 958298, -5840, 4736, 11360
1707588406558, 958309, -5712, 4624, 11024
1707588406570, 958320, -6096, 4896, 10912
1707588406581, 958331, -6176, 5264, 10400
1707588406592, 958342, -6432, 5280, 10112
1707588406603, 958353, -6608, 4656, 8880
1707588406613, 958364, -7168, 5296, 8256
1707588406624, 958375, -7328, 5888, 9008
1707588406635, 958386, -9168, 5808, 10576
1707588406646, 958397, -11488, 5776, 12512
1707588406657, 958408, -14080, 5808, 14368
1707588406668, 958419, -16768, 5424, 16160
1707588406680, 958430, -17728, 5360, 18160
1707588406691, 958441, -24128, 5872, 21424
1707588406702, 958452, -26544, 7472, 26976
1707588406713, 958463, -27008, 12160, 31072
1707588406724, 958474, -31808, 10160, 32416
1707588406734, 958485, -32416, 5520, 32320
1707588406746, 958496, -32624, 80, 32304
1707588406757, 958507, -32624, -7200, 32080
1707588406767, 958518, -32624, -20064, 30208
1707588406779, 958529, -32624, -31424, 26928
1707588406790, 958540, -32624, -32592, 16176
1707588406801, 958551, -32624, -32624, 8848
1707588406812, 958562, -32624, -32624, 5504
1707588406822, 958573, -32464, -32624, 880
1707588406834, 958584, -30784, -32624, -3536
1707588406845, 958595, -29136, -32624, -9360
1707588406856, 958606, -28576, -31696, -12816
1707588406867, 958617, -22672, -31296, -16352
1707588406877, 958628, -17344, -32032, -16432
1707588406889, 958639, -12400, -32592, -14816
1707588406899, 958650, -7472, -32576, -12288
1707588406911, 958661, -6128, -31584, -9056
1707588406921, 958672, 48, -28736, -5248
1707588406933, 958683, -688, -20032, -48
1707588406943, 958694, -944, -13952, 2128
1707588406954, 958705, -4048, -9184, 3632
1707588406966, 958716, -3488, -6512, 5072
1707588406976, 958727, -3296, -6272, 5504
1707588406988, 958738, -2176, -6624, 5120
1707588406999, 958749, -1888, -7248, 3008
1707588407009, 958760, -1280, -7760, 928
1707588407021, 958771, -480, -8608, -832
1707588407032, 958782, 176, -9360, -1824
1707588407043, 958793, 960, -9552, -2240
1707588407054, 958804, 1760, -9520, -2240
1707588407064, 958815, 3392, -7616, -4352
1707588407076, 958826, 1088, -8016, 0
1707588407086, 958837, 1008, -7520, 2848
1707588407097, 958848, 1520, -7568, 4240
1707588407108, 958859, 816, -6656, 3808
1707588407119, 958870, 544, -6240, 4016
1707588407131, 958881, 480, -6032, 4032
1707588407141, 958892, 576, -6608, 3504
1707588407152, 958903, 784, -7504, 3296
1707588407163, 958914, 1072, -7936, 2288
1707588407174, 958925, 1168, -7664, 2032
1707588407186, 958936, 1312, -7296, 2832
1707588407197, 958947, 1088, -6976, 3952
1707588407207, 958958, 768, -6560, 4784
1707588407218, 958969, 912, -5984, 4320
1707588407229, 958980, 896, -5856, 4176
1707588407240, 958991, 592, -6432, 4176
1707588407251, 959002, 208, -5568, 3664
1707588407262, 959013, 240, -5136, 3264
1707588407273, 959024, 512, -4944, 3008
1707588407285, 959035, 432, -5024, 3104
