Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588675697, 1227446, 1600, 1344, 7808
1707588675707, 1227457, 1520, 1312, 7792
1707588675719, 1227468, 1584, 1296, 7808
1707588675730, 1227479, 1616, 1200, 7824
1707588675740, 1227490, 1568, 1248, 7920
1707588675752, 1227501, 1424, 1312, 7904
1707588675762, 1227512, 1488, 1248, 7936
1707588675774, 1227523, 1552, 1264, 8112
1707588675784, 1227534, 1584, 1136, 7888
1707588675796, 1227545, 1600, 992, 7904
1707588675807, 1227556, 1632, 944, 7792
1707588675817, 1227567, 1664, 1008, 7664
1707588675829, 1227578, 1696, 1072, 7696
1707588675840, 1227589, 1584, 1104, 7664
1707588675851, 1227600, 1664, 1136, 7824
1707588675862, 1227611, 1728, 1184, 7584
1707588675872, 1227622, 1792, 1072, 7696
1707588675883, 1227633, 1792, 928, 7616
1707588675895, 1227644, 1744, 1056, 7760
1707588675905, 1227655, 1808, 1216, 7712
1707588675916, 1227666, 1776, 1344, 7808
1707588675928, 1227677, 1856, 1392, 7728
1707588675938, 1227688, 1872, 1424, 7824
1707588675949, 1227699, 1904, 1536, 7808
1707588675961, 1227710, 2144, 1712, 8064
1707588675972, 1227721, 2288, 1920, 8240
1707588675982, 1227732, 2208, 2144, 8384
1707588675993, 1227743, 2128, 2576, 8496
1707588676004, 1227754, 2112, 3024, 8896
1707588676016, 1227765, 2096, 3488, 8928
1707588676027, 1227776, 2032, 4016, 9248
1707588676037, 1227787, 1968, 4720, 9584
1707588676048, 1227798, 2000, 5008, 9584
1707588676060, 1227809, 1984, 5296, 9296
1707588676070, 1227820, 2000, 5856, 8960
1707588676082, 1227831, 1872, 6496, 8768
1707588676093, 1227842, 1808, 6864, 8880
1707588676103, 1227853, 1536, 6768, 8704
1707588676115, 1227864, 1216, 6688, 8448
1707588676126, 1227875, 688, 7024, 7984
1707588676136, 1227886, 128, 7376, 7600
1707588676148, 1227897, -352, 7712, 6544
1707588676158, 1227908, -432, 8048, 5776
1707588676170, 1227919, -2128, 7984, 5344
1707588676180, 1227930, -2736, 7248, 5264
1707588676191, 1227941, -3456, 6384, 5280
1707588676203, 1227952, -3904, 5344, 5408
1707588676213, 1227963, -3984, 3792, 5360
1707588676225, 1227974, -4336, 2544, 5024
1707588676235, 1227985, -4464, 1408, 4496
1707588676247, 1227996, -4496, 288, 4272
1707588676257, 1228007, -4640, -640, 3664
1707588676269, 1228018, -4448, -2064, 2624
1707588676280, 1228029, -4240, -3136, 1904
1707588676291, 1228040, -4160, -4176, 1216
1707588676302, 1228051, -4016, -5904, 880
1707588676312, 1228062, -3488, -7216, 688
1707588676323, 1228073, -3456, -8192, 352
1707588676334, 1228084, -3520, -8768, 0
1707588676345, 1228095, -3088, -9120, -592
1707588676357, 1228106, -2864, -10048, -1264
1707588676368, 1228117, -2704, -10912, -1504
1707588676379, 1228128, -2448, -12064, -1056
1707588676390, 1228139, -2480, -13008, -320
1707588676401, 1228150, -1776, -13264, -16
1707588676412, 1228161, -1696, -13136, -384
1707588676423, 1228172, -2016, -13024, -1280
1707588676434, 1228183, -2064, -13152, -2208
1707588676445, 1228194, -1696, -14112, -3152
1707588676455, 1228205, -1472, -14960, -3232
1707588676467, 1228216, -1216, -15584, -2848
1707588676478, 1228227, -1024, -16064, -2048
1707588676489, 1228238, -1120, -15920, -1696
1707588676500, 1228249, -1392, -15312, -1776
1707588676511, 1228260, -1344, -14704, -1888
1707588676522, 1228271, -1360, -14064, -2016
1707588676533, 1228282, -1184, -13648, -2352
1707588676544, 1228293, -1344, -13328, -2384
1707588676556, 1228304, -1664, -12672, -2576
1707588676566, 1228315, -1696, -12224, -2400
1707588676577, 1228326, -2896, -11760, -2224
1707588676587, 1228337, -3888, -10752, -1504
1707588676598, 1228348, -4416, -9648, -688
