Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588516316, 1068067, -6352, -4224, 1440
1707588516328, 1068078, -6400, -4176, 1392
1707588516339, 1068089, -6208, -4096, 1360
1707588516350, 1068100, -6448, -3984, 1440
1707588516361, 1068111, -6416, -3984, 1488
1707588516371, 1068122, -6464, -3904, 1504
1707588516383, 1068133, -6512, -3904, 1504
1707588516394, 1068144, -6496, -3936, 1552
1707588516404, 1068155, -6496, -4096, 1568
1707588516417, 1068166, -6416, -4112, 1232
1707588516426, 1068177, -6512, -4176, 1408
1707588516437, 1068188, -6384, -4192, 1392
1707588516449, 1068199, -6400, -4192, 1408
1707588516460, 1068210, -6400, -4208, 1600
1707588516471, 1068221, -6480, -4128, 1648
1707588516481, 1068232, -6464, -4016, 1584
1707588516492, 1068243, -6544, -4048, 1456
1707588516503, 1068254, -6464, -4080, 1248
1707588516514, 1068265, -6384, -4240, 1168
1707588516526, 1068276, -6368, -4448, 1232
1707588516537, 1068287, -6192, -4992, 1408
1707588516549, 1068298, -6144, -5888, 1632
1707588516559, 1068309, -6128, -7056, 1552
1707588516570, 1068320, -6080, -8048, 1376
1707588516581, 1068331, -5872, -8496, 1296
1707588516592, 1068342, -5872, -8960, 1600
1707588516602, 1068353, -5808, -9664, 1920
1707588516614, 1068364, -5520, -11088, 2672
1707588516625, 1068375, -6096, -12560, 3312
1707588516636, 1068386, -6480, -13152, 3248
1707588516647, 1068397, -6944, -13200, 3008
1707588516658, 1068408, -7184, -12848, 2768
1707588516669, 1068419, -7968, -12544, 2672
1707588516680, 1068430, -7952, -12880, 3024
1707588516691, 1068441, -7904, -13376, 3024
1707588516702, 1068452, -7984, -13600, 3104
1707588516713, 1068463, -8048, -13392, 3056
1707588516723, 1068474, -8048, -12800, 2880
1707588516735, 1068485, -7952, -11920, 2832
1707588516745, 1068496, -7936, -10640, 2496
1707588516757, 1068507, -7104, -9872, 2416
1707588516767, 1068518, -6544, -8896, 2160
1707588516779, 1068529, -5936, -8224, 1984
1707588516790, 1068540, -5552, -7584, 1776
1707588516801, 1068551, -5408, -6608, 1584
1707588516812, 1068562, -4416, -5552, 1520
1707588516822, 1068573, -4096, -4144, 1392
1707588516834, 1068584, -4016, -2912, 1264
1707588516845, 1068595, -3760, -1552, 1184
1707588516856, 1068606, -3472, 112, 912
1707588516867, 1068617, -3136, 944, 944
