Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588588730, 1140480, 1632, 1264, 7712
1707588588741, 1140491, 1568, 1344, 7760
1707588588753, 1140502, 1568, 1216, 7808
1707588588763, 1140513, 1536, 1104, 7872
1707588588774, 1140524, 1616, 1184, 7776
1707588588785, 1140535, 1712, 1376, 7552
1707588588796, 1140546, 1648, 1120, 7424
1707588588807, 1140557, 1744, 1152, 7376
1707588588819, 1140568, 1712, 1312, 7344
1707588588829, 1140579, 1664, 1312, 7536
1707588588840, 1140590, 1680, 1344, 7632
1707588588851, 1140601, 1600, 1440, 7616
1707588588862, 1140612, 1680, 1216, 7680
1707588588872, 1140623, 1760, 1088, 7808
1707588588884, 1140634, 1712, 1056, 7872
1707588588895, 1140645, 1792, 1008, 8000
1707588588906, 1140656, 1664, 1008, 7968
1707588588917, 1140667, 1728, 1088, 7936
1707588588929, 1140678, 1632, 1136, 7888
1707588588939, 1140689, 1680, 1184, 8016
1707588588950, 1140700, 1552, 1280, 8048
1707588588961, 1140711, 1568, 1328, 8096
1707588588972, 1140722, 1600, 1312, 7952
1707588588983, 1140733, 1632, 1200, 7968
1707588588994, 1140744, 1664, 1168, 8128
1707588589005, 1140755, 1792, 1248, 8208
1707588589016, 1140766, 1808, 1520, 8256
1707588589027, 1140777, 1792, 1840, 8224
1707588589037, 1140788, 1888, 2128, 8336
1707588589049, 1140799, 2032, 2464, 8416
1707588589060, 1140810, 2000, 2784, 8240
1707588589071, 1140821, 2000, 3056, 8288
1707588589082, 1140832, 2144, 3312, 8272
1707588589093, 1140843, 2064, 3696, 8352
1707588589104, 1140854, 2096, 3920, 8416
1707588589115, 1140865, 2096, 4224, 8480
1707588589126, 1140876, 2032, 4608, 8640
1707588589137, 1140887, 1696, 5136, 8528
1707588589147, 1140898, 1424, 5648, 8304
1707588589159, 1140909, 1040, 6208, 8000
1707588589169, 1140920, 896, 6368, 7472
1707588589181, 1140931, 960, 6208, 6640
1707588589192, 1140942, 1072, 5744, 5664
1707588589203, 1140953, 1104, 5472, 5248
1707588589214, 1140964, 1184, 5024, 4896
1707588589225, 1140975, 1376, 4544, 4080
1707588589236, 1140986, 1456, 4224, 3184
1707588589247, 1140997, 1376, 3920, 1936
1707588589258, 1141008, 1280, 3504, 1488
1707588589269, 1141019, 992, 3168, 864
1707588589280, 1141030, 656, 2448, -112
1707588589290, 1141041, 416, 1664, -688
1707588589301, 1141052, 208, 752, -1488
1707588589312, 1141063, 128, -288, -1520
1707588589325, 1141074, -288, -896, -1088
1707588589334, 1141085, -736, -1408, -32
1707588589346, 1141096, -816, -1456, 736
1707588589358, 1141107, -1696, -1520, 1408
1707588589368, 1141118, -2208, -1680, 2304
1707588589380, 1141129, -2624, -2080, 2288
1707588589391, 1141140, -2592, -2864, 1104
1707588589401, 1141151, -2640, -4528, 624
1707588589412, 1141162, -1584, -5824, 1104
1707588589423, 1141173, -1504, -6672, 2416
1707588589434, 1141184, -1680, -6320, 3264
1707588589445, 1141195, -2224, -5184, 4160
1707588589456, 1141206, -3120, -4064, 5248
1707588589467, 1141217, -3888, -3488, 6320
1707588589479, 1141228, -4240, -3552, 7168
1707588589490, 1141239, -4192, -4240, 7440
1707588589501, 1141250, -4400, -5744, 6848
1707588589511, 1141261, -4080, -7328, 6096
1707588589522, 1141272, -4064, -8192, 6064
1707588589533, 1141283, -4704, -8272, 6880
1707588589544, 1141294, -4976, -7296, 7856
1707588589555, 1141305, -6736, -6336, 8160
1707588589566, 1141316, -7488, -5152, 7968
1707588589577, 1141327, -7616, -4640, 8032
1707588589589, 1141338, -8176, -4320, 8496
1707588589599, 1141349, -8848, -4720, 9344
1707588589610, 1141360, -9472, -5472, 10272
1707588589621, 1141371, -10256, -6304, 11072
1707588589632, 1141382, -10368, -6048, 11824
1707588589643, 1141393, -11936, -5200, 12160
1707588589654, 1141404, -11920, -4112, 12736
1707588589665, 1141415, -12160, -3968, 13312
1707588589676, 1141426, -12304, -3824, 14032
1707588589687, 1141437, -12448, -3520, 14896
1707588589698, 1141448, -12784, -3088, 15440
1707588589709, 1141459, -13104, -2432, 16032
1707588589720, 1141470, -13072, -1952, 15920
1707588589731, 1141481, -13280, -1744, 15776
1707588589742, 1141492, -13952, -416, 15728
1707588589753, 1141503, -14480, 944, 15632
1707588589764, 1141514, -14752, 1600, 15520
1707588589776, 1141525, -14816, 1760, 15152
