Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588630079, 1181829, -4912, -4160, 4624
1707588630091, 1181840, -4848, -4192, 4336
1707588630101, 1181851, -4832, -4240, 4304
1707588630112, 1181862, -4768, -4272, 4400
1707588630124, 1181873, -4816, -4208, 4416
1707588630134, 1181884, -4880, -4240, 4528
1707588630145, 1181895, -4960, -4128, 4480
1707588630156, 1181906, -4832, -4096, 4384
1707588630168, 1181917, -4928, -4080, 4320
1707588630178, 1181928, -4880, -4096, 4304
1707588630190, 1181939, -4800, -4128, 4320
1707588630200, 1181950, -4800, -4224, 4368
1707588630212, 1181961, -4752, -4288, 4352
1707588630223, 1181972, -4704, -4272, 4416
1707588630233, 1181983, -4768, -4224, 4304
1707588630244, 1181994, -4784, -4144, 4224
1707588630256, 1182005, -4720, -4064, 4272
1707588630267, 1182016, -4800, -4128, 4288
1707588630278, 1182027, -4896, -4256, 4384
1707588630288, 1182038, -4960, -4288, 4496
1707588630299, 1182049, -4944, -4288, 4592
1707588630310, 1182060, -4976, -4400, 4656
1707588630322, 1182071, -5024, -4688, 4880
1707588630332, 1182082, -5008, -5056, 5232
1707588630344, 1182093, -5280, -5648, 6112
1707588630355, 1182104, -5392, -5888, 6800
1707588630366, 1182115, -5760, -5920, 7600
1707588630377, 1182126, -5968, -5760, 9200
1707588630388, 1182137, -6016, -5808, 11136
1707588630398, 1182148, -5728, -6304, 13536
1707588630409, 1182159, -5568, -7040, 14640
1707588630421, 1182170, -5280, -7696, 15088
1707588630432, 1182181, -5248, -7872, 15264
1707588630442, 1182192, -4288, -7312, 15744
1707588630453, 1182203, -3632, -6640, 16352
1707588630465, 1182214, -3376, -6192, 17312
1707588630475, 1182225, -2272, -6064, 18160
1707588630486, 1182236, -2880, -5472, 18832
1707588630497, 1182247, -3392, -4256, 19360
1707588630508, 1182258, -4160, -3472, 19728
1707588630519, 1182269, -5568, -3440, 20224
1707588630531, 1182280, -6768, -4032, 20416
1707588630541, 1182291, -7664, -4256, 19536
1707588630553, 1182302, -7808, -4144, 18720
1707588630564, 1182313, -8848, -4240, 17264
1707588630574, 1182324, -9808, -4848, 15024
1707588630586, 1182335, -10192, -5088, 13056
1707588630597, 1182346, -10128, -4576, 10832
1707588630607, 1182357, -10080, -3968, 7776
1707588630619, 1182368, -9168, -3536, 5936
1707588630629, 1182379, -9392, -2912, 5168
1707588630641, 1182390, -9360, -2432, 4848
1707588630652, 1182401, -10464, -1712, 4560
1707588630662, 1182412, -10640, -1248, 3504
1707588630674, 1182423, -9952, -1680, 2656
1707588630684, 1182434, -8624, -1712, 1472
1707588630696, 1182445, -8176, -2128, 416
1707588630706, 1182456, -6544, -2720, -112
1707588630718, 1182467, -5792, -3568, -336
1707588630729, 1182478, -5648, -4352, -160
1707588630739, 1182489, -4896, -4688, -16
1707588630751, 1182500, -4720, -4640, -16
1707588630761, 1182511, -4560, -4272, 16
1707588630772, 1182522, -4016, -3760, 80
1707588630783, 1182533, -4064, -3088, 160
1707588630794, 1182544, -3424, -2864, 192
1707588630806, 1182555, -2896, -2864, 480
1707588630816, 1182566, -2400, -3520, 880
1707588630828, 1182577, -2192, -4368, 1552
1707588630838, 1182588, -1648, -4912, 2304
1707588630849, 1182599, -1360, -4800, 2272
1707588630860, 1182610, -1136, -4528, 2048
1707588630871, 1182621, -1152, -4336, 1808
1707588630882, 1182632, -208, -4416, 1984
1707588630894, 1182643, 176, -4912, 2352
1707588630905, 1182654, 592, -5664, 3040
1707588630916, 1182665, 1024, -6112, 3168
1707588630927, 1182676, 1104, -6608, 3360
1707588630938, 1182687, 768, -6992, 3248
1707588630949, 1182698, 528, -7184, 2688
1707588630960, 1182709, 480, -7712, 2256
1707588630971, 1182720, 176, -9488, 2144
1707588630982, 1182731, -480, -12928, 2016
1707588630993, 1182742, -1184, -14576, 1232
1707588631003, 1182753, -1840, -15776, 944
1707588631014, 1182764, -1968, -17856, 1872
1707588631026, 1182775, -3104, -20064, 2800
1707588631037, 1182786, -3840, -22288, 3792
1707588631048, 1182797, -3920, -23328, 3808
1707588631058, 1182808, -4016, -23680, 3360
1707588631069, 1182819, -4944, -22944, 2384
1707588631081, 1182830, -5888, -21440, 2160
1707588631092, 1182841, -7168, -20320, 2560
1707588631103, 1182852, -7600, -17648, 3456
1707588631114, 1182863, -10720, -14656, 4272
1707588631124, 1182874, -13664, -11136, 5856
1707588631135, 1182885, -15120, -7376, 7296
1707588631146, 1182896, -16128, -2416, 8256
1707588631157, 1182907, -16112, 3920, 8704
1707588631168, 1182918, -15632, 7472, 9184
1707588631180, 1182929, -15232, 9584, 10528
1707588631191, 1182940, -15104, 13008, 11424
1707588631202, 1182951, -13792, 15968, 12784
1707588631212, 1182962, -13024, 18672, 14288
1707588631223, 1182973, -12432, 20400, 15264
1707588631235, 1182984, -11008, 21440, 16064
