Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588698345, 1250095, -1424, -1568, 7744
1707588698357, 1250106, -1456, -1520, 7888
1707588698368, 1250117, -1472, -1504, 7856
1707588698379, 1250128, -1376, -1568, 7856
1707588698390, 1250139, -1424, -1536, 7808
1707588698401, 1250150, -1456, -1568, 7744
1707588698412, 1250161, -1424, -1456, 7696
1707588698423, 1250172, -1440, -1408, 7744
1707588698433, 1250183, -1440, -1392, 7696
1707588698445, 1250194, -1424, -1392, 7776
1707588698456, 1250205, -1456, -1488, 7920
1707588698467, 1250216, -1504, -1424, 7872
1707588698478, 1250227, -1440, -1360, 7872
1707588698489, 1250238, -1440, -1360, 7808
1707588698499, 1250249, -1408, -1360, 7520
1707588698510, 1250260, -1392, -1360, 7552
1707588698521, 1250271, -1328, -1376, 7728
1707588698532, 1250282, -1376, -1440, 7712
1707588698544, 1250293, -1408, -1568, 7776
1707588698555, 1250304, -1344, -1584, 7696
1707588698566, 1250315, -1408, -1600, 7696
1707588698577, 1250326, -1472, -1568, 7904
1707588698588, 1250337, -1472, -1552, 7920
1707588698599, 1250348, -1488, -1440, 7984
1707588698610, 1250359, -1568, -1408, 7872
1707588698621, 1250370, -1408, -1456, 7840
1707588698631, 1250381, -1376, -1472, 8000
1707588698642, 1250392, -1440, -1424, 7856
1707588698653, 1250403, -1440, -1376, 7920
1707588698664, 1250414, -1536, -1216, 7920
1707588698676, 1250425, -1488, -1232, 7904
1707588698687, 1250436, -1520, -1248, 7808
1707588698698, 1250447, -1488, -1168, 8208
1707588698709, 1250458, -1728, -976, 8480
1707588698720, 1250469, -1808, -640, 8896
1707588698730, 1250480, -2112, -352, 9088
1707588698741, 1250491, -2160, -448, 9456
1707588698753, 1250502, -2176, -256, 10016
1707588698764, 1250513, -2192, -192, 10512
1707588698775, 1250524, -2400, -2448, 11120
1707588698786, 1250535, -2528, -5744, 11776
1707588698797, 1250546, 848, -9216, 11040
1707588698808, 1250557, 1168, -13376, 10928
1707588698819, 1250568, 2720, -15824, 8720
1707588698829, 1250579, 3920, -17504, 5568
1707588698841, 1250590, 4240, -18960, 2352
1707588698851, 1250601, 3072, -18496, 1200
1707588698863, 1250612, 1648, -15936, 2048
1707588698874, 1250623, -624, -13264, 4080
1707588698885, 1250634, -2560, -10880, 6256
1707588698895, 1250645, -5440, -5104, 7216
1707588698907, 1250656, -9152, 112, 4512
1707588698918, 1250667, -12192, 10304, 3904
1707588698929, 1250678, -13536, 27360, 6128
1707588698940, 1250689, -21296, 32320, 8848
1707588698951, 1250700, -23328, 32640, 13232
1707588698963, 1250711, -26352, 32640, 16144
1707588698973, 1250722, -28736, 32640, 15744
1707588698984, 1250733, -28912, 20224, 9872
