Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707588432441, 984192, -6080, -3856, 3056
1707588432453, 984203, -6144, -3904, 3136
1707588432464, 984214, -6144, -4016, 3136
1707588432474, 984225, -6144, -3936, 2944
1707588432486, 984236, -6176, -3920, 2800
1707588432496, 984247, -6128, -3872, 2768
1707588432508, 984258, -6176, -3936, 2832
1707588432519, 984269, -6240, -3952, 2752
1707588432529, 984280, -6240, -3872, 2736
1707588432541, 984291, -6256, -3792, 2768
1707588432552, 984302, -6240, -3808, 2480
1707588432562, 984313, -6288, -3856, 2800
1707588432574, 984324, -6192, -3920, 2944
1707588432584, 984335, -6160, -3936, 2992
1707588432595, 984346, -6192, -3888, 2944
1707588432607, 984357, -6176, -3808, 2912
1707588432618, 984368, -5920, -3776, 2912
1707588432628, 984379, -6272, -3856, 2848
1707588432640, 984390, -6192, -3808, 2896
1707588432651, 984401, -6240, -3776, 2832
1707588432662, 984412, -6288, -3776, 2864
1707588432672, 984423, -6304, -3712, 2832
1707588432684, 984434, -6256, -3712, 2880
1707588432695, 984445, -6224, -3824, 3136
1707588432706, 984456, -6272, -3888, 3120
1707588432716, 984467, -6096, -4064, 3328
1707588432728, 984478, -6000, -4208, 3664
1707588432738, 984489, -6080, -4384, 3968
1707588432750, 984500, -5984, -4704, 4384
1707588432760, 984511, -5904, -5216, 4656
1707588432771, 984522, -5712, -5680, 4864
1707588432783, 984533, -5472, -6128, 5008
1707588432793, 984544, -5472, -6832, 5520
1707588432804, 984555, -5248, -7440, 6448
1707588432816, 984566, -5040, -8400, 8192
1707588432827, 984577, -5184, -9584, 9184
1707588432838, 984588, -5056, -9808, 9952
1707588432848, 984599, -4976, -10400, 10464
1707588432859, 984610, -5168, -11040, 10576
1707588432870, 984621, -6080, -11184, 10576
1707588432881, 984632, -6224, -10592, 10272
1707588432892, 984643, -6976, -10016, 9648
1707588432903, 984654, -7360, -9152, 8624
1707588432915, 984665, -7536, -8688, 8144
1707588432926, 984676, -7600, -8400, 7936
1707588432937, 984687, -7552, -8224, 7888
1707588432948, 984698, -7760, -7920, 7440
1707588432959, 984709, -7664, -6976, 6720
1707588432969, 984720, -7632, -6128, 5552
1707588432981, 984731, -7552, -5376, 4640
1707588432992, 984742, -7344, -4608, 3648
