Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708362180, 381503, -4048, -4928, 4256
1707708362190, 381513, -4048, -4928, 4256
1707708362200, 381523, -4048, -4896, 4320
1707708362210, 381533, -4080, -4880, 4256
1707708362220, 381543, -4064, -4880, 4240
1707708362230, 381553, -4080, -4912, 4272
1707708362240, 381563, -4144, -4976, 4304
1707708362250, 381573, -4032, -4912, 4256
1707708362260, 381583, -4016, -4960, 4256
1707708362270, 381593, -4048, -4960, 4256
1707708362280, 381603, -4016, -4960, 4320
1707708362290, 381613, -4032, -4928, 4272
1707708362300, 381623, -4080, -4960, 4208
1707708362310, 381633, -4096, -4960, 4240
1707708362320, 381643, -4096, -4896, 4240
1707708362330, 381653, -4048, -4944, 4192
1707708362340, 381663, -4128, -4960, 4272
1707708362350, 381673, -4080, -4960, 4240
1707708362360, 381683, -4032, -4880, 4272
1707708362370, 381693, -4080, -4928, 4224
1707708362380, 381703, -4080, -4912, 4160
1707708362390, 381713, -4032, -4960, 4208
1707708362400, 381723, -4080, -4928, 4224
1707708362410, 381733, -4080, -4928, 4224
1707708362420, 381743, -4032, -4992, 4240
1707708362430, 381753, -4032, -4960, 4224
1707708362440, 381763, -4080, -4944, 4208
1707708362450, 381773, -4080, -4944, 4176
1707708362460, 381783, -4064, -4960, 4160
1707708362470, 381793, -4096, -5008, 4192
1707708362480, 381803, -4064, -4944, 4224
1707708362490, 381813, -4080, -4976, 4240
1707708362500, 381823, -4112, -4912, 4256
1707708362510, 381833, -4032, -4960, 4256
1707708362520, 381843, -4064, -4928, 4240
1707708362530, 381853, -4064, -4944, 4224
1707708362540, 381863, -4064, -4960, 4192
1707708362550, 381873, -4112, -4880, 4192
1707708362560, 381883, -4112, -4880, 4128
1707708362570, 381893, -4112, -4864, 4128
1707708362580, 381903, -4096, -4848, 4192
1707708362590, 381913, -4096, -4928, 4240
1707708362600, 381923, -4080, -4960, 4256
1707708362610, 381933, -4064, -4912, 4272
1707708362620, 381943, -4048, -4960, 4288
1707708362630, 381953, -4064, -4976, 4304
1707708362640, 381963, -4000, -4976, 4288
1707708362650, 381973, -3968, -4976, 4320
1707708362660, 381983, -4048, -4976, 4224
1707708362670, 381993, -4000, -4976, 4320
1707708362680, 382003, -4016, -4992, 4304
1707708362690, 382013, -4048, -5008, 4208
1707708362700, 382023, -4032, -4992, 4208
1707708362710, 382033, -4000, -4864, 4176
1707708362720, 382043, -4016, -4864, 4208
