Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708149911, 169233, 2304, -3808, 7472
1707708149921, 169243, 2256, -3584, 7440
1707708149931, 169253, 2192, -3456, 7456
1707708149941, 169263, 2000, -3376, 7456
1707708149951, 169273, 1808, -3296, 7408
1707708149961, 169283, 1840, -3088, 7344
1707708149971, 169293, 1904, -2832, 7280
1707708149981, 169303, 2000, -2576, 7168
1707708149991, 169313, 1984, -2464, 6976
1707708150001, 169323, 1840, -2432, 6880
1707708150011, 169333, 1680, -2224, 6784
1707708150021, 169343, 1376, -2160, 6944
1707708150031, 169353, 1120, -1952, 7200
1707708150041, 169363, 848, -1664, 7408
1707708150051, 169373, 576, -1296, 7520
1707708150061, 169383, 432, -976, 7520
1707708150071, 169393, 304, -752, 7616
1707708150081, 169403, 144, -752, 7808
1707708150091, 169413, 112, -1072, 7920
1707708150101, 169423, 48, -1568, 7936
1707708150111, 169433, 112, -2272, 7744
1707708150121, 169443, 288, -2864, 7360
1707708150131, 169453, 480, -3216, 6848
1707708150141, 169463, 640, -3312, 6368
1707708150151, 169473, 832, -3344, 5952
1707708150161, 169483, 944, -3344, 5840
1707708150171, 169493, 896, -3472, 5856
1707708150181, 169503, 848, -3472, 6048
1707708150191, 169513, 784, -3184, 6368
1707708150201, 169523, 512, -2784, 6672
1707708150211, 169533, 256, -2496, 7200
1707708150221, 169543, -176, -2144, 7872
1707708150231, 169553, -624, -1952, 8496
1707708150241, 169563, -1024, -1776, 8816
1707708150251, 169573, -1440, -1648, 9040
1707708150261, 169583, -1904, -1504, 8992
1707708150271, 169593, -2448, -1536, 8896
1707708150281, 169603, -3024, -1376, 8720
1707708150291, 169613, -3424, -1200, 8464
1707708150301, 169623, -3968, -960, 8288
1707708150311, 169633, -3968, -1040, 8016
1707708150321, 169643, -4352, -1520, 7744
1707708150331, 169653, -5312, -2352, 7632
1707708150341, 169663, -6288, -3280, 7152
1707708150351, 169673, -6960, -4240, 6512
1707708150361, 169683, -7552, -5776, 5728
1707708150371, 169693, -8624, -6784, 5184
1707708150381, 169703, -9648, -7968, 4864
1707708150391, 169713, -10112, -9120, 4576
1707708150403, 169723, -10128, -10208, 3840
1707708150411, 169733, -9792, -11216, 2368
1707708150421, 169743, -9264, -12912, 704
1707708150431, 169753, -8656, -13808, -480
1707708150443, 169763, -7824, -14528, -1360
1707708150453, 169773, -6688, -13984, -2432
1707708150463, 169783, -5344, -14736, -3472
1707708150473, 169793, -5008, -14752, -4032
1707708150483, 169803, -4608, -14400, -4352
1707708150493, 169813, -4288, -13632, -4304
1707708150503, 169823, -4432, -12544, -3872
1707708150513, 169833, -5040, -11696, -2160
1707708150521, 169843, -5712, -10768, -688
1707708150531, 169853, -6240, -9920, 144
1707708150541, 169863, -6592, -9408, 512
1707708150551, 169873, -7104, -9152, 1120
1707708150561, 169883, -7488, -9152, 1536
1707708150571, 169893, -7776, -9088, 1872
1707708150581, 169903, -8128, -9440, 2288
1707708150591, 169913, -8592, -9904, 2800
1707708150601, 169923, -9168, -10496, 3136
1707708150611, 169933, -9536, -11552, 3440
1707708150621, 169943, -9872, -12320, 3616
1707708150633, 169953, -10160, -12224, 3328
1707708150641, 169963, -9856, -11408, 2688
1707708150651, 169973, -9840, -11056, 2368
1707708150663, 169983, -10000, -11056, 2080
1707708150673, 169993, -10144, -10992, 1936
1707708150683, 170003, -10160, -10528, 1744
1707708150693, 170013, -10016, -10032, 2048
1707708150701, 170023, -10016, -9920, 2704
1707708150711, 170033, -9984, -10080, 3552
1707708150721, 170043, -9760, -10560, 4544
1707708150731, 170053, -9232, -11104, 5312
1707708150741, 170063, -8768, -11760, 5712
1707708150751, 170073, -8576, -12336, 5904
1707708150761, 170083, -8496, -12704, 6304
1707708150771, 170093, -8512, -12848, 6944
1707708150781, 170103, -8640, -12736, 7616
1707708150791, 170113, -8688, -12416, 8384
1707708150801, 170123, -8528, -12048, 9120
1707708150811, 170133, -8064, -11744, 9712
1707708150821, 170143, -7280, -11488, 9504
1707708150831, 170153, -6672, -11424, 9296
1707708150841, 170163, -6896, -12064, 9424
1707708150851, 170173, -7536, -12256, 9520
1707708150861, 170183, -7920, -12112, 9584
1707708150871, 170193, -8384, -11616, 9360
1707708150881, 170203, -9008, -10960, 8912
1707708150893, 170213, -10096, -10112, 8448
1707708150901, 170223, -11248, -8896, 7920
1707708150911, 170233, -12624, -7584, 7632
1707708150921, 170243, -13984, -5520, 7680
1707708150931, 170253, -14688, -2256, 7936
1707708150941, 170263, -14400, 1920, 8448
1707708150951, 170273, -13136, 6224, 9168
1707708150961, 170283, -11488, 9872, 10368
1707708150971, 170293, -9872, 11984, 11168
1707708150981, 170303, -8080, 12576, 11104
1707708150991, 170313, -7344, 10960, 11056
1707708151001, 170323, -6864, 8896, 10816
1707708151011, 170333, -6400, 7184, 10464
1707708151021, 170343, -5584, 6128, 9456
1707708151031, 170353, -4128, 6112, 8000
1707708151041, 170363, -3040, 5952, 6624
1707708151051, 170373, -2128, 5312, 5696
1707708151061, 170383, -1392, 4560, 5072
1707708151071, 170393, -960, 3984, 4624
1707708151081, 170403, -496, 3280, 4464
1707708151091, 170413, -64, 2656, 4336
1707708151101, 170423, 176, 2128, 4240
1707708151111, 170433, 560, 1616, 4112
1707708151121, 170443, 1072, 1152, 4016
1707708151131, 170453, 1536, 704, 3904
1707708151141, 170463, 1952, 320, 3744
1707708151151, 170473, 2256, 144, 3632
1707708151161, 170483, 2432, 112, 3488
1707708151171, 170493, 2608, 0, 3632
1707708151181, 170503, 2720, -288, 3792
1707708151191, 170513, 2960, -752, 3920
1707708151201, 170523, 2896, -1264, 4000
1707708151211, 170533, 2880, -1984, 4064
1707708151221, 170543, 2784, -2592, 4032
1707708151231, 170553, 2704, -2992, 3984
1707708151241, 170563, 2880, -3184, 3760
1707708151251, 170573, 3040, -3264, 3776
