Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708286510, 305833, 4336, -6192, 4080
1707708286520, 305843, 4416, -6096, 4160
1707708286530, 305853, 4368, -6064, 4208
1707708286540, 305863, 4368, -6048, 4208
1707708286550, 305873, 4384, -5952, 4160
1707708286560, 305883, 4352, -5760, 3984
1707708286570, 305893, 4304, -5648, 3856
1707708286580, 305903, 4192, -5504, 3792
1707708286590, 305913, 4192, -5344, 3936
1707708286600, 305923, 4032, -5328, 3936
1707708286610, 305933, 4000, -5120, 3824
1707708286620, 305943, 4032, -5008, 3776
1707708286630, 305953, 3920, -4864, 3744
1707708286640, 305963, 3936, -4784, 3712
1707708286650, 305973, 3904, -4752, 3792
1707708286660, 305983, 4048, -4704, 3776
1707708286670, 305993, 4160, -4736, 3920
1707708286680, 306003, 4288, -4880, 4096
1707708286690, 306013, 4272, -4992, 4304
1707708286700, 306023, 4304, -5072, 4384
1707708286710, 306033, 4272, -5232, 4464
1707708286720, 306043, 4352, -5360, 4576
1707708286730, 306053, 4336, -5552, 4592
1707708286740, 306063, 4224, -5632, 4640
1707708286750, 306073, 4176, -5664, 4752
1707708286760, 306083, 4064, -5584, 4656
1707708286770, 306093, 4000, -5248, 4496
1707708286780, 306103, 3920, -4960, 4368
1707708286790, 306113, 3632, -5024, 4464
1707708286800, 306123, 3488, -4848, 4640
1707708286810, 306133, 3296, -5120, 4736
1707708286820, 306143, 3088, -5296, 4784
1707708286830, 306153, 2912, -5616, 4672
1707708286840, 306163, 2672, -5936, 4608
1707708286850, 306173, 2080, -6000, 4480
1707708286860, 306183, 1520, -6128, 4432
1707708286870, 306193, 1216, -6208, 4272
1707708286880, 306203, 288, -6400, 4032
1707708286890, 306213, -96, -6672, 3952
1707708286900, 306223, -528, -6816, 4032
1707708286910, 306233, -912, -6864, 4256
1707708286920, 306243, -1760, -5952, 3904
1707708286930, 306253, -2592, -5264, 3456
1707708286940, 306263, -2400, -6608, 3808
1707708286950, 306273, -2256, -7520, 4160
1707708286960, 306283, -2000, -8240, 4528
1707708286970, 306293, -1664, -8736, 4720
1707708286980, 306303, -1216, -9040, 4864
1707708286990, 306313, -768, -9408, 5024
1707708287000, 306323, -384, -9920, 5328
1707708287010, 306333, 0, -10048, 5520
1707708287020, 306343, 128, -9648, 5712
1707708287030, 306353, 384, -8912, 5792
1707708287040, 306363, 416, -8368, 6032
1707708287050, 306373, 400, -8208, 6384
1707708287060, 306383, 368, -8112, 7008
1707708287070, 306393, 448, -7920, 7312
1707708287080, 306403, 256, -7712, 7360
1707708287090, 306413, 64, -8000, 7344
1707708287100, 306423, 288, -8416, 7104
1707708287110, 306433, 736, -8784, 6736
1707708287120, 306443, 1440, -9104, 6496
1707708287130, 306453, 1840, -9568, 6512
1707708287140, 306463, 1888, -9776, 7168
1707708287150, 306473, 1824, -9600, 8000
1707708287160, 306483, 1648, -9024, 8736
1707708287170, 306493, 1392, -8288, 9472
1707708287180, 306503, 1168, -7664, 10064
1707708287190, 306513, 1184, -7184, 10640
1707708287200, 306523, 1296, -7296, 11392
1707708287210, 306533, 1632, -7952, 11776
1707708287220, 306543, 2176, -8496, 11984
1707708287230, 306553, 2928, -8736, 11856
1707708287240, 306563, 3696, -8624, 11472
1707708287250, 306573, 4240, -8128, 10992
1707708287260, 306583, 4224, -7312, 10704
1707708287270, 306593, 4128, -6512, 10528
1707708287280, 306603, 4000, -5536, 10336
1707708287290, 306613, 3712, -4256, 10016
1707708287300, 306623, 3552, -3168, 9904
1707708287310, 306633, 3616, -2416, 9824
1707708287320, 306643, 3760, -1888, 9504
1707708287330, 306653, 3920, -1680, 8608
1707708287340, 306663, 4256, -1872, 7648
1707708287350, 306673, 4720, -2448, 6912
1707708287360, 306683, 5232, -2896, 6080
1707708287370, 306693, 5840, -3648, 5424
1707708287380, 306703, 6496, -4064, 4576
1707708287390, 306713, 6736, -4192, 3792
1707708287400, 306723, 6832, -4160, 3200
1707708287410, 306733, 6768, -3904, 3008
1707708287420, 306743, 6768, -3536, 3152
1707708287430, 306753, 6640, -3184, 3440
1707708287440, 306763, 6576, -2960, 3776
1707708287450, 306773, 6368, -2880, 4272
1707708287460, 306783, 6496, -2896, 4944
1707708287470, 306793, 6832, -3424, 5712
1707708287480, 306803, 7168, -4304, 6672
1707708287490, 306813, 6928, -5088, 7200
1707708287500, 306823, 6048, -5664, 7184
1707708287510, 306833, 4160, -5872, 6736
1707708287520, 306843, 1296, -5136, 5856
1707708287530, 306853, -1952, -3856, 4720
1707708287540, 306863, -5136, -1376, 3696
1707708287550, 306873, -7616, 1984, 3072
1707708287560, 306883, -8688, 5024, 3776
1707708287570, 306893, -8624, 7696, 5008
1707708287580, 306903, -7952, 9952, 6304
1707708287590, 306913, -6016, 11504, 6480
1707708287600, 306923, -5360, 11088, 6176
1707708287610, 306933, -5232, 9744, 5776
1707708287620, 306943, -4096, 9152, 4784
1707708287630, 306953, -3408, 8128, 3120
1707708287640, 306963, -3088, 7312, 1840
1707708287650, 306973, -3360, 7008, 768
1707708287660, 306983, -4080, 7568, -288
1707708287670, 306993, -4928, 8944, -1152
1707708287680, 307003, -5872, 10400, -1376
1707708287690, 307013, -6400, 10896, -1168
1707708287700, 307023, -6576, 10528, -528
1707708287710, 307033, -6608, 9472, 224
1707708287720, 307043, -6688, 8704, 608
1707708287730, 307053, -7248, 9056, 960
1707708287740, 307063, -7712, 10256, 1056
1707708287750, 307073, -8096, 11776, 960
1707708287760, 307083, -8096, 12608, 912
1707708287770, 307093, -7936, 12912, 992
1707708287780, 307103, -7408, 12560, 992
1707708287790, 307113, -6880, 11616, 1280
1707708287800, 307123, -6544, 10640, 1952
1707708287810, 307133, -6768, 10048, 2720
1707708287820, 307143, -7424, 10144, 3440
1707708287830, 307153, -8064, 10176, 3904
1707708287840, 307163, -8544, 9872, 4544
1707708287850, 307173, -9120, 9136, 5168
1707708287860, 307183, -9568, 8544, 5712
1707708287870, 307193, -10320, 8368, 6320
1707708287880, 307203, -11056, 8928, 7120
1707708287890, 307213, -11504, 9632, 8192
1707708287900, 307223, -11872, 10448, 8944
1707708287910, 307233, -12096, 10592, 9488
1707708287920, 307243, -11648, 9824, 10144
1707708287930, 307253, -11408, 8640, 10880
1707708287940, 307263, -11632, 7744, 11440
1707708287950, 307273, -12176, 7504, 11248
1707708287960, 307283, -12448, 7664, 10560
1707708287970, 307293, -12944, 7824, 9392
1707708287980, 307303, -13360, 7248, 8224
1707708287990, 307313, -13632, 5488, 7264
1707708288000, 307323, -13536, 2736, 6368
1707708288010, 307333, -12944, -1360, 5440
1707708288020, 307343, -12848, -4560, 5248
1707708288030, 307353, -13840, -5808, 5584
1707708288040, 307363, -14384, -6368, 4672
1707708288052, 307373, -15376, -11984, 3104
1707708288062, 307383, -16464, -17776, 1136
1707708288070, 307393, -18192, -20208, 960
1707708288082, 307403, -20304, -22512, 2048
1707708288092, 307413, -22688, -22656, 4544
1707708288102, 307423, -24912, -22176, 7456
1707708288112, 307433, -27328, -23184, 9296
1707708288122, 307443, -29744, -24864, 9696
1707708288132, 307453, -31168, -30912, 8544
1707708288142, 307463, -30176, -32528, 6784
1707708288152, 307473, -23568, -32624, 3408
1707708288162, 307483, -13680, -32624, -1872
1707708288172, 307493, -3840, -32624, -8784
1707708288182, 307503, 3360, -32448, -12816
1707708288192, 307513, 5568, -30064, -11040
1707708288200, 307523, 6512, -24848, -4544
1707708288210, 307533, 5856, -22288, 5232
1707708288220, 307543, 4176, -22880, 14544
1707708288230, 307553, 2080, -21440, 18288
1707708288240, 307563, 720, -18112, 15456
1707708288250, 307573, 64, -15504, 8304
1707708288260, 307583, 128, -13968, 448
1707708288270, 307593, 368, -12624, -5616
1707708288280, 307603, 112, -12928, -8096
1707708288290, 307613, 320, -13808, -7968
1707708288300, 307623, 656, -14064, -6448
1707708288310, 307633, 448, -14064, -4144
1707708288320, 307643, 288, -13648, -1888
1707708288330, 307653, 528, -13056, -112
1707708288340, 307663, 800, -12688, 1360
1707708288350, 307673, 1168, -12976, 2736
1707708288360, 307683, 1744, -13728, 3632
1707708288370, 307693, 2224, -14032, 3568
1707708288380, 307703, 2240, -14288, 2960
1707708288390, 307713, 2320, -14336, 2592
1707708288400, 307723, 2336, -14048, 1664
1707708288410, 307733, 2096, -13616, 384
1707708288420, 307743, 1888, -13072, -800
1707708288430, 307753, 1552, -12144, -1472
1707708288440, 307763, 832, -10784, -1488
1707708288450, 307773, 576, -9712, -880
1707708288460, 307783, 384, -8864, -448
1707708288470, 307793, -32, -8208, 0
1707708288480, 307803, -32, -7680, 592
1707708288490, 307813, -128, -7280, 1008
1707708288500, 307823, 192, -7120, 880
1707708288510, 307833, 272, -6512, 880
1707708288520, 307843, -112, -6704, 1584
1707708288530, 307853, -304, -6304, 1760
1707708288540, 307863, -304, -6112, 1088
1707708288550, 307873, 128, -5712, 784
1707708288560, 307883, -80, -4560, 16
1707708288570, 307893, -832, -5696, -160
1707708288580, 307903, 384, -5664, 304
1707708288590, 307913, -1728, -5744, 272
1707708288600, 307923, -336, -7984, 816
1707708288610, 307933, -1120, -9968, 1632
1707708288620, 307943, -1520, -9264, 1904
1707708288630, 307953, -720, -7072, 1392
1707708288640, 307963, 736, -2144, 928
1707708288650, 307973, 144, -2320, 1056
