Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708198212, 217533, -128, -8080, 9088
1707708198222, 217543, -368, -8320, 9312
1707708198232, 217553, -448, -8624, 9280
1707708198242, 217563, -512, -8624, 8928
1707708198252, 217573, -544, -8368, 8544
1707708198262, 217583, -560, -8320, 7952
1707708198272, 217593, -464, -8544, 7424
1707708198282, 217603, -368, -8656, 6832
1707708198292, 217613, -384, -8784, 6416
1707708198302, 217623, -544, -8832, 6064
1707708198312, 217633, -720, -8640, 5856
1707708198322, 217643, -928, -8384, 5632
1707708198332, 217653, -992, -8096, 5376
1707708198342, 217663, -1184, -7744, 5136
1707708198352, 217673, -1456, -7472, 4816
1707708198362, 217683, -1696, -7152, 4640
1707708198372, 217693, -1872, -6848, 4400
1707708198382, 217703, -2128, -6672, 4176
1707708198392, 217713, -2416, -6528, 3952
1707708198402, 217723, -2752, -6288, 3856
1707708198412, 217733, -3056, -6064, 3840
1707708198422, 217743, -3360, -6192, 3968
1707708198432, 217753, -3888, -6416, 4096
1707708198442, 217763, -4432, -6496, 3824
1707708198452, 217773, -4848, -6368, 3520
1707708198462, 217783, -5088, -6272, 3184
1707708198472, 217793, -5216, -6080, 2624
1707708198482, 217803, -5456, -5984, 2272
1707708198492, 217813, -5808, -5632, 1760
1707708198502, 217823, -6240, -5280, 1696
1707708198512, 217833, -6816, -4672, 1600
1707708198522, 217843, -7392, -3824, 1552
1707708198532, 217853, -8000, -2800, 1744
1707708198542, 217863, -8368, -1808, 2160
1707708198552, 217873, -8928, -816, 2704
1707708198562, 217883, -9232, -176, 3408
1707708198572, 217893, -9392, 16, 3760
1707708198582, 217903, -9360, -64, 3856
1707708198592, 217913, -9120, -352, 3760
1707708198602, 217923, -8976, -992, 3920
1707708198612, 217933, -9584, -1584, 4368
1707708198622, 217943, -10512, -1040, 5104
1707708198632, 217953, -11056, -464, 6112
1707708198642, 217963, -11600, -480, 7360
1707708198652, 217973, -11984, -768, 8448
1707708198662, 217983, -12240, -1440, 9584
1707708198672, 217993, -12400, -1872, 10320
1707708198682, 218003, -12832, -2784, 11360
1707708198692, 218013, -13920, -3920, 12256
1707708198702, 218023, -15152, -4800, 12816
1707708198712, 218033, -16176, -4752, 13120
1707708198722, 218043, -16880, -4368, 13088
1707708198732, 218053, -17616, -3792, 12736
1707708198742, 218063, -18208, -3056, 12592
