Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708473710, 493033, -4976, -4752, 3072
1707708473720, 493043, -4992, -4816, 3040
1707708473730, 493053, -4976, -4752, 3056
1707708473740, 493063, -5024, -4720, 3008
1707708473750, 493073, -5056, -4736, 2848
1707708473760, 493083, -5056, -4656, 3072
1707708473770, 493093, -5056, -4672, 3104
1707708473780, 493103, -5152, -4720, 3072
1707708473790, 493113, -5200, -4672, 3120
1707708473800, 493123, -5152, -4656, 3056
1707708473810, 493133, -5056, -4688, 3168
1707708473820, 493143, -5088, -4688, 3024
1707708473830, 493153, -5040, -4704, 3040
1707708473840, 493163, -5056, -4752, 3152
1707708473850, 493173, -5008, -4800, 3152
1707708473860, 493183, -4992, -4800, 3136
1707708473870, 493193, -5008, -4928, 3120
1707708473880, 493203, -5040, -4960, 3088
1707708473890, 493213, -5024, -5088, 3088
1707708473900, 493223, -5040, -5088, 2992
1707708473910, 493233, -4992, -5088, 3024
1707708473920, 493243, -4912, -5136, 3072
1707708473930, 493253, -4768, -5216, 3104
1707708473940, 493263, -4816, -5376, 3136
1707708473950, 493273, -4864, -5616, 3120
1707708473960, 493283, -4816, -5728, 3008
1707708473970, 493293, -4704, -5808, 2944
1707708473980, 493303, -4384, -6128, 3184
1707708473990, 493313, -4160, -6624, 3424
1707708474000, 493323, -4032, -7408, 3696
1707708474010, 493333, -3840, -8480, 4144
1707708474020, 493343, -3520, -9936, 4400
1707708474030, 493353, -2960, -11376, 4768
1707708474040, 493363, -2496, -12800, 5200
1707708474050, 493373, -2512, -14000, 5616
1707708474060, 493383, -2688, -14864, 5952
1707708474070, 493393, -2928, -15504, 6016
1707708474080, 493403, -3392, -15712, 6080
1707708474090, 493413, -3760, -15280, 6016
1707708474100, 493423, -4208, -14464, 6112
1707708474110, 493433, -4304, -13616, 5968
1707708474120, 493443, -4560, -12864, 6112
1707708474130, 493453, -4448, -11888, 6736
1707708474140, 493463, -4112, -11392, 7168
1707708474150, 493473, -4112, -11072, 7376
1707708474160, 493483, -4064, -10704, 7184
1707708474170, 493493, -4528, -10544, 7312
1707708474180, 493503, -4816, -9872, 7456
1707708474190, 493513, -5216, -9344, 7600
1707708474200, 493523, -5408, -8736, 7664
1707708474210, 493533, -5312, -7712, 7536
1707708474220, 493543, -5248, -6736, 7520
1707708474230, 493553, -5280, -6096, 7648
1707708474240, 493563, -5296, -5568, 7584
1707708474250, 493573, -5472, -5440, 7408
1707708474260, 493583, -5360, -5328, 7200
1707708474270, 493593, -5312, -5296, 7248
1707708474280, 493603, -5024, -5088, 7088
1707708474290, 493613, -4656, -4784, 6608
1707708474300, 493623, -4448, -4800, 6480
1707708474310, 493633, -4320, -4416, 6528
1707708474320, 493643, -4240, -4496, 6640
1707708474330, 493653, -4336, -4592, 6736
1707708474340, 493663, -4576, -4816, 6736
1707708474350, 493673, -4768, -4528, 6896
1707708474360, 493683, -4960, -3760, 7024
1707708474370, 493693, -5104, -2656, 7152
1707708474380, 493703, -5040, -1744, 7472
1707708474390, 493713, -4608, -1632, 7856
1707708474400, 493723, -4304, -2016, 8096
1707708474410, 493733, -4320, -1728, 8256
1707708474420, 493743, -4192, -1312, 8000
1707708474430, 493753, -3584, -1312, 7776
1707708474440, 493763, -2592, -1424, 7408
1707708474450, 493773, -1728, -1984, 7056
1707708474460, 493783, -1120, -2352, 6496
1707708474470, 493793, -992, -1952, 5536
1707708474480, 493803, -1072, -1456, 4400
1707708474490, 493813, -1296, -912, 3696
1707708474500, 493823, -1136, -368, 3824
1707708474510, 493833, -1456, 176, 4832
1707708474520, 493843, -2352, 1248, 6128
1707708474530, 493853, -3248, 2240, 6944
1707708474540, 493863, -3872, 2400, 7616
1707708474550, 493873, -4432, 2656, 8112
1707708474560, 493883, -5040, 2464, 8864
1707708474570, 493893, -5792, 1824, 9728
1707708474580, 493903, -5792, 1312, 10176
1707708474590, 493913, -6320, 1200, 10720
1707708474600, 493923, -6736, 1184, 11552
1707708474610, 493933, -7008, 1456, 11952
1707708474620, 493943, -6848, 1328, 12144
1707708474630, 493953, -6928, 1088, 11952
1707708474640, 493963, -7488, 1280, 11472
1707708474650, 493973, -7600, 1232, 10736
1707708474660, 493983, -7840, 1584, 9984
1707708474670, 493993, -7712, 2752, 9104
1707708474680, 494003, -7632, 2960, 7664
1707708474690, 494013, -7344, 3056, 5984
1707708474700, 494023, -7072, 2944, 4672
1707708474710, 494033, -6448, 2640, 3600
1707708474720, 494043, -5872, 2336, 2672
1707708474730, 494053, -5280, 1776, 1936
1707708474740, 494063, -4864, 1328, 1520
1707708474750, 494073, -4512, 1024, 1504
1707708474760, 494083, -4384, 640, 1552
1707708474770, 494093, -4256, 384, 1296
1707708474780, 494103, -4128, 320, 384
1707708474790, 494113, -4304, 528, -1072
1707708474800, 494123, -4112, 880, -2352
1707708474810, 494133, -4128, 1104, -2944
1707708474820, 494143, -4096, 1168, -3072
1707708474830, 494153, -4032, 688, -3280
1707708474840, 494163, -3744, 96, -3360
1707708474850, 494173, -3632, -496, -3472
1707708474860, 494183, -3888, -464, -3808
1707708474870, 494193, -4112, -64, -4576
1707708474880, 494203, -4272, 160, -5552
1707708474890, 494213, -4800, 160, -5600
1707708474900, 494223, -5072, -192, -5600
1707708474910, 494233, -5440, -1184, -5616
1707708474920, 494243, -6400, -2048, -6032
1707708474930, 494253, -7504, -2112, -7136
1707708474940, 494263, -7456, -3392, -9296
1707708474950, 494273, -8960, -2816, -9920
1707708474960, 494283, -9664, -2912, -11216
1707708474970, 494293, -9952, -2736, -12624
1707708474980, 494303, -10480, -2640, -14384
1707708474990, 494313, -10992, -2160, -16288
1707708475000, 494323, -10944, -2080, -17216
1707708475010, 494333, -10880, -2832, -17168
1707708475020, 494343, -11088, -3216, -17360
1707708475030, 494353, -11136, -3136, -18096
1707708475040, 494363, -11184, -3088, -18864
1707708475050, 494373, -10944, -2336, -19280
1707708475060, 494383, -10336, -1584, -19504
1707708475070, 494393, -9744, -1456, -19824
1707708475080, 494403, -8992, -1888, -19616
1707708475090, 494413, -8288, -2304, -19168
1707708475100, 494423, -7840, -2400, -18752
1707708475110, 494433, -9760, 3728, -14208
1707708475120, 494443, -8400, 1056, -15648
1707708475130, 494453, -8336, 80, -16944
1707708475140, 494463, -6144, -624, -17648
1707708475150, 494473, -6656, -48, -14976
1707708475160, 494483, -6896, 32, -12960
1707708475170, 494493, -7232, -64, -11712
1707708475180, 494503, -7216, 816, -10528
1707708475190, 494513, -7152, 320, -9344
1707708475200, 494523, -6960, -336, -8208
1707708475210, 494533, -6688, 128, -6608
1707708475220, 494543, -6432, -80, -6080
1707708475230, 494553, -6144, -544, -5968
1707708475240, 494563, -5536, -640, -6064
1707708475250, 494573, -4928, -2032, -6784
1707708475260, 494583, -4352, -2736, -7344
1707708475270, 494593, -3984, -3008, -7008
1707708475280, 494603, -3760, -3520, -6064
1707708475290, 494613, -3504, -3632, -4736
1707708475300, 494623, -3440, -3760, -3456
1707708475310, 494633, -3152, -3760, -2656
1707708475320, 494643, -2576, -3808, -2320
1707708475330, 494653, -1952, -4064, -2384
1707708475340, 494663, -1424, -4416, -1888
1707708475350, 494673, -1024, -4752, -960
1707708475360, 494683, -560, -5056, -384
1707708475370, 494693, -160, -5488, -48
1707708475380, 494703, 144, -5856, 272
1707708475390, 494713, 256, -5840, 368
1707708475400, 494723, -32, -5616, 192
1707708475410, 494733, -368, -4912, 32
1707708475420, 494743, -848, -4080, 336
1707708475430, 494753, -1600, -3008, 1216
1707708475440, 494763, -2048, -2032, 2608
1707708475450, 494773, -2496, -1552, 3696
1707708475460, 494783, -2848, -880, 4240
1707708475470, 494793, -3200, -592, 4320
1707708475480, 494803, -3488, -656, 4272
1707708475490, 494813, -4416, -704, 4688
1707708475500, 494823, -5280, -352, 6640
1707708475510, 494833, -5744, 144, 9200
1707708475520, 494843, -6160, 544, 10848
1707708475530, 494853, -6480, 480, 11824
1707708475540, 494863, -6912, 864, 12016
1707708475550, 494873, -7232, 1600, 11840
1707708475560, 494883, -7872, 2272, 12128
1707708475570, 494893, -8512, 3024, 12928
1707708475580, 494903, -9504, 3648, 14528
1707708475590, 494913, -10272, 3744, 16736
1707708475600, 494923, -10272, 2896, 18688
1707708475610, 494933, -9952, 1136, 19776
1707708475620, 494943, -9280, -672, 19696
1707708475630, 494953, -8464, -2624, 19072
1707708475640, 494963, -8464, -4192, 18112
1707708475650, 494973, -7776, -5024, 17200
1707708475660, 494983, -7296, -5168, 16688
1707708475670, 494993, -7280, -4912, 16832
1707708475680, 495003, -7360, -4720, 17520
1707708475690, 495013, -7648, -4560, 17616
1707708475700, 495023, -8032, -3824, 17408
1707708475710, 495033, -8192, -2656, 17072
1707708475720, 495043, -8592, -1632, 16784
1707708475730, 495053, -8528, -960, 15872
1707708475740, 495063, -8096, -1120, 14416
1707708475750, 495073, -8176, -2448, 12832
1707708475760, 495083, -9088, -4064, 12032
1707708475770, 495093, -7648, -3408, 10576
1707708475780, 495103, -7808, -4272, 9472
1707708475790, 495113, -8720, -5120, 8800
1707708475800, 495123, -8832, -3536, 8064
1707708475810, 495133, -8128, -1888, 7152
1707708475820, 495143, -7872, -2160, 6112
1707708475830, 495153, -7680, -3264, 5088
1707708475840, 495163, -7584, -5440, 4256
1707708475850, 495173, -7408, -8432, 3664
1707708475860, 495183, -6960, -10208, 2992
1707708475870, 495193, -6304, -10352, 2160
1707708475880, 495203, -5808, -9056, 1488
1707708475890, 495213, -5184, -7312, 1376
1707708475900, 495223, -4896, -6080, 1872
1707708475910, 495233, -5136, -6432, 2560
1707708475920, 495243, -4976, -7280, 2944
1707708475930, 495253, -4416, -8608, 2752
1707708475940, 495263, -3536, -9712, 2080
1707708475950, 495273, -2944, -10112, 1792
1707708475960, 495283, -2400, -9696, 1664
1707708475970, 495293, -2000, -9264, 1616
1707708475980, 495303, -1440, -8512, 1136
1707708475990, 495313, -1248, -8032, 1024
1707708476000, 495323, -976, -7712, 992
1707708476010, 495333, -880, -7760, 1184
1707708476020, 495343, -1168, -8048, 1424
1707708476030, 495353, -1520, -7840, 1712
1707708476040, 495363, -1424, -7712, 2320
1707708476050, 495373, -1504, -7872, 3088
1707708476060, 495383, -1472, -7600, 3552
1707708476070, 495393, -1552, -6752, 3744
1707708476080, 495403, -2016, -6912, 4096
1707708476090, 495413, -2000, -7984, 4528
1707708476100, 495423, -1568, -9376, 4752
1707708476110, 495433, -1024, -10048, 4656
1707708476120, 495443, -864, -9440, 4720
1707708476130, 495453, 2384, -4368, 1872
