Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708318750, 338073, 1216, -4688, 6048
1707708318760, 338083, 1216, -4992, 6400
1707708318770, 338093, 1232, -5312, 6640
1707708318780, 338103, 1296, -5504, 6816
1707708318790, 338113, 1200, -5472, 6784
1707708318800, 338123, 1168, -5040, 6720
1707708318810, 338133, 1280, -4784, 6368
1707708318820, 338143, 1152, -4608, 6064
1707708318830, 338153, 992, -4736, 6288
1707708318840, 338163, 976, -4992, 6624
1707708318850, 338173, 736, -5616, 6880
1707708318860, 338183, 528, -6400, 7232
1707708318870, 338193, 400, -6960, 7264
1707708318880, 338203, 208, -7664, 7088
1707708318890, 338213, 448, -7872, 6704
1707708318900, 338223, 416, -7808, 6016
1707708318910, 338233, 176, -7504, 5472
1707708318920, 338243, -208, -7104, 5088
1707708318930, 338253, -512, -6320, 4512
1707708318940, 338263, -784, -5536, 4000
1707708318950, 338273, -1008, -5072, 3792
1707708318960, 338283, -1296, -5056, 4112
1707708318970, 338293, -1664, -5296, 4768
1707708318980, 338303, -1936, -5616, 5440
1707708318990, 338313, -2096, -5856, 5792
1707708319000, 338323, -2128, -5824, 5920
1707708319010, 338333, -2320, -5632, 5680
1707708319020, 338343, -2736, -5216, 5376
1707708319030, 338353, -3360, -4624, 5296
1707708319040, 338363, -4000, -3984, 5456
1707708319050, 338373, -4720, -3840, 6176
1707708319060, 338383, -5296, -4560, 7392
1707708319070, 338393, -5712, -6560, 8496
1707708319080, 338403, -5600, -9328, 9264
1707708319090, 338413, -5056, -12288, 9120
1707708319100, 338423, -4752, -14656, 8112
1707708319110, 338433, -4848, -16112, 6576
1707708319120, 338443, -5280, -16864, 4784
1707708319130, 338453, -5200, -17424, 3216
1707708319140, 338463, -5088, -17072, 1296
1707708319150, 338473, -4896, -16336, -816
1707708319160, 338483, -4736, -16192, -2896
1707708319170, 338493, -4848, -16400, -4016
1707708319180, 338503, -5024, -16592, -3440
1707708319190, 338513, -5200, -16240, -1824
1707708319200, 338523, -5648, -15504, -288
1707708319210, 338533, -6224, -14816, 816
1707708319220, 338543, -6736, -14112, 1504
1707708319230, 338553, -7232, -13408, 1760
1707708319240, 338563, -7936, -12768, 1968
1707708319250, 338573, -8160, -12160, 1792
1707708319260, 338583, -8480, -11120, 1504
1707708319270, 338593, -8656, -10688, 1136
1707708319280, 338603, -8288, -10288, 1040
1707708319290, 338613, -8064, -9952, 960
1707708319300, 338623, -7520, -9920, 368
1707708319310, 338633, -7120, -9728, -224
1707708319320, 338643, -6848, -9472, -976
1707708319330, 338653, -6624, -8992, -2032
1707708319340, 338663, -6400, -8480, -3040
1707708319350, 338673, -6208, -8176, -3392
1707708319360, 338683, -5888, -7632, -3024
1707708319370, 338693, -5680, -7136, -2544
1707708319380, 338703, -5568, -6736, -2016
1707708319390, 338713, -5248, -6240, -1712
1707708319400, 338723, -5008, -6032, -1456
1707708319410, 338733, -4640, -6096, -1552
1707708319420, 338743, -4112, -5888, -2576
1707708319430, 338753, -3824, -6000, -3824
1707708319440, 338763, -3232, -6064, -4928
1707708319450, 338773, -2768, -6224, -5840
1707708319460, 338783, -2288, -6944, -6000
1707708319470, 338793, -2064, -7440, -5600
1707708319480, 338803, -2144, -7536, -4848
1707708319490, 338813, -2208, -7152, -4192
1707708319500, 338823, -2336, -6464, -3744
1707708319510, 338833, -2640, -5856, -3360
1707708319520, 338843, -2656, -5392, -3008
1707708319530, 338853, -2608, -4752, -2784
1707708319540, 338863, -2752, -4080, -2688
1707708319550, 338873, -2672, -3408, -2560
1707708319560, 338883, -2592, -2560, -2816
1707708319570, 338893, -2608, -1808, -3056
1707708319580, 338903, -2448, -1248, -3216
1707708319590, 338913, -2160, -912, -3264
1707708319600, 338923, -1776, -1120, -3136
1707708319610, 338933, -1472, -1184, -2928
1707708319620, 338943, -1472, -1152, -2896
1707708319630, 338953, -1232, -960, -2912
1707708319640, 338963, -1104, -672, -2976
1707708319650, 338973, -1104, -400, -2976
1707708319660, 338983, -1248, -224, -2944
1707708319670, 338993, -1056, -224, -2928
1707708319680, 339003, -928, -160, -2864
1707708319690, 339013, -1040, -64, -2688
1707708319700, 339023, -1280, 288, -2448
1707708319710, 339033, -1472, 592, -2000
1707708319720, 339043, -1584, 944, -1392
1707708319730, 339053, -1760, 1168, -864
1707708319740, 339063, -1872, 1200, -384
1707708319750, 339073, -2112, 1088, 192
1707708319760, 339083, -2336, 1120, 1040
1707708319770, 339093, -2608, 1248, 2064
1707708319780, 339103, -2896, 1696, 3200
1707708319790, 339113, -3328, 2336, 4240
1707708319800, 339123, -3664, 2768, 5232
1707708319810, 339133, -3792, 2800, 6128
1707708319820, 339143, -4032, 2704, 6688
1707708319830, 339153, -4496, 2416, 6832
1707708319840, 339163, -4864, 2192, 7568
1707708319850, 339173, -5200, 2288, 8448
1707708319860, 339183, -5504, 2624, 9696
1707708319870, 339193, -6000, 3056, 11280
1707708319880, 339203, -6032, 3328, 12896
1707708319890, 339213, -5664, 3152, 14176
1707708319900, 339223, -5312, 2464, 14704
1707708319910, 339233, -5024, 1504, 14576
1707708319920, 339243, -4592, 480, 13904
1707708319930, 339253, -4192, -528, 12928
1707708319940, 339263, -4064, -1408, 12032
1707708319950, 339273, -4048, -2128, 11184
1707708319960, 339283, -4208, -2816, 10592
1707708319970, 339293, -4272, -3072, 10368
1707708319980, 339303, -4528, -3216, 10368
1707708319990, 339313, -4864, -3664, 10736
1707708320000, 339323, -5248, -4400, 11472
1707708320010, 339333, -5408, -5312, 12224
1707708320020, 339343, -5552, -6240, 12880
1707708320030, 339353, -5632, -6672, 13360
1707708320040, 339363, -5488, -6768, 13936
1707708320050, 339373, -5280, -7808, 14640
1707708320060, 339383, -5120, -9328, 14816
1707708320070, 339393, -4608, -10704, 14464
1707708320080, 339403, -4144, -11152, 14080
1707708320090, 339413, -4000, -10992, 13984
1707708320100, 339423, -3936, -11200, 13760
1707708320110, 339433, -3536, -10688, 13392
1707708320120, 339443, -4352, -10240, 12896
1707708320130, 339453, -4576, -10144, 12384
1707708320140, 339463, -4336, -9456, 11600
1707708320150, 339473, -4864, -9344, 10800
1707708320160, 339483, -4960, -9776, 10160
1707708320170, 339493, -5040, -10176, 9552
1707708320180, 339503, -5024, -10368, 8960
1707708320190, 339513, -5200, -11008, 8448
1707708320200, 339523, -5728, -11568, 7792
1707708320210, 339533, -5600, -11408, 6768
1707708320220, 339543, -4848, -11008, 5680
1707708320230, 339553, -4240, -11056, 5152
1707708320240, 339563, -4112, -11760, 4816
1707708320250, 339573, -3904, -12880, 4352
1707708320260, 339583, -3360, -13520, 3456
1707708320270, 339593, -2848, -13568, 2400
1707708320280, 339603, -2592, -13088, 1088
1707708320290, 339613, -2080, -12240, 64
1707708320300, 339623, -1840, -10832, -352
1707708320310, 339633, -1344, -9536, -128
1707708320320, 339643, -992, -9600, 32
1707708320330, 339653, -864, -10032, 320
1707708320340, 339663, -784, -10160, 640
1707708320350, 339673, -704, -9984, 720
1707708320360, 339683, -816, -9376, 512
1707708320370, 339693, -832, -8544, 320
1707708320380, 339703, -752, -7712, 64
1707708320390, 339713, -864, -6912, 272
1707708320400, 339723, -1088, -6144, 928
1707708320410, 339733, -1152, -5424, 1696
1707708320420, 339743, -1200, -4720, 2512
1707708320430, 339753, -1152, -4144, 3168
1707708320440, 339763, -1152, -3920, 3728
1707708320450, 339773, -1136, -3920, 4368
1707708320460, 339783, -960, -3984, 4704
1707708320470, 339793, -816, -4080, 5120
1707708320480, 339803, -400, -4144, 5360
1707708320490, 339813, -272, -4128, 5504
1707708320500, 339823, -144, -4192, 5712
1707708320510, 339833, -16, -4144, 5904
1707708320520, 339843, 256, -4112, 6128
1707708320530, 339853, 480, -4160, 6304
1707708320540, 339863, 752, -4208, 6592
1707708320550, 339873, 944, -4416, 7008
1707708320560, 339883, 960, -4464, 7536
1707708320570, 339893, 1008, -4240, 7520
1707708320580, 339903, 1664, -4032, 6448
1707708320590, 339913, 1792, -3504, 6384
1707708320600, 339923, 1440, -3664, 6656
1707708320610, 339933, 1440, -3296, 7056
1707708320620, 339943, 1424, -3248, 7440
