Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708402031, 421353, -4160, -5040, 4064
1707708402041, 421363, -4160, -4960, 4064
1707708402051, 421373, -4160, -4960, 4064
1707708402061, 421383, -4240, -4976, 4032
1707708402071, 421393, -4224, -5008, 4064
1707708402081, 421403, -4208, -4976, 4048
1707708402091, 421413, -4192, -4976, 3968
1707708402101, 421423, -4160, -5040, 3920
1707708402111, 421433, -4144, -5008, 3904
1707708402121, 421443, -4128, -5040, 3872
1707708402131, 421453, -4192, -4976, 3984
1707708402141, 421463, -4160, -4976, 3952
1707708402151, 421473, -4224, -4976, 4000
1707708402161, 421483, -4192, -4896, 3952
1707708402171, 421493, -4160, -4960, 3936
1707708402181, 421503, -4160, -4960, 3904
1707708402191, 421513, -4160, -5008, 3984
1707708402201, 421523, -4144, -5088, 4016
1707708402211, 421533, -4128, -5040, 4048
1707708402221, 421543, -4064, -5104, 4032
1707708402231, 421553, -4128, -5072, 4016
1707708402241, 421563, -4112, -5056, 4032
1707708402251, 421573, -4144, -5088, 4016
1707708402261, 421583, -4080, -5024, 4032
1707708402271, 421593, -4080, -5168, 4016
1707708402281, 421603, -3952, -5584, 4096
1707708402291, 421613, -3760, -6208, 3856
1707708402301, 421623, -3520, -6944, 3744
1707708402311, 421633, -3200, -8064, 3424
1707708402321, 421643, -2832, -9312, 2880
1707708402331, 421653, -2288, -10544, 2160
1707708402341, 421663, -1680, -11696, 1440
1707708402351, 421673, -1632, -12848, 608
1707708402361, 421683, -1792, -13568, -208
1707708402371, 421693, -2048, -13408, -400
1707708402381, 421703, -2496, -13392, -144
1707708402391, 421713, -3104, -13104, 960
1707708402401, 421723, -3488, -12880, 2496
1707708402411, 421733, -3968, -12656, 3968
1707708402421, 421743, -4384, -12208, 5328
1707708402431, 421753, -4768, -11840, 6720
1707708402441, 421763, -5296, -11072, 7888
1707708402451, 421773, -5920, -10016, 8656
1707708402461, 421783, -6576, -8768, 9408
1707708402471, 421793, -6960, -7360, 10000
1707708402481, 421803, -7296, -6432, 10640
1707708402491, 421813, -7488, -5632, 11200
1707708402501, 421823, -7312, -5328, 11632
1707708402511, 421833, -7280, -5472, 11840
1707708402521, 421843, -7296, -5328, 11712
1707708402531, 421853, -7296, -5008, 11440
1707708402541, 421863, -7392, -4672, 11248
1707708402551, 421873, -7856, -4128, 11344
1707708402561, 421883, -8128, -3232, 11648
1707708402571, 421893, -8368, -2032, 11984
1707708402581, 421903, -8496, -832, 12336
1707708402591, 421913, -8064, 1216, 11680
1707708402599, 421923, -8160, 752, 11744
1707708402609, 421933, -8592, 0, 11984
1707708402621, 421943, -9184, -208, 12096
1707708402631, 421953, -9312, -784, 12384
1707708402641, 421963, -9456, -928, 12496
1707708402651, 421973, -9344, -880, 12160
1707708402661, 421983, -9072, -912, 11536
1707708402671, 421993, -8896, -640, 10688
1707708402679, 422003, -8960, -48, 9856
1707708402689, 422013, -8976, 752, 8896
1707708402699, 422023, -8640, 1328, 8416
1707708402709, 422033, -8304, 1696, 7856
1707708402719, 422043, -8272, 1360, 7568
1707708402729, 422053, -8048, 1328, 7328
1707708402739, 422063, -7904, 1408, 7520
1707708402749, 422073, -7920, 1648, 7664
1707708402759, 422083, -8032, 2064, 7552
1707708402769, 422093, -7648, 2512, 7024
1707708402779, 422103, -7216, 2608, 6112
1707708402789, 422113, -6848, 2720, 5216
1707708402799, 422123, -6704, 2880, 4432
1707708402809, 422133, -6288, 2928, 3584
1707708402819, 422143, -5840, 3312, 2928
1707708402829, 422153, -5504, 3536, 2656
1707708402839, 422163, -5248, 3712, 2592
1707708402849, 422173, -5184, 4112, 2656
1707708402859, 422183, -5088, 4368, 2608
1707708402869, 422193, -4992, 4768, 2304
1707708402879, 422203, -5024, 5056, 1920
1707708402889, 422213, -5008, 5216, 1664
1707708402899, 422223, -4896, 5088, 1440
1707708402909, 422233, -4768, 4896, 1088
1707708402919, 422243, -4448, 4496, 496
1707708402929, 422253, -4208, 3968, -96
1707708402939, 422263, -3856, 3280, -512
1707708402949, 422273, -3376, 2448, -944
1707708402961, 422283, -2960, 1760, -1280
1707708402971, 422293, -2752, 1248, -1392
1707708402981, 422303, -2720, 1040, -1632
1707708402989, 422313, -2608, 800, -1792
1707708402999, 422323, -2544, 432, -2032
1707708403009, 422333, -2528, 144, -2128
1707708403019, 422343, -2528, -32, -1968
1707708403031, 422353, -2528, -464, -1792
1707708403041, 422363, -2480, -880, -1488
1707708403051, 422373, -2304, -1648, -1280
1707708403061, 422383, -2368, -2736, -1136
1707708403071, 422393, -2176, -3728, -1072
1707708403081, 422403, -1792, -4416, -1248
1707708403091, 422413, -1728, -4704, -1504
1707708403101, 422423, -1776, -4832, -1456
1707708403111, 422433, -1696, -4992, -1056
1707708403121, 422443, -1792, -5152, -512
1707708403129, 422453, -1984, -5568, 160
1707708403139, 422463, -1952, -5984, 576
1707708403149, 422473, -1968, -6384, 944
1707708403161, 422483, -1840, -6896, 1216
1707708403171, 422493, -1568, -7536, 1536
1707708403181, 422503, -1376, -7968, 1808
1707708403191, 422513, -1360, -8560, 2064
1707708403201, 422523, -1360, -9200, 2224
1707708403211, 422533, -1376, -9824, 2416
1707708403221, 422543, -1616, -10288, 2592
1707708403231, 422553, -1824, -10688, 3008
1707708403241, 422563, -1744, -11008, 3616
1707708403251, 422573, -1488, -11216, 4048
1707708403261, 422583, -1280, -11472, 4256
1707708403271, 422593, -1216, -11728, 4480
1707708403281, 422603, -1280, -12112, 4608
1707708403291, 422613, -1360, -12112, 4832
1707708403301, 422623, -1440, -12240, 5056
1707708403311, 422633, -1584, -12368, 5328
1707708403321, 422643, -1632, -12160, 5536
1707708403331, 422653, -1632, -11552, 5696
1707708403341, 422663, -1792, -11024, 5792
1707708403351, 422673, -2064, -10496, 5968
1707708403361, 422683, -2448, -9920, 6288
1707708403371, 422693, -2720, -9504, 6672
1707708403381, 422703, -2864, -9488, 7024
1707708403391, 422713, -2736, -9664, 7408
1707708403401, 422723, -2368, -10160, 7520
1707708403411, 422733, -2224, -10288, 7280
1707708403421, 422743, -2336, -10320, 7216
1707708403431, 422753, -2560, -9984, 7648
1707708403441, 422763, -2784, -9440, 7872
1707708403451, 422773, -3136, -9152, 8128
1707708403461, 422783, -3472, -9120, 8336
1707708403471, 422793, -3552, -8944, 8288
1707708403481, 422803, -3728, -8464, 8240
1707708403491, 422813, -3808, -8384, 7984
1707708403501, 422823, -3808, -8176, 7952
1707708403511, 422833, -4032, -7968, 7984
1707708403521, 422843, -4080, -7440, 8192
1707708403531, 422853, -3920, -7488, 8368
1707708403541, 422863, -4240, -8112, 8400
1707708403551, 422873, -4416, -8752, 8560
1707708403561, 422883, -4688, -8928, 9072
1707708403571, 422893, -4672, -8512, 9424
1707708403581, 422903, -4352, -8272, 9840
1707708403591, 422913, -4368, -8608, 9904
1707708403601, 422923, -4480, -8720, 10128
1707708403611, 422933, -4080, -9392, 10800
1707708403621, 422943, -4160, -9776, 11632
1707708403631, 422953, -4480, -9520, 12336
1707708403641, 422963, -4752, -9088, 12720
1707708403651, 422973, -5344, -8384, 12848
1707708403661, 422983, -6112, -7504, 13184
1707708403671, 422993, -6784, -6096, 13984
1707708403681, 423003, -7600, -3920, 14880
1707708403691, 423013, -8224, -1136, 15872
1707708403701, 423023, -8608, 1808, 16768
1707708403711, 423033, -8464, 4288, 17072
1707708403721, 423043, -7984, 5552, 17152
1707708403731, 423053, -7200, 5616, 16768
1707708403741, 423063, -6448, 4864, 15904
1707708403751, 423073, -5760, 4112, 14656
1707708403761, 423083, -4992, 3408, 13056
1707708403771, 423093, -4480, 2944, 11232
1707708403779, 423103, -4032, 2416, 9600
1707708403789, 423113, -3520, 1664, 8304
1707708403799, 423123, -3904, 640, 7552
1707708403809, 423133, -2960, 96, 6576
1707708403819, 423143, -2096, -304, 5536
1707708403831, 423153, -1728, -1168, 4448
1707708403841, 423163, -1680, -1696, 3584
1707708403851, 423173, -1680, -1616, 3040
1707708403861, 423183, -1648, -1616, 2480
1707708403871, 423193, -1296, -1488, 1936
1707708403879, 423203, -928, -1216, 1408
